ds,y
2010-10-14,148.7899932861328
2010-10-15,146.0
2010-10-18,143.07000732421875
2010-10-19,140.9199981689453
2010-10-20,142.8800048828125
2010-10-21,143.2899932861328
2010-10-22,143.9199981689453
2010-10-25,145.0
2010-10-26,145.1300048828125
2010-10-27,144.5
2010-10-28,144.0
2010-10-29,147.5
2010-11-01,146.0
2010-11-02,152.0
2010-11-03,153.5
2010-11-04,156.5
2010-11-05,158.25
2010-11-08,161.5
2010-11-09,162.0
2010-11-10,157.5
2010-11-11,159.0
2010-11-12,155.75
2010-11-15,156.0
2010-11-16,160.25
2010-11-17,158.5
2010-11-18,158.0
2010-11-19,159.5
2010-11-22,160.0
2010-11-23,161.0
2010-11-24,161.5
2010-11-26,161.0
2010-11-29,160.5
2010-11-30,160.5500030517578
2010-12-01,166.8300018310547
2010-12-02,167.0
2010-12-03,168.0
2010-12-06,169.0
2010-12-07,169.89999389648438
2010-12-08,169.1300048828125
2010-12-09,168.0
2010-12-10,169.0
2010-12-13,169.0
2010-12-14,169.5
2010-12-15,169.5
2010-12-16,169.0
2010-12-17,169.0
2010-12-20,169.0
2010-12-21,169.0
2010-12-22,168.75
2010-12-23,168.75
2010-12-27,168.75
2010-12-28,168.75
2010-12-29,169.0
2010-12-30,169.0
2010-12-31,168.30999755859375
2011-01-03,170.0
2011-01-04,172.07000732421875
2011-01-05,174.5
2011-01-06,173.5
2011-01-07,173.5
2011-01-10,173.5
2011-01-11,175.0
2011-01-12,176.0
2011-01-13,176.0
2011-01-14,179.5
2011-01-18,179.5
2011-01-19,179.0
2011-01-20,178.0
2011-01-21,178.0
2011-01-24,179.0
2011-01-25,179.0
2011-01-26,179.0
2011-01-27,179.5
2011-01-28,179.5
2011-01-31,179.6300048828125
2011-02-01,183.0
2011-02-02,184.0
2011-02-03,183.5
2011-02-04,183.5
2011-02-07,184.75
2011-02-08,185.5
2011-02-09,185.5
2011-02-10,188.0
2011-02-11,188.0
2011-02-14,188.5
2011-02-15,188.8800048828125
2011-02-16,187.75
2011-02-17,187.5
2011-02-18,187.5
2011-02-22,187.67999267578125
2011-02-23,187.60000610351562
2011-02-24,187.5
2011-02-25,187.5
2011-02-28,187.17999267578125
2011-03-01,173.4199981689453
2011-03-02,172.0
2011-03-03,173.0
2011-03-04,174.5
2011-03-07,171.60000610351562
2011-03-08,171.5
2011-03-09,168.75
2011-03-10,167.75
2011-03-11,164.0
2011-03-14,163.1300048828125
2011-03-15,163.6300048828125
2011-03-16,167.6999969482422
2011-03-17,169.0
2011-03-18,168.8800048828125
2011-03-21,169.25
2011-03-22,170.0
2011-03-23,170.0
2011-03-24,169.4199981689453
2011-03-25,169.3800048828125
2011-03-28,169.25
2011-03-29,169.25
2011-03-30,169.5
2011-03-31,174.0
2011-04-01,171.8800048828125
2011-04-04,173.82000732421875
2011-04-05,173.17999267578125
2011-04-06,175.0
2011-04-07,179.30999755859375
2011-04-08,181.0
2011-04-11,181.05999755859375
2011-04-12,178.89999389648438
2011-04-13,178.75
2011-04-14,178.97999572753906
2011-04-15,179.13999938964844
2011-04-18,179.19000244140625
2011-04-19,179.44000244140625
2011-04-20,179.4199981689453
2011-04-21,179.41000366210938
2011-04-25,179.4600067138672
2011-04-26,179.4600067138672
2011-04-27,179.13999938964844
2011-04-28,179.13999938964844
2011-04-29,179.25999450683594
2011-05-02,171.0
2011-05-03,175.75
2011-05-04,175.02999877929688
2011-05-05,172.5
2011-05-06,169.3000030517578
2011-05-09,168.0
2011-05-10,172.5
2011-05-11,170.14999389648438
2011-05-12,168.75
2011-05-13,169.60000610351562
2011-05-16,168.5
2011-05-17,167.75
2011-05-18,167.5
2011-05-19,164.60000610351562
2011-05-20,164.1300048828125
2011-05-23,163.5
2011-05-24,165.4199981689453
2011-05-25,166.5
2011-05-26,165.0
2011-05-27,165.7100067138672
2011-05-31,168.57000732421875
2011-06-01,168.17999267578125
2011-06-02,166.8800048828125
2011-06-03,168.25
2011-06-06,171.25
2011-06-07,172.8000030517578
2011-06-08,172.44000244140625
2011-06-09,172.75
2011-06-10,172.3300018310547
2011-06-13,170.2100067138672
2011-06-14,170.3000030517578
2011-06-15,171.0
2011-06-16,168.97999572753906
2011-06-17,166.6300048828125
2011-06-20,164.2899932861328
2011-06-21,164.22999572753906
2011-06-22,165.0399932861328
2011-06-23,166.0
2011-06-24,164.9600067138672
2011-06-27,164.1300048828125
2011-06-28,164.25
2011-06-29,164.88999938964844
2011-06-30,164.0
2011-07-01,163.94000244140625
2011-07-05,170.19000244140625
2011-07-06,170.1699981689453
2011-07-07,169.66000366210938
2011-07-08,168.8300018310547
2011-07-11,169.63999938964844
2011-07-12,171.49000549316406
2011-07-13,172.3699951171875
2011-07-14,172.16000366210938
2011-07-15,171.5800018310547
2011-07-18,171.99000549316406
2011-07-19,172.2899932861328
2011-07-20,172.4199981689453
2011-07-21,172.5399932861328
2011-07-22,172.6300048828125
2011-07-25,172.67999267578125
2011-07-26,172.83999633789062
2011-07-27,172.9600067138672
2011-07-28,173.0800018310547
2011-07-29,173.22000122070312
2011-08-01,173.05999755859375
2011-08-02,173.25
2011-08-03,177.8800048828125
2011-08-04,177.80999755859375
2011-08-05,175.3300018310547
2011-08-08,175.19000244140625
2011-08-09,174.75999450683594
2011-08-10,176.07000732421875
2011-08-11,175.5800018310547
2011-08-12,175.75
2011-08-15,176.1699981689453
2011-08-16,176.66000366210938
2011-08-17,176.94000244140625
2011-08-18,176.99000549316406
2011-08-19,176.97999572753906
2011-08-22,177.0
2011-08-23,177.0800018310547
2011-08-24,177.16000366210938
2011-08-25,177.2100067138672
2011-08-26,177.25999450683594
2011-08-29,177.25999450683594
2011-08-30,177.33999633789062
2011-08-31,177.4499969482422
2011-09-01,178.49000549316406
2011-09-02,179.14999389648438
2011-09-06,178.64999389648438
2011-09-07,179.38999938964844
2011-09-08,179.5500030517578
2011-09-09,178.13999938964844
2011-09-12,178.1999969482422
2011-09-13,179.0500030517578
2011-09-14,178.83999633789062
2011-09-15,178.89999389648438
2011-09-16,178.75
2011-09-19,178.50999450683594
2011-09-20,178.72000122070312
2011-09-21,178.52999877929688
2011-09-22,178.47000122070312
2011-09-23,178.3300018310547
2011-09-26,178.05999755859375
2011-09-27,177.94000244140625
2011-09-28,177.75
2011-09-29,177.49000549316406
2011-09-30,177.22999572753906
2011-10-03,158.58999633789062
2011-10-04,163.25
2011-10-05,164.52999877929688
2011-10-06,165.5399932861328
2011-10-07,167.1199951171875
2011-10-10,165.89999389648438
2011-10-11,164.33999633789062
2011-10-12,163.1699981689453
2011-10-13,162.4199981689453
2011-10-14,162.5800018310547
2011-10-17,161.22000122070312
2011-10-18,159.6999969482422
2011-10-19,159.22999572753906
2011-10-20,158.57000732421875
2011-10-21,158.02999877929688
2011-10-24,157.49000549316406
2011-10-25,156.1199951171875
2011-10-26,154.80999755859375
2011-10-27,153.22000122070312
2011-10-28,151.97999572753906
2011-10-31,150.42999267578125
2011-11-01,125.61000061035156
2011-11-02,127.9000015258789
2011-11-03,127.66999816894531
2011-11-04,129.4499969482422
2011-11-07,129.16000366210938
2011-11-08,130.5399932861328
2011-11-09,133.22999572753906
2011-11-10,131.27000427246094
2011-11-11,131.30999755859375
2011-11-14,131.4600067138672
2011-11-15,133.39999389648438
2011-11-16,134.0500030517578
2011-11-17,134.75
2011-11-18,135.2100067138672
2011-11-21,135.25
2011-11-22,135.74000549316406
2011-11-23,135.83999633789062
2011-11-25,136.25999450683594
2011-11-28,135.99000549316406
2011-11-29,135.75999450683594
2011-11-30,135.5399932861328
2011-12-01,135.47999572753906
2011-12-02,135.6300048828125
2011-12-05,135.82000732421875
2011-12-06,136.0
2011-12-07,136.17999267578125
2011-12-08,136.35000610351562
2011-12-09,136.52999877929688
2011-12-12,136.64999389648438
2011-12-13,136.72999572753906
2011-12-14,136.6999969482422
2011-12-15,136.6199951171875
2011-12-16,136.4600067138672
2011-12-19,136.27000427246094
2011-12-20,136.10000610351562
2011-12-21,136.07000732421875
2011-12-22,136.0500030517578
2011-12-23,136.05999755859375
2011-12-27,136.0800018310547
2011-12-28,136.1699981689453
2011-12-29,136.30999755859375
2011-12-30,136.4600067138672
2012-01-03,135.6999969482422
2012-01-04,135.85000610351562
2012-01-05,136.05999755859375
2012-01-06,136.27000427246094
2012-01-09,136.47999572753906
2012-01-10,136.8000030517578
2012-01-11,136.86000061035156
2012-01-12,137.42999267578125
2012-01-13,137.75
2012-01-17,138.1999969482422
2012-01-18,138.41000366210938
2012-01-19,138.61000061035156
2012-01-20,138.80999755859375
2012-01-23,139.00999450683594
2012-01-24,139.2100067138672
2012-01-25,139.41000366210938
2012-01-26,139.61000061035156
2012-01-27,139.82000732421875
2012-01-30,140.02000427246094
2012-01-31,140.35000610351562
2012-02-01,144.66000366210938
2012-02-02,144.5800018310547
2012-02-03,143.4499969482422
2012-02-06,144.57000732421875
2012-02-07,143.57000732421875
2012-02-08,142.80999755859375
2012-02-09,142.82000732421875
2012-02-10,142.8300018310547
2012-02-13,142.22000122070312
