serie,ds,valor,ts_conocido_utc
VIXCLS,2009-01-02,39.19,2009-01-02 21:15:00+00:00
VIXCLS,2009-01-05,39.08,2009-01-05 21:15:00+00:00
VIXCLS,2009-01-06,38.56,2009-01-06 21:15:00+00:00
VIXCLS,2009-01-07,43.39,2009-01-07 21:15:00+00:00
VIXCLS,2009-01-08,42.56,2009-01-08 21:15:00+00:00
VIXCLS,2009-01-09,42.82,2009-01-09 21:15:00+00:00
VIXCLS,2009-01-12,45.84,2009-01-12 21:15:00+00:00
VIXCLS,2009-01-13,43.27,2009-01-13 21:15:00+00:00
VIXCLS,2009-01-14,49.14,2009-01-14 21:15:00+00:00
VIXCLS,2009-01-15,51.0,2009-01-15 21:15:00+00:00
VIXCLS,2009-01-16,46.11,2009-01-16 21:15:00+00:00
VIXCLS,2009-01-20,56.65,2009-01-20 21:15:00+00:00
VIXCLS,2009-01-21,46.42,2009-01-21 21:15:00+00:00
VIXCLS,2009-01-22,47.29,2009-01-22 21:15:00+00:00
VIXCLS,2009-01-23,47.27,2009-01-23 21:15:00+00:00
VIXCLS,2009-01-26,45.69,2009-01-26 21:15:00+00:00
VIXCLS,2009-01-27,42.25,2009-01-27 21:15:00+00:00
VIXCLS,2009-01-28,39.66,2009-01-28 21:15:00+00:00
VIXCLS,2009-01-29,42.63,2009-01-29 21:15:00+00:00
VIXCLS,2009-01-30,44.84,2009-01-30 21:15:00+00:00
VIXCLS,2009-02-02,45.52,2009-02-02 21:15:00+00:00
VIXCLS,2009-02-03,43.06,2009-02-03 21:15:00+00:00
VIXCLS,2009-02-04,43.85,2009-02-04 21:15:00+00:00
VIXCLS,2009-02-05,43.73,2009-02-05 21:15:00+00:00
VIXCLS,2009-02-06,43.37,2009-02-06 21:15:00+00:00
VIXCLS,2009-02-09,43.64,2009-02-09 21:15:00+00:00
VIXCLS,2009-02-10,46.67,2009-02-10 21:15:00+00:00
VIXCLS,2009-02-11,44.53,2009-02-11 21:15:00+00:00
VIXCLS,2009-02-12,41.25,2009-02-12 21:15:00+00:00
VIXCLS,2009-02-13,42.93,2009-02-13 21:15:00+00:00
VIXCLS,2009-02-17,48.66,2009-02-17 21:15:00+00:00
VIXCLS,2009-02-18,48.46,2009-02-18 21:15:00+00:00
VIXCLS,2009-02-19,47.08,2009-02-19 21:15:00+00:00
VIXCLS,2009-02-20,49.3,2009-02-20 21:15:00+00:00
VIXCLS,2009-02-23,52.62,2009-02-23 21:15:00+00:00
VIXCLS,2009-02-24,45.49,2009-02-24 21:15:00+00:00
VIXCLS,2009-02-25,44.67,2009-02-25 21:15:00+00:00
VIXCLS,2009-02-26,44.66,2009-02-26 21:15:00+00:00
VIXCLS,2009-02-27,46.35,2009-02-27 21:15:00+00:00
VIXCLS,2009-03-02,52.65,2009-03-02 21:15:00+00:00
VIXCLS,2009-03-03,50.93,2009-03-03 21:15:00+00:00
VIXCLS,2009-03-04,47.56,2009-03-04 21:15:00+00:00
VIXCLS,2009-03-05,50.17,2009-03-05 21:15:00+00:00
VIXCLS,2009-03-06,49.33,2009-03-06 21:15:00+00:00
VIXCLS,2009-03-09,49.68,2009-03-09 20:15:00+00:00
VIXCLS,2009-03-10,44.37,2009-03-10 20:15:00+00:00
VIXCLS,2009-03-11,43.61,2009-03-11 20:15:00+00:00
VIXCLS,2009-03-12,41.18,2009-03-12 20:15:00+00:00
