ds,copper,tasa_chile,tasa_us
2009-01-02,1.444000005722046,6.74,0.08
2009-01-03,1.444000005722046,6.74,0.08
2009-01-04,1.444000005722046,6.74,0.08
2009-01-05,1.4420000314712524,6.74,0.11
2009-01-06,1.565999984741211,6.74,0.09
2009-01-07,1.4945000410079956,6.74,0.11
2009-01-08,1.4630000591278076,6.74,0.1
2009-01-09,1.5455000400543213,6.74,0.09
2009-01-10,1.5455000400543213,6.74,0.09
2009-01-11,1.5455000400543213,6.74,0.09
2009-01-12,1.475000023841858,6.74,0.1
2009-01-13,1.5325000286102295,6.74,0.1
2009-01-14,1.4730000495910645,6.74,0.15
2009-01-15,1.4385000467300415,6.74,0.18
2009-01-16,1.5134999752044678,6.74,0.19
2009-01-17,1.5134999752044678,6.74,0.19
2009-01-18,1.5134999752044678,6.74,0.19
2009-01-19,1.5134999752044678,6.74,0.19
2009-01-20,1.4900000095367432,6.74,0.2
2009-01-21,1.4190000295639038,6.74,0.23
2009-01-22,1.38100004196167,6.74,0.21
2009-01-23,1.4574999809265137,6.74,0.18
2009-01-24,1.4574999809265137,6.74,0.18
2009-01-25,1.4574999809265137,6.74,0.18
2009-01-26,1.5720000267028809,6.74,0.19
2009-01-27,1.4700000286102295,6.74,0.18
2009-01-28,1.4804999828338623,6.74,0.19
2009-01-29,1.4500000476837158,6.74,0.23
2009-01-30,1.4620000123977661,6.74,0.23
2009-01-31,1.4620000123977661,6.74,0.23
2009-02-01,1.4620000123977661,4.43,0.23
2009-02-02,1.4234999418258667,4.43,0.24
2009-02-03,1.5149999856948853,4.43,0.24
2009-02-04,1.5240000486373901,4.43,0.24
2009-02-05,1.49399995803833,4.43,0.23
2009-02-06,1.622499942779541,4.43,0.23
2009-02-07,1.622499942779541,4.43,0.23
2009-02-08,1.622499942779541,4.43,0.23
2009-02-09,1.6065000295639038,4.43,0.22
2009-02-10,1.5700000524520874,4.43,0.24
2009-02-11,1.534000039100647,4.43,0.22
2009-02-12,1.5295000076293945,4.43,0.23
2009-02-13,1.534999966621399,4.43,0.22
2009-02-14,1.534999966621399,4.43,0.22
2009-02-15,1.534999966621399,4.43,0.22
2009-02-16,1.534999966621399,4.43,0.22
2009-02-17,1.4205000400543213,4.43,0.25
2009-02-18,1.433500051498413,4.43,0.23
2009-02-19,1.468000054359436,4.43,0.21
2009-02-20,1.4140000343322754,4.43,0.2
2009-02-21,1.4140000343322754,4.43,0.2
2009-02-22,1.4140000343322754,4.43,0.2
2009-02-23,1.434499979019165,4.43,0.19
2009-02-24,1.4839999675750732,4.43,0.21
2009-02-25,1.5219999551773071,4.43,0.21
2009-02-26,1.565000057220459,4.43,0.22
2009-02-27,1.5260000228881836,4.43,0.22
2009-02-28,1.5260000228881836,4.43,0.22
2009-03-01,1.5260000228881836,2.62,0.22
2009-03-02,1.5075000524520874,2.62,0.22
2009-03-03,1.5959999561309814,2.62,0.2
2009-03-04,1.6855000257492065,2.62,0.21
2009-03-05,1.6460000276565552,2.62,0.2
2009-03-06,1.6805000305175781,2.62,0.2
2009-03-07,1.6805000305175781,2.62,0.2
2009-03-08,1.6805000305175781,2.62,0.2
2009-03-09,1.6295000314712524,2.62,0.2
2009-03-10,1.6744999885559082,2.62,0.2
2009-03-11,1.6160000562667847,2.62,0.19
2009-03-12,1.6174999475479126,2.62,0.18
2009-03-13,1.6584999561309814,2.62,0.15
2009-03-14,1.6584999561309814,2.62,0.15
2009-03-15,1.6584999561309814,2.62,0.15
2009-03-16,1.7395000457763672,2.62,0.2
2009-03-17,1.7174999713897705,2.62,0.2
