par,modelo,RMSE,MAE,mejora_vs_naive_%
USDMXN,GARCH,0.004723535620051987,0.00384567406090705,36.481598934279106
USDMXN,EGARCH,0.00474558748284962,0.003771306451356861,36.18506278464573
USDMXN,MediaMovil,0.006805630240695107,0.00468725460764396,8.483224028548186
USDMXN,Naive,0.007436483823269832,0.005124507031916162,0.0
USDBRL,GARCH,0.0064905750061268076,0.00542411150771419,40.905907877591474
USDBRL,EGARCH,0.006703066447392352,0.0057278587015356175,38.971258205795635
USDBRL,MediaMovil,0.008371786653315763,0.006009727097129961,23.77822746779818
USDBRL,Naive,0.010983458367855314,0.007532551455591219,0.0
USDCOP,MediaMovil,0.009200011405024841,0.006828373036529355,16.5145585457207
USDCOP,EGARCH,0.010172413430441158,0.008682219387568977,7.690502923509505
USDCOP,GARCH,0.01026576222499013,0.00871115418597513,6.843409916875925
USDCOP,Naive,0.011019899092302478,0.00820020481674444,0.0
