estrategia,retorno_total_%,max_drawdown_%,sharpe,se_sharpe,ic95_bajo,ic95_alto,n_obs,variante,dias_con_posicion,exposicion_media,breakeven_spread_ida_vuelta_%,desde,hasta,costo,periodo
Umbral cobre,83.50293341570494,-3.4454127758341113,4.451005944085204,0.9343549057275488,2.834883464415643,6.130708167432351,300,original (reproduce 25),290,0.9666666666666667,0.242301463343938,2025-07-16,2026-09-10,original (0.05% solo al cambiar),2025-2026 (reciente)
Kelly diario (con cobre),86.30144576901276,-3.516970320867585,4.577665719998431,0.9353742775346212,3.186204548139608,6.167031229622067,300,original (reproduce 25),300,0.9844815742743629,0.24258550431800904,2025-07-16,2026-09-10,original (0.05% solo al cambiar),2025-2026 (reciente)
Kelly diario (sin cobre),6.081934727152238,-9.622250342570327,0.4725901159043766,0.9167181877196963,-1.0213271335591112,2.009277941786215,300,original (reproduce 25),300,0.9856959172829748,0.0481891040732607,2025-07-16,2026-09-10,original (0.05% solo al cambiar),2025-2026 (reciente)
Buy-and-hold,-2.707821282137912,-13.150199048505018,-0.12847435540473637,0.9165301464945536,-1.5141150414631355,1.1561014157980656,300,original (reproduce 25),300,1.0,,2025-07-16,2026-09-10,original (0.05% solo al cambiar),2025-2026 (reciente)
Umbral cobre,10.908639597463177,-7.8598236281647305,0.7812760083826865,0.9170699647984647,-0.7762863618181591,2.417043378098024,300,corregido,290,0.9666666666666667,0.038694838507728424,2025-07-15,2026-09-10,bruto (spread 0),2025-2026 (reciente)
Umbral cobre,-28.225970151194534,-28.416805212207674,-2.2466471149541976,0.9210930311855331,-3.743089749223791,-0.7523058780752518,300,corregido,290,0.9666666666666667,0.038694838507728424,2025-07-15,2026-09-10,ida+vuelta diaria 0.15%,2025-2026 (reciente)
Umbral cobre,-14.383977216842691,-15.437359700175435,-1.016899599472496,0.917454889713392,-2.563227302127363,0.5560786775225357,300,corregido,290,0.9666666666666667,0.038694838507728424,2025-07-15,2026-09-10,cota inferior rotacion 0.15%,2025-2026 (reciente)
Kelly diario (con cobre),9.464919803285499,-8.234059233024682,0.6897707933871695,0.9169476391334186,-0.8725092319629115,2.250504463236164,300,corregido,300,0.994742246639239,0.03321306425000517,2025-07-15,2026-09-10,bruto (spread 0),2025-2026 (reciente)
Kelly diario (con cobre),-30.050990968928716,-31.809714504668296,-2.4266315773569445,0.9218536948383095,-4.096129031657865,-0.8223504247065149,300,corregido,300,0.994742246639239,0.03321306425000517,2025-07-15,2026-09-10,ida+vuelta diaria 0.15%,2025-2026 (reciente)
Kelly diario (con cobre),-11.672429038078091,-15.713215505838818,-0.8009050775965114,0.9170981853499657,-2.3930721385812155,0.7189176708057594,300,corregido,300,0.994742246639239,0.03321306425000517,2025-07-15,2026-09-10,cota inferior rotacion 0.15%,2025-2026 (reciente)
Kelly diario (sin cobre),12.832414207232068,-6.784212918057553,0.9061329866953124,0.9172613922155972,-0.5964038159244855,2.4710589020116838,300,corregido,300,0.9751273646699652,0.044199938197556465,2025-07-15,2026-09-10,bruto (spread 0),2025-2026 (reciente)
Kelly diario (sin cobre),-27.256387224086897,-28.58626257791953,-2.1692682643426306,0.9207838371035518,-3.852688546208291,-0.5400907971200755,300,corregido,300,0.9751273646699652,0.044199938197556465,2025-07-15,2026-09-10,ida+vuelta diaria 0.15%,2025-2026 (reciente)
Kelly diario (sin cobre),-8.236795077198744,-12.308475152277886,-0.5394853277682385,0.9167797303777292,-2.0156075970629526,0.9239713835697901,300,corregido,300,0.9751273646699652,0.044199938197556465,2025-07-15,2026-09-10,cota inferior rotacion 0.15%,2025-2026 (reciente)
Buy-and-hold,-2.773815174662664,-13.150199048505119,-0.13314376785272877,0.9165312572074107,-1.5464676390842278,1.167565882503777,300,corregido,300,1.0,,2025-07-15,2026-09-10,bruto (spread 0),2025-2026 (reciente)
Umbral cobre,41.11274217821486,-8.552767877996036,2.278693364889394,0.9212242248327231,0.5983170106269542,4.107962215024173,300,original (reproduce 25),287,0.9566666666666667,0.1495696208102808,2020-11-09,2021-12-31,original (0.05% solo al cambiar),2020-2021
Kelly diario (con cobre),37.3924867210524,-5.401735975905497,2.080111034342367,0.9204408924669316,0.4619634307578055,3.7003167170487514,300,original (reproduce 25),300,0.9896683028759099,0.13480144531517407,2020-11-09,2021-12-31,original (0.05% solo al cambiar),2020-2021
Kelly diario (sin cobre),-11.249469039272963,-19.11438481082036,-0.6992639246638291,0.9169596229172583,-2.309259156185305,0.7705266268979294,300,original (reproduce 25),300,0.9782902975258956,-0.012223021200123238,2020-11-09,2021-12-31,original (0.05% solo al cambiar),2020-2021
Buy-and-hold,13.325922806871727,-10.149986749673612,0.8537973506943226,0.9171777089856076,-0.6567165830499396,2.1987689304934284,300,original (reproduce 25),300,1.0,,2020-11-09,2021-12-31,original (0.05% solo al cambiar),2020-2021
Umbral cobre,46.585296150853715,-8.441494891185242,2.5351573206854514,0.9223403408726314,0.4142741960910597,4.570600482168837,300,corregido,290,0.9666666666666667,0.13542320528403884,2020-11-02,2021-12-31,bruto (spread 0),2020-2021
Umbral cobre,-5.098452478481175,-25.493808017388318,-0.27300003551050206,0.9165829013418888,-2.604173341181745,1.929028750044493,300,corregido,290,0.9666666666666667,0.13542320528403884,2020-11-02,2021-12-31,ida+vuelta diaria 0.15%,2020-2021
Umbral cobre,18.4026724414454,-15.79106395865557,1.158009590830026,0.9177336089632749,-1.0644460816133032,3.2882127087252675,300,corregido,290,0.9666666666666667,0.13542320528403884,2020-11-02,2021-12-31,cota inferior rotacion 0.15%,2020-2021
Kelly diario (con cobre),14.420069065261742,-13.806771995152944,0.9104418371497996,0.9172685033464236,-0.9954208309739734,2.7386959444691974,300,corregido,300,0.9962007746521658,0.04866104012682695,2020-11-02,2021-12-31,bruto (spread 0),2020-2021
Kelly diario (con cobre),-26.928666300383377,-36.44969634215236,-1.8960217661122845,0.9197779610115799,-4.01808708697185,0.06792809423288293,300,corregido,300,0.9962007746521658,0.04866104012682695,2020-11-02,2021-12-31,ida+vuelta diaria 0.15%,2020-2021
Kelly diario (con cobre),-7.697713351632107,-20.763774818659954,-0.4322644470393761,0.9166850172879943,-2.318931909451623,1.375342355888039,300,corregido,300,0.9962007746521658,0.04866104012682695,2020-11-02,2021-12-31,cota inferior rotacion 0.15%,2020-2021
Kelly diario (sin cobre),-0.9949421775252931,-11.401779219490448,0.0023163886556242493,0.916515143869844,-1.6404320974604003,1.5109842289929452,300,corregido,300,0.9809754980087971,0.00012381827808640965,2020-11-02,2021-12-31,bruto (spread 0),2020-2021
Kelly diario (sin cobre),-36.35184156605848,-39.389984424168034,-2.803047366556583,0.9236314872458242,-4.645549684565225,-1.1895878218549012,300,corregido,300,0.9809754980087971,0.00012381827808640965,2020-11-02,2021-12-31,ida+vuelta diaria 0.15%,2020-2021
Kelly diario (sin cobre),-19.09814637448999,-24.646107626174153,-1.271122311250591,0.9179830716759424,-2.9244126815108302,0.20808796478636254,300,corregido,300,0.9809754980087971,0.00012381827808640965,2020-11-02,2021-12-31,cota inferior rotacion 0.15%,2020-2021
Buy-and-hold,10.15786765527611,-10.149986749673644,0.6716761795684535,0.9169252503977625,-0.92555219831083,2.052174676408594,300,corregido,300,1.0,,2020-11-02,2021-12-31,bruto (spread 0),2020-2021
Umbral cobre,87.18997981647503,-6.682864417928935,4.407312368436456,0.9340096379882571,2.502314716356998,6.623211794584622,300,original (reproduce 25),286,0.9533333333333334,0.24925411241481704,2017-11-06,2018-12-31,original (0.05% solo al cambiar),2017-2018
Kelly diario (con cobre),63.80865355430272,-5.176506700242644,3.258125566036638,0.9261167872754688,1.7359732610222527,4.8693884469037965,300,original (reproduce 25),300,0.993959456598389,0.19788186167374214,2017-11-06,2018-12-31,original (0.05% solo al cambiar),2017-2018
Kelly diario (sin cobre),-6.156457178155971,-13.085244483265136,-0.3408514898166313,0.9166207683098013,-1.8423387309971966,1.0814090182366256,300,original (reproduce 25),300,0.9762674424161503,0.006883805572431586,2017-11-06,2018-12-31,original (0.05% solo al cambiar),2017-2018
Buy-and-hold,9.25121108215603,-11.25534721761986,0.6246583664646391,0.9168698545184356,-0.8250702022341033,2.185179142433532,300,original (reproduce 25),300,1.0,,2017-11-06,2018-12-31,original (0.05% solo al cambiar),2017-2018
Umbral cobre,12.064703134993614,-12.895360844759885,0.8024674753934927,0.9171004616444378,-1.125268607924728,2.654857465046635,300,corregido,288,0.96,0.04303107531225845,2017-10-30,2018-12-31,bruto (spread 0),2017-2018
Umbral cobre,-27.25878449591367,-35.19768468776843,-1.9942663047776508,0.9201241746764143,-4.137596703951884,-0.004161557910224938,300,corregido,288,0.96,0.04303107531225845,2017-10-30,2018-12-31,ida+vuelta diaria 0.15%,2017-2018
Umbral cobre,-11.112270587307027,-26.26496674007518,-0.7001052387509629,0.916960692855594,-2.8703240939123082,1.2952912664685725,300,corregido,288,0.96,0.04303107531225845,2017-10-30,2018-12-31,cota inferior rotacion 0.15%,2017-2018
Kelly diario (con cobre),20.694782764236976,-9.99720867725512,1.2183859596830189,0.91786388274329,-0.28332804876703493,2.736043935676204,300,corregido,300,0.993730798718294,0.06687977736070255,2017-10-30,2018-12-31,bruto (spread 0),2017-2018
Kelly diario (con cobre),-22.829709792482134,-29.265126368145655,-1.5141373868907941,0.9185973111456225,-3.2318578274310084,0.12692355675741301,300,corregido,300,0.993730798718294,0.06687977736070255,2017-10-30,2018-12-31,ida+vuelta diaria 0.15%,2017-2018
Kelly diario (con cobre),-3.468952601349562,-13.969671551210116,-0.14496382857836082,0.9165342460519376,-1.6414548705370753,1.340572581663902,300,corregido,300,0.993730798718294,0.06687977736070255,2017-10-30,2018-12-31,cota inferior rotacion 0.15%,2017-2018
Kelly diario (sin cobre),10.72042602386103,-10.437155928743259,0.699341374845655,0.9169597213605505,-0.9338803107796859,2.2297093009954496,300,corregido,300,0.9760910934401128,0.038507590784359245,2017-10-30,2018-12-31,bruto (spread 0),2017-2018
Kelly diario (sin cobre),-28.650216793455062,-34.763219816979905,-2.026318259870277,0.9202408794171627,-3.8297618876261805,-0.39579887663657193,300,corregido,300,0.9760910934401128,0.038507590784359245,2017-10-30,2018-12-31,ida+vuelta diaria 0.15%,2017-2018
Kelly diario (sin cobre),-10.497354018596095,-19.442634147225146,-0.6166491005390512,0.9168608183299466,-2.1935391579800396,0.837756996669836,300,corregido,300,0.9760910934401128,0.038507590784359245,2017-10-30,2018-12-31,cota inferior rotacion 0.15%,2017-2018
Buy-and-hold,9.151043211812127,-11.255347217619939,0.6026415799569872,0.9168452949052102,-0.8711695227643798,2.122769450196822,300,corregido,300,1.0,,2017-10-30,2018-12-31,bruto (spread 0),2017-2018
Umbral cobre,80.85139429092611,-10.312845273170101,2.940823245418094,0.9243452109112983,1.4629482849490612,4.599488187476997,300,original (reproduce 25),284,0.9466666666666667,0.24005171169832434,2015-11-09,2016-12-30,original (0.05% solo al cambiar),2015-2016
Kelly diario (con cobre),192.44504650697237,-4.51810441944348,5.433862218823444,0.942980079864855,3.843042305046573,7.054075589828358,300,original (reproduce 25),300,0.9820806433568001,0.3975284593842955,2015-11-09,2016-12-30,original (0.05% solo al cambiar),2015-2016
Kelly diario (sin cobre),90.07073480232694,-6.553362692778131,3.1615938587241286,0.9255589984144016,1.360024033919246,4.898137248947532,300,original (reproduce 25),300,0.9696404847695633,0.25529785007320516,2015-11-09,2016-12-30,original (0.05% solo al cambiar),2015-2016
Buy-and-hold,-4.122257187201361,-13.262297416645508,-0.10200657781564558,0.9165245999080055,-1.2101970496045371,1.060843912863753,300,original (reproduce 25),300,1.0,,2015-11-09,2016-12-30,original (0.05% solo al cambiar),2015-2016
Umbral cobre,20.81506685222059,-14.037445230139934,0.9847171581328016,0.9173963773287251,-0.8002586786818604,2.7238727146125994,300,corregido,287,0.9566666666666667,0.07240915751552551,2015-10-29,2016-12-30,bruto (spread 0),2015-2016
Umbral cobre,-21.45326701704381,-28.394786813446338,-1.0551710511734063,0.9175269169051068,-2.9500941511068217,0.7685109916538642,300,corregido,287,0.9566666666666667,0.07240915751552551,2015-10-29,2016-12-30,ida+vuelta diaria 0.15%,2015-2016
Umbral cobre,-2.1399070532184483,-18.322214381417734,-0.013904944443263345,0.9165153147906477,-1.887680812507006,1.7991565012548294,300,corregido,287,0.9566666666666667,0.07240915751552551,2015-10-29,2016-12-30,cota inferior rotacion 0.15%,2015-2016
Kelly diario (con cobre),198.76208014877878,-8.001404774974375,5.478264695482063,0.9434081690637808,3.4308742932873852,7.385169197130427,300,corregido,300,0.9634391755576479,0.385323757846278,2015-10-29,2016-12-30,bruto (spread 0),2015-2016
Kelly diario (con cobre),93.90955578216422,-15.79229375541541,3.350586339189448,0.9266664527724839,1.1691283721449879,5.326000333583256,300,corregido,300,0.9634391755576479,0.385323757846278,2015-10-29,2016-12-30,ida+vuelta diaria 0.15%,2015-2016
Kelly diario (con cobre),134.3095087040659,-10.974124673004814,4.292543179157025,0.9331183623965107,2.276705317180957,6.1746327537687895,300,corregido,300,0.9634391755576479,0.385323757846278,2015-10-29,2016-12-30,cota inferior rotacion 0.15%,2015-2016
Kelly diario (sin cobre),108.55716452885962,-6.3641892059474685,3.595397384317834,0.9281943783058586,1.7518048721935027,5.370336763612827,300,corregido,300,0.9651752230360515,0.260517709712238,2015-10-29,2016-12-30,bruto (spread 0),2015-2016
Kelly diario (sin cobre),35.18280556420854,-11.557837456462916,1.5261675776416261,0.9186304910708518,-0.49549402613003196,3.3848379966022306,300,corregido,300,0.9651752230360515,0.260517709712238,2015-10-29,2016-12-30,ida+vuelta diaria 0.15%,2015-2016
Kelly diario (sin cobre),65.5848666478393,-7.133421072382706,2.500764309791701,0.9221838411556269,0.6289617494560376,4.264307109652593,300,corregido,300,0.9651752230360515,0.260517709712238,2015-10-29,2016-12-30,cota inferior rotacion 0.15%,2015-2016
Buy-and-hold,-2.7137176302745925,-13.262297416645353,-0.034781636158360954,0.9165162389561663,-1.162830085340628,1.127813664626103,300,corregido,300,1.0,,2015-10-29,2016-12-30,bruto (spread 0),2015-2016
