estrategia,retorno_total_%,max_drawdown_%,sharpe,se_sharpe,ic95_bajo,ic95_alto,n_obs,variante,dias_con_posicion,exposicion_media,breakeven_spread_ida_vuelta_%,desde,hasta,costo
Umbral cobre,83.50293341570494,-3.4454127758341113,4.451005944085204,0.9343549057275488,2.834883464415643,6.130708167432351,300,original (reproduce 22),290,0.9666666666666667,0.242301463343938,2025-07-16,2026-09-10,original (0.05% solo al cambiar)
Kelly diario (con cobre),86.30144576901276,-3.516970320867585,4.577665719998431,0.9353742775346212,3.186204548139608,6.167031229622067,300,original (reproduce 22),300,0.9844815742743629,0.24258550431800904,2025-07-16,2026-09-10,original (0.05% solo al cambiar)
Kelly diario (sin cobre),6.081934727152238,-9.622250342570327,0.4725901159043766,0.9167181877196963,-1.0213271335591112,2.009277941786215,300,original (reproduce 22),300,0.9856959172829748,0.0481891040732607,2025-07-16,2026-09-10,original (0.05% solo al cambiar)
Buy-and-hold,-2.707821282137912,-13.150199048505018,-0.12847435540473637,0.9165301464945536,-1.5141150414631355,1.1561014157980656,300,original (reproduce 22),300,1.0,,2025-07-16,2026-09-10,original (0.05% solo al cambiar)
Umbral cobre,10.908639597463177,-7.8598236281647305,0.7812760083826865,0.9170699647984647,-0.7762863618181591,2.417043378098024,300,corregido,290,0.9666666666666667,0.038694838507728424,2025-07-15,2026-09-10,bruto (spread 0)
Umbral cobre,-28.225970151194534,-28.416805212207674,-2.2466471149541976,0.9210930311855331,-3.743089749223791,-0.7523058780752518,300,corregido,290,0.9666666666666667,0.038694838507728424,2025-07-15,2026-09-10,ida+vuelta diaria 0.15%
Umbral cobre,-14.383977216842691,-15.437359700175435,-1.016899599472496,0.917454889713392,-2.563227302127363,0.5560786775225357,300,corregido,290,0.9666666666666667,0.038694838507728424,2025-07-15,2026-09-10,cota inferior rotacion 0.15%
Kelly diario (con cobre),9.464919803285499,-8.234059233024682,0.6897707933871695,0.9169476391334186,-0.8725092319629115,2.250504463236164,300,corregido,300,0.994742246639239,0.03321306425000517,2025-07-15,2026-09-10,bruto (spread 0)
Kelly diario (con cobre),-30.050990968928716,-31.809714504668296,-2.4266315773569445,0.9218536948383095,-4.096129031657865,-0.8223504247065149,300,corregido,300,0.994742246639239,0.03321306425000517,2025-07-15,2026-09-10,ida+vuelta diaria 0.15%
Kelly diario (con cobre),-11.672429038078091,-15.713215505838818,-0.8009050775965114,0.9170981853499657,-2.3930721385812155,0.7189176708057594,300,corregido,300,0.994742246639239,0.03321306425000517,2025-07-15,2026-09-10,cota inferior rotacion 0.15%
Kelly diario (sin cobre),12.832414207232068,-6.784212918057553,0.9061329866953124,0.9172613922155972,-0.5964038159244855,2.4710589020116838,300,corregido,300,0.9751273646699652,0.044199938197556465,2025-07-15,2026-09-10,bruto (spread 0)
Kelly diario (sin cobre),-27.256387224086897,-28.58626257791953,-2.1692682643426306,0.9207838371035518,-3.852688546208291,-0.5400907971200755,300,corregido,300,0.9751273646699652,0.044199938197556465,2025-07-15,2026-09-10,ida+vuelta diaria 0.15%
Kelly diario (sin cobre),-8.236795077198744,-12.308475152277886,-0.5394853277682385,0.9167797303777292,-2.0156075970629526,0.9239713835697901,300,corregido,300,0.9751273646699652,0.044199938197556465,2025-07-15,2026-09-10,cota inferior rotacion 0.15%
Buy-and-hold,-2.773815174662664,-13.150199048505119,-0.13314376785272877,0.9165312572074107,-1.5464676390842278,1.167565882503777,300,corregido,300,1.0,,2025-07-15,2026-09-10,bruto (spread 0)
