moneda,commodity,rezago,operable,correlacion,p_valor,n_obs,p_valor_fdr,sobrevive_fdr,supera_umbral_r,hallazgo_operable
NOK,WTI (petroleo),0,False,0.2657817760096909,1.4967295826713082e-70,4307,1.3470566244041773e-68,True,True,False
ZAR,Platino,0,False,0.22796606447474374,8.054733006238729e-52,4301,3.624629852807428e-50,True,True,False
ZAR,Oro,0,False,0.19383063429712166,1.114156661210643e-37,4301,3.342469983631929e-36,True,True,False
BRL,Soja,0,False,0.1889164761941358,1.1780187996899909e-35,4277,2.6505422993024795e-34,True,True,False
BRL,Platino,0,False,0.18625269683052373,1.0934392458466209e-34,4277,1.9681906425239177e-33,True,True,False
NOK,Platino,0,False,0.1792964313012288,1.9182432527337222e-32,4307,2.8773648791005832e-31,True,True,False
NOK,Oro,0,False,0.17556573194915184,3.7130436601206036e-31,4307,4.773913277297919e-30,True,True,False
BRL,WTI (petroleo),0,False,0.12976597920581548,1.5941271905249813e-17,4277,1.793393089340604e-16,True,True,False
NOK,WTI (petroleo),1,True,-0.11996964123852967,2.818766837063977e-15,4306,2.7829890367998795e-14,True,True,True
BRL,Oro,0,False,0.12019821639156249,3.092210040888755e-15,4277,2.7829890367998795e-14,True,True,False
ZAR,WTI (petroleo),0,False,0.11516885508857931,3.562900517166399e-14,4301,2.9151004231361446e-13,True,True,False
NOK,Soja,0,False,0.10392081347026284,8.10804838977457e-12,4307,6.081036292330928e-11,True,False,False
ZAR,Soja,0,False,0.10063890224161351,3.7159559237942214e-11,4301,2.572584870319077e-10,True,False,False
NOK,Platino,2,True,0.07690972014372675,4.366179838413555e-07,4305,2.8068298961229993e-06,True,False,False
NOK,Platino,-1,False,0.07362575519392277,1.3214992597894372e-06,4306,7.928995558736623e-06,True,False,False
ZAR,Platino,-1,False,0.07212299894762869,2.199074460134635e-06,4300,1.236979383825732e-05,True,False,False
NOK,WTI (petroleo),2,True,0.06909011469951788,5.698417862828215e-06,4305,3.0168094567914084e-05,True,False,False
NOK,Oro,2,True,0.06260936923755525,3.942950197695181e-05,4305,0.00019714750988475904,True,False,False
BRL,Platino,-1,False,0.062489369317049265,4.3313914202819604e-05,4276,0.00020517117253967182,True,False,False
BRL,Hierro,-1,False,0.05992324672068239,0.00012016301065384587,4114,0.0005407335479423065,True,False,False
NOK,Platino,3,True,-0.0543592486005338,0.00035994441856894926,4304,0.0015426189367240683,True,False,False
