moneda,commodity,corr_original_reportada,costo,sharpe,se_sharpe,ic95_bajo,ic95_alto,n_obs
NOK,WTI (petroleo),0.2746453413430109,bruto,-0.19708902138988946,0.24192457840244588,-0.5642389283706299,0.34628148446715123,4306
NOK,WTI (petroleo),0.2746453413430109,neto,-1.2945960978123625,0.24231714943905686,-1.9286533872946336,-0.9927894682737347,4306
ZAR,Platino,0.227512650318758,bruto,-0.52567383702232,0.24215033120975044,-0.9633544644645886,-0.02374780955146403,4300
ZAR,Platino,0.227512650318758,neto,-1.8657949774243692,0.2429185888359878,-2.327356838711928,-1.47449251406358,4300
ZAR,Oro,0.1938771214432098,bruto,0.12420935143169813,0.24208768062826902,-0.28394147708970385,0.6033929274316734,4300
ZAR,Oro,0.1938771214432098,neto,-1.2152442309574254,0.24243839268758363,-1.70557994539814,-0.8042974760213841,4300
BRL,Soja,0.1864013233857592,bruto,-0.1931994772382109,0.24277138914042914,-0.6340585431631912,0.27326365509038575,4276
BRL,Soja,0.1864013233857592,neto,-2.403383744568287,0.24414956479325173,-2.8760225785098585,-1.9324012594984754,4276
BRL,Platino,0.1833715016635776,bruto,-0.08461414854381266,0.24276412413405152,-0.546044317181295,0.3690124009163501,4276
BRL,Platino,0.1833715016635776,neto,-2.298388741380812,0.2440313200673629,-2.773678960396665,-1.840564766046263,4276
NOK,Platino,0.1783540874099594,bruto,-0.13623738313849576,0.24191971060664014,-0.5802194794874315,0.22145416973468443,4306
NOK,Platino,0.1783540874099594,neto,-1.2332567364657374,0.24227999538878017,-2.1942668020995257,-0.709272875842705,4306
NOK,Oro,0.1720013533566888,bruto,-0.09888352145953003,0.24191760283590166,-0.5025125567779198,0.5201967599785413,4306
NOK,Oro,0.1720013533566888,neto,-1.196289599596487,0.24225847209571122,-1.7745186185315398,-0.8940974982658811,4306
BRL,WTI (petroleo),0.1380577440543447,bruto,0.029807743327741026,0.24276261384665618,-0.45862307121865314,0.5124547625950289,4276
BRL,WTI (petroleo),0.1380577440543447,neto,-2.1864015368112706,0.24391096222393133,-2.667016363083325,-1.7132876968625501,4276
BRL,Oro,0.1184721803973275,bruto,0.22873152473526945,0.24277499960635227,-0.265759193306446,0.7172867735881956,4276
BRL,Oro,0.1184721803973275,neto,-1.983838705629285,0.2437083935874987,-2.5025087204482643,-1.4713836741689204,4276
ZAR,WTI (petroleo),0.1182710817008513,bruto,-0.04025565846914369,0.24208436462341137,-0.6087309501992686,0.4794289253274896,4300
ZAR,WTI (petroleo),0.1182710817008513,neto,-1.3800699486537664,0.2425409562784448,-2.1968630678318015,-0.6531870488297021,4300
