regimen,moneda,commodity,corr_pre_rezago1,signo_pre,corr_en_regimen_rezago1,sharpe_bruto,ic95_bruto,sharpe_neto,n
2014-2016 (crash petroleo),NOK,WTI (petroleo),-0.01648628289627425,-1.0,-0.03205017385303986,0.15658620290220063,"[-0.80, 1.13]",-1.5864545212457346,782
2014-2016 (crash petroleo),NOK,Oro,-0.04597174434553895,-1.0,0.01203210690102387,-0.5553860492111848,"[-1.61, 0.42]",-2.294337322246562,782
2014-2016 (crash petroleo),NOK,Platino,-0.02264199424507602,-1.0,-0.00924069079580822,0.28213735360047687,"[-0.77, 1.36]",-1.4568097611548463,782
2014-2016 (crash petroleo),NOK,Soja,0.003637650253425272,1.0,0.013461678016857102,0.060821007246421484,"[-1.01, 1.16]",-1.6702078172701489,782
2014-2016 (crash petroleo),NOK,Hierro,-0.004467688365518342,-1.0,0.0066262477253783685,0.09767366539353145,"[-1.04, 1.22]",-1.6198625244564844,782
2014-2016 (crash petroleo),ZAR,WTI (petroleo),-0.03549694048648154,-1.0,-0.06448847711093865,1.192876439363056,"[0.15, 2.25]",-0.37914876329183533,781
2014-2016 (crash petroleo),ZAR,Oro,-0.05951344232954916,-1.0,-0.009810542639249593,-0.5805783533585718,"[-1.77, 0.61]",-2.144570873730636,781
2014-2016 (crash petroleo),ZAR,Platino,-0.08026714495667267,-1.0,-0.028946748288497935,-0.03506744759634917,"[-1.04, 0.98]",-1.598687735343803,781
2014-2016 (crash petroleo),ZAR,Soja,-0.00042655115370396476,-1.0,0.004753973323597342,-0.47746850996222717,"[-1.46, 0.53]",-2.0513468315139765,781
2014-2016 (crash petroleo),ZAR,Hierro,-0.061099798275238516,-1.0,-0.03392692939804197,-0.03728140114506195,"[-1.13, 1.04]",-1.579336064726694,781
2014-2016 (crash petroleo),BRL,WTI (petroleo),-0.021570249048830877,-1.0,-0.010125851685369608,0.29358420411343167,"[-0.80, 1.43]",-1.783211373603049,775
2014-2016 (crash petroleo),BRL,Oro,-0.04376628873784258,-1.0,0.04393213397157922,-0.18995201428287936,"[-1.23, 0.88]",-2.2607541360592367,775
2014-2016 (crash petroleo),BRL,Platino,-0.03049290403041834,-1.0,0.03950761208252766,-0.9903260523031777,"[-2.12, 0.10]",-3.065858369940595,775
2014-2016 (crash petroleo),BRL,Soja,-0.01827277071865167,-1.0,0.02558794554908584,-0.5312826416032933,"[-1.59, 0.56]",-2.6041758561276858,775
2014-2016 (crash petroleo),BRL,Hierro,-0.03612829778140005,-1.0,-0.029191884428864022,-0.5416003252679431,"[-1.78, 0.65]",-2.586753121417463,775
2020 (shock COVID),NOK,WTI (petroleo),-0.012359968076255052,-1.0,-0.2636359191385344,1.0923517764389057,"[-1.40, 2.19]",0.7345514740680722,261
2020 (shock COVID),NOK,Oro,-0.015000086904837617,-1.0,-0.06628904177831789,1.3353015910931625,"[-0.65, 2.36]",0.972987161029998,261
2020 (shock COVID),NOK,Platino,-0.008925925432056397,-1.0,-0.06876820877453903,-0.11584392612753236,"[-1.43, 1.10]",-0.4769454638034958,261
2020 (shock COVID),NOK,Soja,0.010770436088120023,1.0,-0.055248807935355984,0.3122904585881344,"[-0.98, 1.72]",-0.04601681634179377,261
2020 (shock COVID),NOK,Hierro,-0.0018531752585554887,-1.0,0.011034284585803768,-1.1263800106271298,"[-2.42, 2.17]",-1.489727971204613,261
2020 (shock COVID),ZAR,WTI (petroleo),-0.038172244464291794,-1.0,-0.10496926875766993,0.948131168609924,"[-0.93, 2.92]",-0.4013521548488765,261
2020 (shock COVID),ZAR,Oro,-0.02179449280018384,-1.0,0.009844415126721668,-0.47463384254046304,"[-2.12, 1.14]",-1.8418371288636024,261
2020 (shock COVID),ZAR,Platino,-0.03237598691933021,-1.0,-0.004971842250683157,0.6272487077878974,"[-1.28, 2.63]",-0.7339123949621643,261
2020 (shock COVID),ZAR,Soja,0.007938828475820644,1.0,0.028017118904054106,-0.7393906333536229,"[-2.64, 1.05]",-2.091973287192879,261
2020 (shock COVID),ZAR,Hierro,-0.02571836730334138,-1.0,-0.027716381392928296,0.9922061910905792,"[-0.91, 3.00]",-0.3759733283721515,261
2020 (shock COVID),BRL,WTI (petroleo),-0.0024501155891047325,-1.0,-0.01694022161666832,-0.3679862336630911,"[-2.84, 1.94]",-2.004231727893301,259
2020 (shock COVID),BRL,Oro,-0.00726935268207384,-1.0,0.10223322041613658,-1.3790494864272438,"[-3.37, 0.72]",-3.037190592610705,259
2020 (shock COVID),BRL,Platino,-0.006998712143297603,-1.0,0.12583384190910066,-0.21394151197179542,"[-1.81, 1.51]",-1.8687040747500283,259
2020 (shock COVID),BRL,Soja,-0.0144804306206262,-1.0,0.061004651963870116,0.5916318676795468,"[-1.01, 2.25]",-1.062983139440564,259
2020 (shock COVID),BRL,Hierro,-0.020428908658981875,-1.0,0.053865644589801136,-0.7494516279981496,"[-2.22, 0.66]",-2.409028913216216,259
2022 (guerra/inflacion),NOK,WTI (petroleo),-0.15158995728685318,-1.0,-0.009900576109228528,0.031908494481294604,"[-1.98, 2.05]",-1.2655817236577016,259
2022 (guerra/inflacion),NOK,Oro,-0.018138881753844108,-1.0,-0.04010530223449763,-0.27021024049399817,"[-2.25, 1.70]",-1.5576854521274186,259
2022 (guerra/inflacion),NOK,Platino,-0.02375877750529008,-1.0,-0.020769642625505704,0.8996733354299087,"[-1.18, 3.08]",-0.3986680365789975,259
2022 (guerra/inflacion),NOK,Soja,-0.0007253127860391824,-1.0,-0.06799275562039954,1.3243737958484931,"[-0.61, 3.15]",0.022236212017221223,259
2022 (guerra/inflacion),NOK,Hierro,0.008413811411310727,1.0,-0.001989725851445175,0.24284193346723482,"[-2.01, 2.46]",-1.057577231198965,259
2022 (guerra/inflacion),ZAR,WTI (petroleo),-0.048076231617947725,-1.0,0.0006891484971071845,0.04454244199443644,"[-1.74, 1.88]",-1.5703755729783893,259
2022 (guerra/inflacion),ZAR,Oro,-0.003402200711606022,-1.0,-0.02903017760208022,-0.3366654139221865,"[-1.76, 1.20]",-1.9409703794807125,259
2022 (guerra/inflacion),ZAR,Platino,-0.00938474190464939,-1.0,-0.062244082133474016,1.6047648413303333,"[-0.08, 3.34]",-0.016629046035060723,259
2022 (guerra/inflacion),ZAR,Soja,0.0018675720764386734,1.0,-0.05122751286922628,-1.7108985573906155,"[-3.82, 0.38]",-3.333489003902906,259
2022 (guerra/inflacion),ZAR,Hierro,-0.021071636400484976,-1.0,0.01960581258378681,-1.1065582103021052,"[-3.26, 1.02]",-2.7214666423411837,259
2022 (guerra/inflacion),BRL,WTI (petroleo),-0.003015804532754688,-1.0,0.02890469881403352,-0.7579168616927418,"[-2.52, 0.93]",-2.8187900057633133,258
2022 (guerra/inflacion),BRL,Oro,0.020873569209888906,1.0,-0.0800868010182805,0.2506039970685404,"[-1.41, 1.82]",-1.794581897260888,258
2022 (guerra/inflacion),BRL,Platino,0.029699951937617604,1.0,-0.018488817560090205,-0.40673625498865934,"[-1.96, 1.18]",-2.458524832938651,258
2022 (guerra/inflacion),BRL,Soja,-0.015831293363508428,-1.0,0.01473985574764231,0.11573743419030723,"[-1.81, 1.96]",-1.943810201759109,258
2022 (guerra/inflacion),BRL,Hierro,-0.006480575028076019,-1.0,-0.02063176577559605,-0.6168391498179693,"[-2.78, 1.55]",-2.662564858853028,258
