estrategia,retorno_total_%,max_drawdown_%,sharpe,se_sharpe,ic95_bajo,ic95_alto,n_obs,seed,acierto_direccion_%,corr_posicion_retorno,exposicion_media,pct_dias_saturado,costo
Momentum Transformer Lite (corregido),3.8604986719974255,-2.3008768368112165,1.22008257821201,0.9256134946733716,-0.7811252185316145,3.2340162055441,295,42,52.54237288135594,0.08103501842402391,0.20195757734133293,0.0,bruto
Momentum Transformer Lite (corregido),-5.018859575337742,-6.064656319174999,-1.6234633281995647,0.9266630795567364,-3.7389311006554364,0.5494610117335269,295,42,52.54237288135594,0.08103501842402391,0.20195757734133293,0.0,ida+vuelta diaria 0.15%
Momentum Transformer Lite (corregido),-0.6970438898755482,-3.1258591278470305,-0.21111567770863973,0.9242904468938747,-2.181688212335944,1.7758001935858607,295,42,52.54237288135594,0.08103501842402391,0.20195757734133293,0.0,rotacion 0.15%
Momentum Transformer Lite (corregido),-1.3386308835526162,-3.1482582477285637,-0.5054056503654594,0.9244837632947532,-2.3502369780985775,1.4988282760994378,295,7,44.74576271186441,-0.024592767482333664,0.17044270602195785,0.0,bruto
Momentum Transformer Lite (corregido),-8.50880897441144,-8.64600117669615,-3.3034349627157984,0.9342019911449242,-5.16243107881993,-1.3462745759701178,295,7,44.74576271186441,-0.024592767482333664,0.17044270602195785,0.0,ida+vuelta diaria 0.15%
Momentum Transformer Lite (corregido),-4.74107140235176,-5.482353640875559,-1.846436329683595,0.9273703729779416,-3.7105814722149932,0.10799808793221122,295,7,44.74576271186441,-0.024592767482333664,0.17044270602195785,0.0,rotacion 0.15%
Momentum Transformer Lite (corregido),4.311050773103231,-3.764745971774053,1.0217279108980715,0.9252062783499415,-1.1292212457848154,2.9942145990365816,295,123,52.54237288135594,0.06294581337381669,0.26183733840993473,0.0,bruto
Momentum Transformer Lite (corregido),-7.102195041965265,-10.186175746791083,-1.725292456452242,0.9269748813267072,-4.118999355350731,0.4310598998500387,295,123,52.54237288135594,0.06294581337381669,0.26183733840993473,0.0,ida+vuelta diaria 0.15%
Momentum Transformer Lite (corregido),-1.7572669477736058,-6.661908739791156,-0.40538390161453336,0.9244002509256128,-2.625551352964083,1.5984835804792417,295,123,52.54237288135594,0.06294581337381669,0.26183733840993473,0.0,rotacion 0.15%
Momentum Transformer Lite (corregido),5.023247475236525,-3.152735972570886,1.4118569089163475,0.9260754992936362,-0.5931701035585684,3.307603734668506,295,2024,52.54237288135594,0.08284106638231287,0.20348649498373866,0.0,bruto
Momentum Transformer Lite (corregido),-4.018629619435099,-6.409945637604153,-1.1704837710504044,0.9255049306778275,-3.3499432900520096,0.8326402344255075,295,2024,52.54237288135594,0.08284106638231287,0.20348649498373866,0.0,ida+vuelta diaria 0.15%
Momentum Transformer Lite (corregido),0.22952339989317228,-4.062617891941944,0.08046445391609627,0.924255517653234,-2.037098099624659,2.0180402875801073,295,2024,52.54237288135594,0.08284106638231287,0.20348649498373866,0.0,rotacion 0.15%
Momentum Transformer Lite (corregido),2.8743048445162067,-1.5173142988137323,0.8856267815628793,0.924968469271325,-0.8408305874551442,2.5585024933641223,295,99,50.847457627118644,0.06487939275678758,0.1926142740606407,0.0,bruto
Momentum Transformer Lite (corregido),-5.531133123139009,-6.299771843692947,-1.7336883835459973,0.9270014310881045,-3.6093962151302645,0.047364448925532925,295,99,50.847457627118644,0.06487939275678758,0.1926142740606407,0.0,ida+vuelta diaria 0.15%
Momentum Transformer Lite (corregido),-1.2273972558455415,-3.158014751325111,-0.3686397944096987,0.9243741770242128,-2.1454164999380665,1.3164179206388142,295,99,50.847457627118644,0.06487939275678758,0.1926142740606407,0.0,rotacion 0.15%
