estrategia,retorno_total_%,max_drawdown_%,sharpe,se_sharpe,ic95_bajo,ic95_alto,n_obs,par,costo,spread_%,signo_train,dias_con_posicion,desde,hasta
Umbral cobre,11.100549134527338,-7.870330273994974,0.7927389245671663,0.9170863599851833,-0.7623968402651723,2.4354594580981748,300,USD/CLP,bruto,0.15,"1,1,1,1,1",290,2025-07-15,2026-09-10
Umbral cobre,-28.101591491972112,-28.250402405852647,-2.23262534660983,0.9210362062538808,-3.7297649233819716,-0.7371913216336459,300,USD/CLP,ida+vuelta 0.15%,0.15,"1,1,1,1,1",290,2025-07-15,2026-09-10
Kelly diario (con cobre),11.072047615047943,-7.5734332288708845,0.7899224743023413,0.9170823095696918,-0.7450247725231366,2.381243389606885,300,USD/CLP,bruto,0.15,,300,2025-07-15,2026-09-10
Kelly diario (con cobre),-28.485659957800348,-30.543242678075433,-2.265467909070056,0.9211698584291483,-3.9428763747666706,-0.6876420187388027,300,USD/CLP,ida+vuelta 0.15%,0.15,,300,2025-07-15,2026-09-10
Umbral cobre,-2.205965510710717,-9.453376347755594,-0.20706179525869747,0.916554121503522,-2.1338079336343365,1.6011356571908688,300,USD/MXN,bruto,0.05,"1,1,1,1,1",290,2025-07-17,2026-09-11
Umbral cobre,-15.410138080729329,-16.724283976427714,-1.8005519121401454,0.91945816216972,-3.90188748590266,0.09494058843352418,300,USD/MXN,ida+vuelta 0.05%,0.05,"1,1,1,1,1",290,2025-07-17,2026-09-11
Kelly diario (con cobre),16.08685754379775,-7.718297139920227,1.798018224245867,0.919449898521502,-0.37558184104042613,3.6915825347190876,300,USD/MXN,bruto,0.05,,300,2025-07-17,2026-09-11
Kelly diario (con cobre),0.6498809432704089,-10.270108554867319,0.11201522863913692,0.9165265475437205,-2.189991892343111,2.150589823321455,300,USD/MXN,ida+vuelta 0.05%,0.05,,300,2025-07-17,2026-09-11
Umbral cobre,-19.25678688978526,-23.02241168157213,-1.5901478540265948,0.918811342802632,-3.4677042578785056,0.14754992760294586,300,USD/BRL,bruto,0.15,"1,1,1,1,1",290,2025-07-17,2026-09-11
Umbral cobre,-47.77218676781414,-48.426634763519,-4.92906095375853,0.9383457446359763,-6.918838854790429,-3.0968420702523485,300,USD/BRL,ida+vuelta 0.15%,0.15,"1,1,1,1,1",290,2025-07-17,2026-09-11
Kelly diario (con cobre),29.144716597983145,-6.844823193248473,2.042031877553254,0.9202987686877776,0.17419519834749117,3.9371146222127584,300,USD/BRL,bruto,0.15,,300,2025-07-17,2026-09-11
