par,ticker,es_commodity,original_rezago_+1_(reportado_como_predictivo),original_rezago_0,corregido_rezago_0_(contemporaneo),corregido_rezago_+1_(operable),n
USD/JPY,JPY=X,False,0.020748596934417652,0.015551188031647246,0.025018972904520972,-0.012144728377441343,4296
USD/PEN,PEN=X,True,0.05814006815190155,-0.009058390188657296,0.05406355721362233,0.005176067593689068,4079
USD/MXN,MXN=X,True,0.11609634529095603,0.16686843220271558,0.11564706665895289,0.0013201738141108254,4303
USD/COP,COP=X,True,0.15107122590261385,0.03401857358504561,0.1520341380179526,0.014075171328401559,4140
USD/CHF,CHF=X,False,0.16009468085279746,0.0485326585873523,0.16123032487714978,-0.03344085299369895,4293
USD/BRL,BRL=X,True,0.1929985676891527,0.074566388132751,0.19186265760938256,-0.0004885041421372806,4278
USD/NOK,USDNOK=X,True,0.2141422131577735,0.0731259064329233,0.21418522600058537,-0.039891974168356124,4308
EUR/USD,EURUSD=X,False,0.2243080712139696,0.07226813332418447,0.22570639342058424,0.0005892599838949397,4285
GBP/USD,GBPUSD=X,False,0.24876406228890496,0.0708109713674633,0.2480054327926029,0.010610098763426943,4288
USD/ZAR,ZAR=X,True,0.2505013283133311,0.05618697002961657,0.2505422836475783,-0.0022864454491809197,4302
USD/CLP,CLP=X,True,0.2551625309991533,0.018323694706234604,0.2556363299539579,0.08005992755510727,4199
USD/CAD,CAD=X,False,0.3130983330428392,0.0972709444212347,0.31354245666348973,-0.011197316888331935,4296
NZD/USD,NZDUSD=X,False,0.31545143726080294,0.1041403734287864,0.3157398819811787,-0.00029389703556086837,4286
AUD/USD,AUDUSD=X,False,0.374809421991384,0.11439337446655307,0.377458141680198,0.00586653505926091,4291
