estrategia,retorno_total_%,max_drawdown_%,sharpe,se_sharpe,ic95_bajo,ic95_alto,n_obs,sharpe_bruto,ic95_bruto,retorno_bruto_%,operaciones,apalancamiento_mediano,breakeven_spread_%,spread_%,n_decisiones,exp,par,N,h,coincidencia_con_cobre_%,sharpe_min_semillas,sharpe_max_semillas,n_semillas
PPO seed=7,-17.056933828113486,-32.50525118648252,-0.3941574789952315,0.9166563879286574,-2.2072548675418724,1.2875238760210042,300.0,0.22063620804776282,"[-1.60, 1.88]",2.675246949293486,182.0,6.008074175063765,0.0071771481173119175,0.02,300.0,diario,aud,1,1,46.7032967032967,,,
PPO seed=42,-30.273575632771898,-42.1921087712412,-0.7752820478448678,0.9170614867187755,-2.563557738798611,0.7902411400737889,300.0,-0.1091135914784582,"[-1.87, 1.45]",-9.85647423786794,231.0,5.7288238741043145,-0.003274431970809104,0.02,300.0,diario,aud,1,1,51.082251082251084,,,
PPO seed=123,-16.780604133294663,-31.801748362374337,-0.4173312308874667,0.916673483631871,-2.170677882584848,1.2202100129291966,300.0,0.2164085454936407,"[-1.52, 1.84]",2.6189669008298333,185.0,5.829030724611839,0.006829034630644087,0.02,300.0,diario,aud,1,1,50.27027027027027,,,
PPO (resumen semillas),-21.370371198060013,,-0.5289235859091886,,,,,0.1093103873543151,,,,,,0.02,,diario,aud,1,1,,-0.7752820478448678,-0.3941574789952315,3.0
Umbral cobre,47.86835234552189,-24.365359868555746,1.111620203409065,0.9176380000456127,-0.7770897652795876,2.9006483892443518,300.0,1.8991358954743658,"[0.01, 3.69]",105.37624540628205,290.0,5.914294813884303,0.04820227712629421,0.02,300.0,diario,aud,1,1,,,,
Umbral simple (forecast),5.753049466375559,-31.796580714168865,0.3167683342993383,0.9166063696934968,-1.6398541093532395,2.076858266360594,300.0,0.7886562159889031,"[-1.13, 2.49]",20.655776487978915,119.0,5.709527495005926,0.03342427936064475,0.02,300.0,diario,aud,1,1,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,0.3984264674413665,,,,,,0.0,300.0,diario,aud,1,1,,-1.1023675753928843,1.9213244402426428,
"Umbral cobre, salida al cierre (sin TP/SL)",31.611882238795896,-40.01299360116097,0.7512013798077719,0.9170280834603933,-1.223128605567414,2.7692922801299082,300.0,1.3895687056480253,"[-0.63, 3.45]",82.82479976000123,290.0,5.914294813884303,0.04351515981281848,0.02,300.0,diario,aud,1,1,,,,
"Control: azar, salida al cierre (300 sorteos, bruto)",,,,,,,,0.00519072848336475,,,,,,0.0,300.0,diario,aud,1,1,,-1.3576407572922804,1.366599383886469,
Buy-and-hold (sin apalancar),9.255558777673855,-5.135777022885913,0.9544505338461682,0.9173430618018169,-0.6522349787612284,2.562930660219134,300.0,,,,,,,0.0,300.0,diario,aud,1,1,,,,
PPO seed=7,-15.074351666505459,-37.957825105889356,-0.45111605893783696,0.916700156083976,-2.5034239613291875,1.7276345244142923,300.0,0.671495159686267,"[-1.38, 2.84]",17.08047399948962,168.0,9.606442975951328,0.011964014054867782,0.02,300.0,diario,cad,1,1,49.404761904761905,,,
PPO seed=42,-25.71462622753825,-30.55198893425549,-0.9095909137321536,0.9172670963522966,-2.7319162839011764,0.9989255765010875,300.0,0.1854413752328101,"[-1.59, 2.02]",1.8914108117691342,158.0,9.935189460744109,0.0033844296019318863,0.02,300.0,diario,cad,1,1,51.89873417721519,,,
