exp,par,N,h,estrategia,spread_ida_vuelta_%,sharpe,retorno_total_%
diario,aud,1,1,PPO seed=7,0.0,0.22063620804776282,2.675246949293486
diario,aud,1,1,PPO seed=7,0.02,-0.3941574789952315,-17.056933828113486
diario,aud,1,1,PPO seed=7,0.05,-1.3135868037357594,-39.80754816315215
diario,aud,1,1,PPO seed=7,0.1,-2.8231103537572597,-64.76960446973199
diario,aud,1,1,PPO seed=7,0.15,-4.280853779326313,-79.41324640994274
diario,aud,1,1,PPO seed=7,0.2,-5.664288933574184,-87.9898428642109
diario,aud,1,1,PPO seed=7,0.3,-8.148167397468548,-95.93253327557157
diario,aud,1,1,Umbral cobre,0.0,1.8991358954743658,105.37624540628205
diario,aud,1,1,Umbral cobre,0.02,1.111620203409065,47.86835234552189
diario,aud,1,1,Umbral cobre,0.05,-0.07088284341700113,-9.728577574721253
diario,aud,1,1,Umbral cobre,0.1,-2.041863215162359,-60.417300052199295
diario,aud,1,1,Umbral cobre,0.15,-4.007928216285736,-82.68552598740585
diario,aud,1,1,Umbral cobre,0.2,-5.9632703384737376,-92.4446323735267
diario,aud,1,1,Umbral cobre,0.3,-9.819407822942837,-98.57192924142477
diario,cad,1,1,PPO seed=7,0.0,0.671495159686267,17.08047399948962
diario,cad,1,1,PPO seed=7,0.02,-0.45111605893783696,-15.074351666505459
diario,cad,1,1,PPO seed=7,0.05,-2.119891829013941,-47.59606655490576
diario,cad,1,1,PPO seed=7,0.1,-4.75779071575759,-76.63607313967123
diario,cad,1,1,PPO seed=7,0.15,-7.092333019360436,-89.6243917104021
diario,cad,1,1,PPO seed=7,0.2,-9.055508025289601,-95.4106617969217
diario,cad,1,1,PPO seed=7,0.3,-11.920703258145302,-99.11292565358046
diario,cad,1,1,Umbral cobre,0.0,1.4498058971093453,67.31392556374264
diario,cad,1,1,Umbral cobre,0.02,0.07094684891541865,-3.7968515351082366
diario,cad,1,1,Umbral cobre,0.05,-1.998544564310015,-58.13950874600933
diario,cad,1,1,Umbral cobre,0.1,-5.439346666898961,-89.59699375868708
diario,cad,1,1,Umbral cobre,0.15,-8.851185342361424,-97.43216565928691
diario,cad,1,1,Umbral cobre,0.2,-12.21350810706977,-99.37049436717072
diario,cad,1,1,Umbral cobre,0.3,-18.715198993036523,-99.9629473257882
diario,clp,1,1,PPO seed=7,0.0,0.09458325617761157,0.38612332401886107
diario,clp,1,1,PPO seed=7,0.02,-0.04488969740506807,-0.35953583691344937
diario,clp,1,1,PPO seed=7,0.05,-0.25325891836005643,-1.468940459561896
diario,clp,1,1,PPO seed=7,0.1,-0.5889249257614866,-3.2939486030200804
diario,clp,1,1,PPO seed=7,0.15,-0.8974600992077184,-5.089319343168041
diario,clp,1,1,PPO seed=7,0.2,-1.1696227558052126,-6.8554660570537385
diario,clp,1,1,PPO seed=7,0.3,-1.5967853267169088,-10.301716886691848
diario,clp,1,1,Umbral cobre,0.0,1.6598510896843077,86.23523815376333
diario,clp,1,1,Umbral cobre,0.02,1.1240754910959005,48.81876651408685
diario,clp,1,1,Umbral cobre,0.05,0.3192911427274044,6.268066593236599
diario,clp,1,1,Umbral cobre,0.1,-1.023668700000249,-39.43148063858535
diario,clp,1,1,Umbral cobre,0.15,-2.366509773102003,-65.51801433071567
diario,clp,1,1,Umbral cobre,0.2,-3.706711144066142,-80.3918523211866
diario,clp,1,1,Umbral cobre,0.3,-6.369240920672423,-93.68150684191451
diario,nzd,1,1,PPO seed=7,0.0,0.7783652416373215,27.35313499749299
diario,nzd,1,1,PPO seed=7,0.02,0.11685412743990818,-1.8674869586873144
diario,nzd,1,1,PPO seed=7,0.05,-0.8746114032785732,-33.657135789031166
diario,nzd,1,1,PPO seed=7,0.1,-2.5189448755454524,-65.4990340160942
diario,nzd,1,1,PPO seed=7,0.15,-4.143705305881746,-82.0891273701699
diario,nzd,1,1,PPO seed=7,0.2,-5.73862563341091,-90.71789133078848
diario,nzd,1,1,PPO seed=7,0.3,-8.802942979261784,-97.5201616891909
diario,nzd,1,1,Umbral cobre,0.0,0.44888940393555626,12.491111281062949
diario,nzd,1,1,Umbral cobre,0.02,-0.23620178883923776,-17.233430372722715
diario,nzd,1,1,Umbral cobre,0.05,-1.263537571779974,-47.797460353264206
diario,nzd,1,1,Umbral cobre,0.1,-2.973426284141476,-75.82493609151747
diario,nzd,1,1,Umbral cobre,0.15,-4.6779174579935345,-88.8277332813879
diario,nzd,1,1,Umbral cobre,0.2,-6.374197551889219,-94.8476224981092
diario,nzd,1,1,Umbral cobre,0.3,-9.731234802941,-98.91107347688846
multidia,clp,2,1,PPO seed=7,0.0,0.5139962527069498,4.257603911747454
multidia,clp,2,1,PPO seed=7,0.02,0.4471563581242914,3.644068782894605
multidia,clp,2,1,PPO seed=7,0.05,0.3458726137194255,2.7295217845126896
multidia,clp,2,1,PPO seed=7,0.1,0.1756391460336149,1.2205195048480943
multidia,clp,2,1,PPO seed=7,0.15,0.005778621637924308,-0.269600246741708
multidia,clp,2,1,PPO seed=7,0.2,-0.1612945144737543,-1.7410331670634882
multidia,clp,2,1,PPO seed=7,0.3,-0.4787065122127107,-4.628613247340462
multidia,clp,2,1,Umbral cobre,0.0,1.6221460371791283,78.6456167791941
multidia,clp,2,1,Umbral cobre,0.02,1.3357001183610737,59.38238267312303
