unique_id,ds,cutoff,y,AutoARIMA,AutoARIMA-lo-90,AutoARIMA-lo-80,AutoARIMA-hi-80,AutoARIMA-hi-90,Naive,Naive-lo-80,Naive-lo-90,Naive-hi-80,Naive-hi-90,NBEATS-median,NBEATS-lo-90,NBEATS-lo-80,NBEATS-hi-80,NBEATS-hi-90,NHITS-median,NHITS-lo-90,NHITS-lo-80,NHITS-hi-80,NHITS-hi-90
USDCLP,2024-03-31,2024-02-29,980.4600219726562,970.9883710859272,928.7116342622653,938.0493804215139,1003.9273617503404,1013.265107909589,978.6400146484376,944.7741836667681,935.173691156216,1012.5058456301072,1022.1063381406592,1006.6935,1001.33545,1005.63385,1006.83484,1004.75195,999.219,997.673,1000.67914,1002.23755,1002.1692
USDCLP,2024-04-30,2024-02-29,941.5399780273438,976.1407467836691,922.9501983639092,934.698499593652,1017.5829939736863,1029.331295203429,978.6400146484376,930.7464971731256,917.1693504592415,1026.5335321237496,1040.1106788376337,984.9951,983.57916,984.5374,987.7705,985.08264,992.7309,991.3459,990.61145,993.8965,993.40576
USDCLP,2024-05-31,2024-02-29,916.8400268554688,978.2650847640427,914.7876867324909,928.8080647039635,1027.722104824122,1041.7424827955945,978.6400146484376,919.9826747476458,903.3541339416851,1037.2973545492293,1053.92589535519,939.4009,938.85754,936.10944,939.85406,939.98596,968.4029,965.83856,969.9955,969.0232,968.8918
USDCLP,2024-06-30,2024-02-29,954.1300048828124,981.1055269794567,909.0562705683345,924.9699317890634,1037.24112216985,1053.154783390579,978.6400146484376,910.9083526850985,891.7073676639943,1046.3716766117766,1065.572661632881,919.6769,918.24976,917.08875,919.0679,916.5622,942.5086,937.5747,941.8226,945.3364,942.72565
USDCLP,2024-07-31,2024-02-29,955.5399780273438,983.7766168540786,904.0154570388926,921.6324615590856,1045.9207721490716,1063.5377766692645,978.6400146484376,902.913714458906,881.446360587834,1054.3663148379692,1075.8336687090411,943.8385,939.5861,942.2892,944.92694,946.2884,961.89166,960.3361,962.6709,966.0625,963.1129
USDCLP,2024-08-31,2024-02-29,914.5800170898438,986.4877570648505,899.709587343563,918.8764526671906,1054.0990614625105,1073.265926786138,978.6400146484376,895.6860090280094,872.1697010977452,1061.594020268866,1085.11032819913,961.07605,963.5947,961.3357,960.48224,962.90826,985.7764,983.8302,983.96234,988.17474,984.43994
USDCLP,2024-09-30,2024-08-31,899.75,926.6113503897484,883.9703295651938,893.3885358494609,959.8341649300359,969.252371214303,914.5800170898438,880.574729957093,870.9347035654816,948.5853042225945,958.2253306142059,995.0021,996.8116,995.08655,999.1824,999.5587,986.41986,987.3449,989.66943,988.1025,990.84314
USDCLP,2024-10-31,2024-08-31,961.3400268554688,926.7766253094096,872.8008923547262,884.7226188397308,968.8306317790884,980.752358264093,914.5800170898438,866.4892788343165,852.856222769665,962.670755345371,976.3038114100225,977.578,977.12506,977.37524,976.09265,979.98224,980.3927,966.9328,974.8228,975.364,976.3224
USDCLP,2024-11-30,2024-08-31,977.4400024414062,929.5990035044229,865.1429232245864,879.3794646725156,979.8185423363301,994.0550837842593,914.5800170898438,855.6811320499514,838.9841165533755,973.4789021297361,990.175917626312,956.71356,950.1459,952.6055,951.1917,947.4992,953.8957,950.0959,956.25214,952.8921,956.3598
USDCLP,2024-12-31,2024-08-31,993.3499755859376,931.8263907100405,858.5987546723649,874.7726869229483,988.8800944971327,1005.0540267477162,914.5800170898438,846.5694428243424,827.2893900411195,982.590591355345,1001.870644138568,1036.0198,1037.8284,1037.8474,1038.1057,1035.7217,1024.4001,1022.90546,1017.6946,1021.26056,1024.3651
