unique_id,ds,cutoff,NBEATS-median,NBEATS-lo-90,NBEATS-lo-80,NBEATS-hi-80,NBEATS-hi-90,NHITS-median,NHITS-lo-90,NHITS-lo-80,NHITS-hi-80,NHITS-hi-90,y
USDCLP,2026-06-08,2026-06-05,887.9695,883.122,887.21906,889.9162,890.8412,897.2118,893.7833,895.09326,898.87506,899.56244,914.260009765625
USDCLP,2026-06-09,2026-06-05,889.30396,888.90247,888.75,890.146,890.212,901.4053,900.23926,901.8046,902.83344,904.5956,922.9199829101562
USDCLP,2026-06-10,2026-06-05,888.0048,887.08777,887.3114,888.3285,888.80194,899.63434,897.2564,898.29694,902.24976,903.1299,916.4299926757812
USDCLP,2026-06-11,2026-06-05,887.3693,885.76105,886.5767,887.16,887.5646,894.25885,888.33,889.6479,896.93744,897.5415,915.1799926757812
USDCLP,2026-06-12,2026-06-05,880.9709,880.0048,880.96674,881.55835,882.85583,887.7569,883.5979,884.3271,890.299,891.7816,906.02001953125
USDCLP,2026-06-15,2026-06-05,879.7682,878.95856,879.6199,880.44904,881.1,892.2841,887.36597,888.3894,894.3869,896.1543,899.1099853515625
USDCLP,2026-06-16,2026-06-05,890.0923,889.0228,890.00464,890.9588,891.1707,893.71674,888.32404,888.9758,895.99316,897.3919,889.969970703125
USDCLP,2026-06-17,2026-06-05,888.4948,887.7562,888.6911,889.16656,889.9838,892.38684,888.3215,888.02026,895.63025,896.5305,885.260009765625
USDCLP,2026-06-18,2026-06-05,883.3286,883.39465,883.35284,884.0331,884.57623,890.283,886.84937,885.6872,894.70886,895.83014,886.3499755859375
USDCLP,2026-06-19,2026-06-05,893.7553,894.0651,894.0018,894.9833,896.3402,900.2478,896.76184,897.36334,901.8252,902.2252,900.1799926757812
USDCLP,2026-06-22,2026-06-05,906.4349,904.9046,905.7236,906.3662,906.3697,902.65326,902.0176,901.43884,903.586,904.0111,901.2100219726562
USDCLP,2026-06-23,2026-06-05,911.0678,909.6263,910.10455,911.37555,912.25476,905.09064,900.956,902.00275,906.3533,905.99774,905.9500122070312
USDCLP,2026-06-24,2026-06-05,912.1601,910.65106,911.45825,913.26843,913.05664,906.71027,903.1236,903.75354,909.7422,909.40625,913.469970703125
USDCLP,2026-06-25,2026-06-05,905.92255,904.4408,905.336,905.9944,906.40857,909.1892,906.7307,907.32104,911.4798,911.9145,918.219970703125
USDCLP,2026-06-26,2026-06-25,915.7099,916.1185,915.6859,916.12524,915.91284,927.0284,921.25635,922.4254,926.70575,927.0041,919.8300170898438
USDCLP,2026-06-29,2026-06-25,912.1382,911.775,911.9306,912.2345,912.48456,923.62726,918.4542,919.66425,924.0043,925.22845,921.989990234375
USDCLP,2026-06-30,2026-06-25,910.92615,910.586,910.77,911.3464,911.48285,919.8429,915.6433,916.9342,921.3973,921.7042,921.760009765625
USDCLP,2026-07-01,2026-06-25,912.5363,912.04156,912.4376,913.4943,913.5398,911.28265,907.14966,908.1958,912.14276,913.08936,921.5700073242188
USDCLP,2026-07-02,2026-06-25,916.6303,916.0352,915.7139,917.07294,917.2599,916.1272,912.7722,912.27893,918.8999,919.7448,925.0599975585938
