fuente_fx,moneda,commodity,n,corr_contemporanea,corr_operable,rezago_-2,rezago_-1,rezago_0,rezago_1,rezago_2,rezago_3,horas_mediana_settlement_a_entrada,sharpe_bruto,ic95_bruto,spread_supuesto_%,sharpe_neto,ic95_neto
FRED H.10 (mediodia NY),AUD,HG_F,4138,0.44827946341046043,0.012041205356394084,0.006514628514956233,0.028928207592658555,0.4521800920769915,0.03559769702339759,0.014275977017915043,0.006816568988028743,23.0,0.06928743577788635,"[-0.40, 0.58]",0.02,-0.39145911027262054,"[-0.87, 0.12]"
Yahoo diario (corregido),AUD,HG_F,4311,0.34369833776577724,0.007449406960949492,0.019182221247885718,0.1094891219897321,0.34364847378748287,0.1365581659634866,0.010087601626367921,0.0030495382766038046,7.0,0.04689534698186343,"[-0.41, 0.52]",0.02,-0.4221279242445954,"[-0.89, 0.05]"
FRED H.10 (mediodia NY),CAD,HG_F,4144,0.3840764676014547,0.0028758779762812626,-0.0029612576361176617,0.01186882849060832,0.38455091015340165,0.030082807563955975,0.0050202275695664855,0.019124097668733204,23.0,0.08105270858144432,"[-0.42, 0.58]",0.02,-0.5795651917528561,"[-1.08, -0.09]"
Yahoo diario (corregido),CAD,HG_F,4316,0.2970263295718124,-0.012554469443318759,0.0217839337603986,0.08446073289847558,0.29628192475951953,0.08581814764506432,0.008556480460646642,0.011937331532051555,7.0,-0.11319923104209507,"[-0.57, 0.37]",0.02,-0.7815419632905531,"[-1.24, -0.29]"
FRED H.10 (mediodia NY),MXN,HG_F,4170,0.3136595180341588,0.015078609361444608,0.016999984237470473,0.004344039235335277,0.3086511267448184,0.01569682395962754,0.015070077003304061,0.007748081769054054,23.0,0.19588491249717782,"[-0.27, 0.66]",0.05,-0.8582450012432825,"[-1.34, -0.40]"
Yahoo diario (corregido),MXN,HG_F,4323,0.13474187855760844,-5.88672486228828e-05,0.024437573193808054,0.14539148946363947,0.13474187855760844,0.05569056999383968,-0.007843953859747638,0.01584386690168136,7.0,-0.0021796385260780572,"[-0.48, 0.47]",0.05,-1.028161266909724,"[-1.51, -0.56]"
FRED H.10 (mediodia NY),NOK,CL_F,4151,0.29228360201684533,0.01957904917197665,0.021126937215425617,-0.025614793183387004,0.2922182139285056,0.06317299208138547,0.01798815520186565,0.011152225825943492,21.5,-0.09846006681539592,"[-0.58, 0.39]",0.08,-1.8034973087908241,"[-2.30, -1.28]"
Yahoo diario (corregido),NOK,CL_F,4192,0.22574051471113402,-0.12232425726758407,0.007411274401736626,-0.05066043594310426,0.22576278513205023,0.022388759406850676,-0.09158408106117615,0.07638218650623263,5.5,-0.21776175611144372,"[-0.60, 0.31]",0.08,-1.3382237467504379,"[-2.02, -1.03]"
FRED H.10 (mediodia NY),ZAR,PL_F,4142,0.3632269609183812,-0.005583577053387481,-0.01013477473038747,0.03145449631198091,0.3629844499708047,0.005685638854490025,-0.0027001523439669525,0.017201281269184274,22.916666666666668,-0.4473309536229324,"[-0.93, 0.04]",0.1,-2.131978315652609,"[-2.62, -1.65]"
Yahoo diario (corregido),ZAR,PL_F,4168,0.2171280875860755,-0.01795671716593476,0.011633810097864133,0.07712587787868326,0.21710268480646314,0.03711332646276713,0.005575527635290051,0.0021303655963877443,6.916666666666667,-0.551623090893352,"[-0.99, -0.05]",0.1,-1.9183163692288276,"[-2.38, -1.53]"
FRED H.10 (mediodia NY),ZAR,GC_F,4143,0.2867287812286879,0.003124155204038047,0.017687173285660433,-0.006283296262292282,0.2860063596149171,0.026080180001840942,0.00501920977875886,0.002254073487510716,22.5,0.140980655679774,"[-0.37, 0.66]",0.1,-1.5418309134544574,"[-2.05, -1.02]"
Yahoo diario (corregido),ZAR,GC_F,4170,0.15971772236819973,-0.012425489482801621,0.01203599481027307,0.052654844993503765,0.15962780180412592,0.05428046699756971,-0.0010636977743553174,-0.019567285275162806,6.5,0.11022617772964773,"[-0.30, 0.61]",0.1,-1.2550605940894717,"[-1.75, -0.84]"
FRED H.10 (mediodia NY),BRL,ZS_F,4141,0.22900938985709657,0.00817874035878455,-0.0049253908417667535,0.026966962686201044,0.22844013853280595,0.038823837732864304,0.008900401814577888,-0.017115772797887202,21.75,0.17365864903596612,"[-0.32, 0.70]",0.15,-2.3999924677281865,"[-2.89, -1.88]"
Yahoo diario (corregido),BRL,ZS_F,4150,0.1769387381729607,-0.0055990606218242625,0.006711846795342946,0.0685240407788365,0.17732711672204138,0.05364206282654076,0.004614180862329495,-0.006998011293388448,5.75,-0.19165133096819836,"[-0.67, 0.27]",0.15,-2.440168286617739,"[-2.95, -1.95]"
