moneda,commodity,rezago,correlacion,p_valor,n_obs,p_valor_fdr,sobrevive_fdr,supera_umbral_r,hallazgo_real
NOK,WTI (petroleo),1,0.2746453413430109,4.101263150710686e-76,4349,3.691136835639617e-74,True,True,True
ZAR,Platino,1,0.22751265031875803,7.165331745668166e-52,4323,3.2243992855506746e-50,True,True,True
ZAR,Oro,1,0.19387712144320982,7.002214158703787e-38,4323,2.1006642476111363e-36,True,True,True
BRL,Soja,1,0.18640132338575924,4.2624193299590316e-35,4323,9.59044349240782e-34,True,True,True
BRL,Platino,1,0.18337150166357763,5.310078005171464e-34,4323,9.558140409308636e-33,True,True,True
NOK,Platino,1,0.17835408740995948,1.993349393776802e-32,4351,2.990024090665203e-31,True,True,True
NOK,Oro,1,0.17200135335668887,3.0449476080337628e-30,4351,3.914932638900552e-29,True,True,True
BRL,WTI (petroleo),1,0.13805774405434476,7.781268232102442e-20,4321,8.753926761115248e-19,True,True,True
NOK,WTI (petroleo),2,-0.13542870392787937,2.995921369310161e-19,4348,2.9959213693101606e-18,True,True,True
BRL,Oro,1,0.11847218039732756,5.5062643305638625e-15,4323,4.955637897507477e-14,True,True,True
ZAR,WTI (petroleo),1,0.11827108170085134,6.210025456962377e-15,4321,5.080929919332854e-14,True,True,True
NOK,Soja,1,0.10375635941666607,6.859846433944808e-12,4351,5.144884825458606e-11,True,False,False
ZAR,Soja,1,0.10096270040720248,2.8652303965174886e-11,4323,1.983621043742877e-10,True,False,False
NOK,WTI (petroleo),3,0.07757444799067549,3.0413162158220245e-07,4347,1.955131853028444e-06,True,False,False
NOK,Platino,0,0.07576547178614071,5.615791344092646e-07,4352,3.3694748064555877e-06,True,False,False
NOK,Platino,3,0.07547583307960432,6.258048914720487e-07,4349,3.5201525145302736e-06,True,False,False
ZAR,Platino,0,0.07433289878669742,9.917160107209453e-07,4324,5.250261233228534e-06,True,False,False
BRL,Platino,0,0.06603149302970504,1.3894044928989958e-05,4324,6.947022464494979e-05,True,False,False
NOK,Oro,3,0.06272828922644194,3.4787089315414376e-05,4349,0.00016478094938880494,True,False,False
BRL,Hierro,0,0.05960254375833702,0.0001241852032213905,4141,0.0005588334144962573,True,False,False
BRL,Soja,0,0.048591794860332965,0.001392403517828628,4324,0.005967443647836977,True,False,False
NOK,Platino,-1,-0.047237242191759905,0.001828797042075499,4351,0.0074814424448543144,True,False,False
ZAR,Hierro,0,0.04738209700656646,0.0022922995968935778,4140,0.008969867987844436,True,False,False
ZAR,Hierro,-2,0.045704525438288214,0.003274751102708977,4138,0.012280316635158663,True,False,False
BRL,Oro,0,0.038643759967511536,0.01104356750160618,4324,0.03975684300578225,True,False,False
NOK,Oro,-2,0.03698685594721898,0.01470417099227224,4350,0.05089905343478853,False,False,False
