moneda,commodity,rezago,correlacion,p_valor,n_obs,p_valor_fdr,sobrevive_fdr,supera_umbral_r,hallazgo_real
NOK,WTI (petroleo),1,0.2746453413430109,4.101263150710686e-76,4349,3.691136835639617e-74,True,True,True
ZAR,Platino,1,0.22751265031875803,7.165331745668166e-52,4323,3.2243992855506746e-50,True,True,True
ZAR,Oro,1,0.19387712144320982,7.002214158703787e-38,4323,2.1006642476111363e-36,True,True,True
BRL,Soja,1,0.18640132338575924,4.2624193299590316e-35,4323,9.59044349240782e-34,True,True,True
BRL,Platino,1,0.18337150166357763,5.310078005171464e-34,4323,9.558140409308636e-33,True,True,True
NOK,Platino,1,0.17835408740995948,1.993349393776802e-32,4351,2.990024090665203e-31,True,True,True
NOK,Oro,1,0.17200135335668887,3.0449476080337628e-30,4351,3.914932638900552e-29,True,True,True
BRL,WTI (petroleo),1,0.13805774405434476,7.781268232102442e-20,4321,8.753926761115248e-19,True,True,True
NOK,WTI (petroleo),2,-0.13542870392787937,2.995921369310161e-19,4348,2.9959213693101606e-18,True,True,True
BRL,Oro,1,0.11847218039732756,5.5062643305638625e-15,4323,4.955637897507477e-14,True,True,True
ZAR,WTI (petroleo),1,0.11827108170085134,6.210025456962377e-15,4321,5.080929919332854e-14,True,True,True
