moneda,commodity,regimen,n_obs,retorno_total_%,sharpe_anualizado,win_rate_%
NOK,WTI (petroleo),2014-2016 (crash petroleo),782,305.14888006255586,4.1601614135061125,58.18414322250639
NOK,WTI (petroleo),2020 (shock COVID),259,326.39166211281525,2.8352929815202708,63.7065637065637
NOK,WTI (petroleo),2022 (guerra/inflacion),259,101.23496519994815,4.77329681961548,59.84555984555985
ZAR,Platino,2014-2016 (crash petroleo),781,584.996025204275,4.141326922286955,57.234314980793854
ZAR,Platino,2020 (shock COVID),261,56.56538011731047,2.5309432308150086,54.406130268199234
ZAR,Platino,2022 (guerra/inflacion),259,136.2061825955261,5.955615388039417,62.16216216216216
ZAR,Oro,2014-2016 (crash petroleo),781,151.84109518159147,1.9765247450891636,53.90524967989757
ZAR,Oro,2020 (shock COVID),261,-1.6036828699656724,0.0024257960949737568,47.89272030651341
ZAR,Oro,2022 (guerra/inflacion),259,137.89599013685051,6.032396516008914,64.86486486486487
BRL,Soja,2014-2016 (crash petroleo),782,319.379530599573,2.759096578842702,55.1150895140665
BRL,Soja,2020 (shock COVID),261,25.56702350408826,1.11946037196233,49.042145593869726
BRL,Soja,2022 (guerra/inflacion),259,163.26490809276177,5.6597113179997915,62.54826254826254
BRL,Platino,2014-2016 (crash petroleo),782,278.69428836058836,2.5439839332449945,54.347826086956516
BRL,Platino,2020 (shock COVID),261,64.32660848252965,2.3025951551373267,53.25670498084292
BRL,Platino,2022 (guerra/inflacion),259,161.75829644586148,5.646458927910564,62.93436293436293
NOK,Platino,2014-2016 (crash petroleo),782,236.04926292224633,3.5870950454552406,58.43989769820972
NOK,Platino,2020 (shock COVID),261,-21.4865411342255,-0.0599847852009199,59.77011494252874
NOK,Platino,2022 (guerra/inflacion),259,164.79031126435527,6.918450149530184,64.86486486486487
NOK,Oro,2014-2016 (crash petroleo),782,134.42721537460906,2.5061153862033927,56.13810741687979
NOK,Oro,2020 (shock COVID),261,11.339495001604693,0.5099346460769649,54.406130268199234
NOK,Oro,2022 (guerra/inflacion),259,129.01048640389888,5.818349804416593,62.54826254826254
BRL,WTI (petroleo),2014-2016 (crash petroleo),782,774.4176173877734,4.1709315773620945,57.672634271099746
BRL,WTI (petroleo),2020 (shock COVID),259,48.48957542439409,1.8615277097242187,51.35135135135135
BRL,WTI (petroleo),2022 (guerra/inflacion),259,76.42696777820332,3.2286672764087236,56.37065637065637
BRL,Oro,2014-2016 (crash petroleo),782,118.54586508115474,1.5213132269558902,51.023017902813294
BRL,Oro,2020 (shock COVID),261,-2.302519207677922,0.00872780899168439,46.74329501915709
BRL,Oro,2022 (guerra/inflacion),259,76.99503071237366,3.248138997322468,53.66795366795367
ZAR,WTI (petroleo),2014-2016 (crash petroleo),781,577.6420456369221,4.106807536921562,58.25864276568502
ZAR,WTI (petroleo),2020 (shock COVID),259,91.0945305580602,3.6896044193732678,56.37065637065637
ZAR,WTI (petroleo),2022 (guerra/inflacion),259,12.392274750369992,0.8247546931712489,52.8957528957529
