moneda,commodity,regimen,rezago,correlacion,p_valor,n_obs
NOK,WTI (petroleo),2014-2016 (crash petroleo),-2,0.01395242165716509,0.6970438384639711,781
NOK,WTI (petroleo),2014-2016 (crash petroleo),-1,0.04705811425571864,0.1886548776150835,782
NOK,WTI (petroleo),2014-2016 (crash petroleo),0,0.006238545685922325,0.8616370486812894,783
NOK,WTI (petroleo),2014-2016 (crash petroleo),1,0.35523407084119435,1.132054947461473e-24,782
NOK,WTI (petroleo),2014-2016 (crash petroleo),2,-0.03204064956522952,0.371206607862579,781
NOK,WTI (petroleo),2014-2016 (crash petroleo),3,0.03685406095493707,0.30396091176672607,780
NOK,WTI (petroleo),2020 (shock COVID),-2,0.0001680591168049188,0.9978566283250734,258
NOK,WTI (petroleo),2020 (shock COVID),-1,0.019615822853786928,0.7533767003658186,259
NOK,WTI (petroleo),2020 (shock COVID),0,-0.10991387117477733,0.07687181185039196,260
NOK,WTI (petroleo),2020 (shock COVID),1,0.29690551097459494,1.1429347554825977e-06,259
NOK,WTI (petroleo),2020 (shock COVID),2,-0.33596621758824885,3.168905766966512e-08,258
NOK,WTI (petroleo),2020 (shock COVID),3,0.21115100782237625,0.0006568094673903953,257
NOK,WTI (petroleo),2022 (guerra/inflacion),-2,-0.030692311495230447,0.6236292478862014,258
NOK,WTI (petroleo),2022 (guerra/inflacion),-1,-0.03876734567077208,0.5345225701095839,259
NOK,WTI (petroleo),2022 (guerra/inflacion),0,0.0034739564689253415,0.955544051651883,260
NOK,WTI (petroleo),2022 (guerra/inflacion),1,0.3659812187855621,1.2520492442030972e-09,259
NOK,WTI (petroleo),2022 (guerra/inflacion),2,-0.012266757477757448,0.8445444782640181,258
NOK,WTI (petroleo),2022 (guerra/inflacion),3,-0.13378008648881742,0.03204497348903221,257
ZAR,Platino,2014-2016 (crash petroleo),-2,0.011740999828778227,0.7433701440233128,780
ZAR,Platino,2014-2016 (crash petroleo),-1,0.04062562810301362,0.25679923121326675,781
ZAR,Platino,2014-2016 (crash petroleo),0,0.1674459509628748,2.498001190750368e-06,782
ZAR,Platino,2014-2016 (crash petroleo),1,0.29798916835222583,1.7631830941530962e-17,781
ZAR,Platino,2014-2016 (crash petroleo),2,-0.028483243907128863,0.42697475942828245,780
ZAR,Platino,2014-2016 (crash petroleo),3,0.009347337962928285,0.794496397189623,779
ZAR,Platino,2020 (shock COVID),-2,-0.11576119099720082,0.06233995321418013,260
ZAR,Platino,2020 (shock COVID),-1,-0.01850494510177434,0.76604887789767,261
ZAR,Platino,2020 (shock COVID),0,0.025916661972953094,0.6762672799202399,262
ZAR,Platino,2020 (shock COVID),1,0.2643561957227092,1.5078480323341544e-05,261
ZAR,Platino,2020 (shock COVID),2,-0.0049163745019827525,0.9371180001367996,260
ZAR,Platino,2020 (shock COVID),3,0.20926116528957822,0.0007013540984273741,259
ZAR,Platino,2022 (guerra/inflacion),-2,0.002148871589522269,0.9725993097031477,258
ZAR,Platino,2022 (guerra/inflacion),-1,-0.060569175658903227,0.33157546022212714,259
ZAR,Platino,2022 (guerra/inflacion),0,0.10913431725012639,0.0790015281506155,260
ZAR,Platino,2022 (guerra/inflacion),1,0.41713275284739537,2.515379870918201e-12,259
ZAR,Platino,2022 (guerra/inflacion),2,-0.06232319851353425,0.31868318216863406,258
ZAR,Platino,2022 (guerra/inflacion),3,-0.07363989539142922,0.23944290035078927,257
ZAR,Oro,2014-2016 (crash petroleo),-2,0.00672795946709811,0.8511882988832842,780
ZAR,Oro,2014-2016 (crash petroleo),-1,0.050871701189712654,0.15551385004575255,781
ZAR,Oro,2014-2016 (crash petroleo),0,0.023229688075290467,0.5165649500365677,782
ZAR,Oro,2014-2016 (crash petroleo),1,0.16941076288965923,1.923590090055104e-06,781
ZAR,Oro,2014-2016 (crash petroleo),2,-0.010112462165991305,0.7779588698999383,780
ZAR,Oro,2014-2016 (crash petroleo),3,0.03756781488843118,0.29499576201028227,779
ZAR,Oro,2020 (shock COVID),-2,-0.03851672554274929,0.5363772608987439,260
ZAR,Oro,2020 (shock COVID),-1,0.04327234850673039,0.48639326567360375,261
ZAR,Oro,2020 (shock COVID),0,-0.10687037991317305,0.0842530355878552,262
ZAR,Oro,2020 (shock COVID),1,0.09060940633128323,0.1443401002498341,261
ZAR,Oro,2020 (shock COVID),2,0.009865523023956265,0.8742092649370166,260
ZAR,Oro,2020 (shock COVID),3,0.1488048659256344,0.016549702077619417,259
ZAR,Oro,2022 (guerra/inflacion),-2,0.022207627310787025,0.7225753530744313,258
ZAR,Oro,2022 (guerra/inflacion),-1,0.09235399059405046,0.1382665546326547,259
ZAR,Oro,2022 (guerra/inflacion),0,0.09264977424331694,0.13623977896861775,260
ZAR,Oro,2022 (guerra/inflacion),1,0.3275275973613168,6.848303173352137e-08,259
ZAR,Oro,2022 (guerra/inflacion),2,-0.030576844295492168,0.6249363457917018,258
ZAR,Oro,2022 (guerra/inflacion),3,-0.03755600596268491,0.548942750308482,257
BRL,Soja,2014-2016 (crash petroleo),-2,0.014550160357574102,0.6847466601392823,781
BRL,Soja,2014-2016 (crash petroleo),-1,-0.01916703078067463,0.5925228666173572,782
BRL,Soja,2014-2016 (crash petroleo),0,0.032652810501913064,0.3615166043240145,783
BRL,Soja,2014-2016 (crash petroleo),1,0.16102286651619482,6.032588485471221e-06,782
BRL,Soja,2014-2016 (crash petroleo),2,0.038663435778556444,0.28050934249101633,781
BRL,Soja,2014-2016 (crash petroleo),3,-0.018768365997869838,0.6007116505565944,780
BRL,Soja,2020 (shock COVID),-2,-0.018084277869607743,0.7716487626091356,260
BRL,Soja,2020 (shock COVID),-1,0.15052586770089144,0.01493168677867439,261
BRL,Soja,2020 (shock COVID),0,0.10367402873683335,0.09401229109682083,262
