ds,estrategia,posicion,pnl,capital
2025-07-17,"TFT panel (14 monedas, ID como covariable estatica)",1.0,0.25898236,100.25898
2025-07-18,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-0.16044231,100.09854
2025-07-21,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-1.0255288,99.07301
2025-07-22,"TFT panel (14 monedas, ID como covariable estatica)",1.0,0.3039137,99.37693
2025-07-23,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-0.277149,99.099785
2025-07-24,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,0.17633995,99.27612
2025-07-25,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-1.3613381,97.91479
2025-07-28,"TFT panel (14 monedas, ID como covariable estatica)",1.0,-2.2612138,95.65357
2025-07-29,"TFT panel (14 monedas, ID como covariable estatica)",1.0,-0.16735119,95.48622
2025-07-30,"TFT panel (14 monedas, ID como covariable estatica)",1.0,-2.0616379,93.42458
2025-07-31,"TFT panel (14 monedas, ID como covariable estatica)",1.0,0.8869647,94.31155
2025-08-01,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-2.5656757,91.74587
2025-08-04,"TFT panel (14 monedas, ID como covariable estatica)",1.0,-1.8846868,89.86118
2025-08-05,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-0.038426265,89.822754
2025-08-06,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,0.7374989,90.56025
2025-08-07,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-0.4220622,90.13818
2025-08-08,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-0.19093406,89.94725
2025-08-11,"TFT panel (14 monedas, ID como covariable estatica)",1.0,-0.12946874,89.81778
2025-08-12,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-1.2038505,88.61393
2025-08-13,"TFT panel (14 monedas, ID como covariable estatica)",1.0,0.30266058,88.91659
2025-08-14,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,1.1426201,90.059204
2025-08-15,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-0.17851408,89.88069
2025-08-18,"TFT panel (14 monedas, ID como covariable estatica)",-0.2494265,-0.00911499,89.871574
2025-08-19,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-0.10559653,89.765976
2025-08-20,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,0.2537507,90.01973
2025-08-21,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,0.43227178,90.452
2025-08-22,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-1.0284611,89.423546
2025-08-25,"TFT panel (14 monedas, ID como covariable estatica)",1.0,-0.28729245,89.13625
2025-08-26,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,0.3171239,89.45338
2025-08-27,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,0.19587544,89.649254
2025-08-28,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-0.03241827,89.61684
2025-08-29,"TFT panel (14 monedas, ID como covariable estatica)",1.0,0.12775153,89.74459
2025-09-01,"TFT panel (14 monedas, ID como covariable estatica)",1.0,-0.09281106,89.65178
2025-09-02,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,0.5245139,90.17629
2025-09-03,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-0.487262,89.68903
2025-09-04,"TFT panel (14 monedas, ID como covariable estatica)",1.0,-0.39834493,89.29069
2025-09-05,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-0.50924104,88.78145
2025-09-08,"TFT panel (14 monedas, ID como covariable estatica)",1.0,-0.34915996,88.43229
2025-09-09,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-0.35250792,88.07978
2025-09-10,"TFT panel (14 monedas, ID como covariable estatica)",1.0,0.43969557,88.51948
2025-09-11,"TFT panel (14 monedas, ID como covariable estatica)",1.0,0.8411913,89.36067
2025-09-12,"TFT panel (14 monedas, ID como covariable estatica)",1.0,1.1930549,90.55373
2025-09-15,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,1.0284494,91.58218
2025-09-16,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-0.3683549,91.21382
2025-09-17,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,0.41981944,91.633644
2025-09-18,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,0.32813174,91.96178
2025-09-19,"TFT panel (14 monedas, ID como covariable estatica)",1.0,-0.03442523,91.92735
2025-09-22,"TFT panel (14 monedas, ID como covariable estatica)",1.0,-0.081750184,91.845604
2025-09-23,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-0.79185057,91.05376
2025-09-24,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,0.37492165,91.42868
2025-09-25,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,0.67871064,92.10739
2025-09-26,"TFT panel (14 monedas, ID como covariable estatica)",0.0427997,-0.0035323433,92.10386
2025-09-29,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,0.47224277,92.5761
2025-09-30,"TFT panel (14 monedas, ID como covariable estatica)",-0.91521955,-0.36672598,92.20937
2025-10-01,"TFT panel (14 monedas, ID como covariable estatica)",1.0,0.118222415,92.3276
2025-10-02,"TFT panel (14 monedas, ID como covariable estatica)",1.0,-0.18437123,92.14323
2025-10-03,"TFT panel (14 monedas, ID como covariable estatica)",1.0,1.3747375,93.51797
2025-10-06,"TFT panel (14 monedas, ID como covariable estatica)",1.0,-1.3709061,92.147064
2025-10-07,"TFT panel (14 monedas, ID como covariable estatica)",1.0,0.22289608,92.36996
2025-10-08,"TFT panel (14 monedas, ID como covariable estatica)",1.0,0.8396665,93.209625
2025-10-09,"TFT panel (14 monedas, ID como covariable estatica)",1.0,-0.045629166,93.163994
2025-10-10,"TFT panel (14 monedas, ID como covariable estatica)",1.0,0.33742523,93.50142
2025-10-13,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,0.88381183,94.38523
2025-10-14,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,0.422392,94.807625
2025-10-15,"TFT panel (14 monedas, ID como covariable estatica)",1.0,0.123602256,94.93123
2025-10-16,"TFT panel (14 monedas, ID como covariable estatica)",1.0,0.41254377,95.34377
2025-10-17,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,0.51606905,95.85984
2025-10-20,"TFT panel (14 monedas, ID como covariable estatica)",1.0,0.97062546,96.83047
2025-10-21,"TFT panel (14 monedas, ID como covariable estatica)",1.0,-0.040732477,96.789734
2025-10-22,"TFT panel (14 monedas, ID como covariable estatica)",1.0,0.12229414,96.912025
2025-10-23,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-0.33603767,96.57599
2025-10-24,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-1.6583827,94.9176
2025-10-27,"TFT panel (14 monedas, ID como covariable estatica)",1.0,-0.95090467,93.9667
2025-10-28,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,0.17244363,94.139145
2025-10-29,"TFT panel (14 monedas, ID como covariable estatica)",1.0,0.112076014,94.25122
2025-10-30,"TFT panel (14 monedas, ID como covariable estatica)",1.0,-0.15107986,94.10014
2025-10-31,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-1.3874425,92.7127
2025-11-03,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,0.9621651,93.674866
2025-11-04,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,0.7779912,94.45286
2025-11-05,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-0.29735216,94.1555
2025-11-06,"TFT panel (14 monedas, ID como covariable estatica)",1.0,0.09485347,94.25036
2025-11-07,"TFT panel (14 monedas, ID como covariable estatica)",1.0,1.2165785,95.466934
2025-11-10,"TFT panel (14 monedas, ID como covariable estatica)",0.21660647,-0.17455213,95.29238
2025-11-11,"TFT panel (14 monedas, ID como covariable estatica)",-1.0,-0.23199147,95.06039
2025-11-12,"TFT panel (14 monedas, ID como covariable estatica)",1.0,0.5773273,95.63771
2025-11-13,"TFT panel (14 monedas, ID como covariable estatica)",1.0,0.014408187,95.65212
2025-11-14,"TFT panel (14 monedas, ID como covariable estatica)",1.0,1.1586229,96.810745
2025-11-17,"TFT panel (14 monedas, ID como covariable estatica)",1.0,-0.5360445,96.274704
