ds,posicion,razon_cierre,dias_hasta_salida,pnl,capital
2025-06-20,-1.0,take_profit,6,4.573160194961286,104.57316019496129
2025-07-01,-1.0,trailing_stop,5,-1.2751888216472766,103.29797137331401
2025-07-10,-1.0,trailing_stop,3,1.2349395289032945,104.53291090221731
2025-07-21,-1.0,trailing_stop,6,5.3246247554675445,109.85753565768485
2025-07-30,1.0,trailing_stop,3,3.2022097284233,113.05974538610815
2025-08-08,-1.0,trailing_stop,5,1.2335453035311108,114.29329068963926
2025-08-19,1.0,trailing_stop,4,-1.4274257755753466,112.86586491406392
2025-08-28,1.0,cierre_periodo,7,-0.5556970130780895,112.31016790098583
2025-09-12,-1.0,trailing_stop,2,2.425487879590412,114.73565578057624
2025-09-23,-1.0,trailing_stop,3,0.4105365494626242,115.14619233003886
2025-10-02,-1.0,take_profit,2,0.983452714837751,116.12964504487661
2025-10-13,-1.0,stop_loss,1,-3.48388935134623,112.64575569353038
2025-10-22,-1.0,trailing_stop,4,6.5389642657557046,119.18471995928608
2025-10-31,-1.0,trailing_stop,2,3.251123686740777,122.43584364602687
2025-11-11,-1.0,trailing_stop,6,5.440478255997662,127.87632190202453
2025-11-20,-1.0,trailing_stop,2,-2.8813754461506518,124.99494645587387
2025-12-05,-1.0,stop_loss,3,-4.0319950415965735,120.9629514142773
2026-01-06,-1.0,cierre_periodo,7,13.290548984693523,134.25350039897083
2026-01-15,-1.0,cierre_periodo,7,7.557614903693024,141.81111530266386
2026-01-26,-1.0,take_profit,1,0.7486790055425939,142.55979430820645
2026-02-04,1.0,trailing_stop,3,0.3635450398584689,142.92333934806493
2026-02-13,-1.0,stop_loss,1,-4.638400074183341,138.28493927388158
2026-02-24,-1.0,trailing_stop,3,4.6403581322877985,142.92529740616936
2026-03-05,1.0,trailing_stop,4,7.309215383453541,150.2345127896229
2026-03-20,1.0,take_profit,1,-0.1827515916975989,150.0517611979253
2026-03-31,-1.0,take_profit,2,2.429338736092225,152.48109993401752
2026-04-09,-1.0,cierre_periodo,7,3.242478407388068,155.72357834140558
2026-04-20,1.0,stop_loss,1,-4.930980558864612,150.79259778254098
2026-04-29,-1.0,stop_loss,1,-4.8041043699547705,145.98849341258622
2026-05-08,-1.0,stop_loss,3,-4.37965480237759,141.60883861020864
2026-05-19,1.0,trailing_stop,6,-2.517003988919876,139.09183462128877
2026-05-28,-1.0,trailing_stop,7,-2.053848731429115,137.03798588985964
2026-06-12,-1.0,take_profit,2,5.135681027811557,142.1736669176712
2026-06-23,1.0,take_profit,2,4.268058146229385,146.44172506390058
2026-07-02,1.0,trailing_stop,6,1.9105191519357965,148.35224421583638
2026-07-13,-1.0,trailing_stop,5,-2.8181267376138512,145.53411747822253
2026-07-22,1.0,trailing_stop,4,4.1726058243146635,149.7067233025372
2026-07-31,-1.0,cierre_periodo,7,7.305442898585911,157.0121662011231
2026-08-11,-1.0,trailing_stop,6,-3.047564883127926,153.96460131799518
2026-08-20,1.0,trailing_stop,3,-4.0108324522979455,149.95376886569724
