ds,posicion,razon_cierre,dias_hasta_salida,pnl,capital
2025-06-20,-1.0,take_profit,6,4.573160194961286,104.57316019496129
2025-07-04,-1.0,stop_loss,2,-3.13719480584883,101.43596538911245
2025-07-18,-1.0,take_profit,6,6.481343474808255,107.91730886392071
2025-08-01,-1.0,take_profit,1,2.5792441260058734,110.49655298992658
2025-08-15,-1.0,cierre_periodo,10,-0.6724868183254129,109.82406617160117
2025-08-29,-1.0,take_profit,9,2.1091250325869115,111.93319120418809
2025-09-12,-1.0,trailing_stop,2,2.4173465649965538,114.35053776918464
2025-09-26,-1.0,trailing_stop,7,2.460731507073297,116.81126927625793
2025-10-10,-1.0,take_profit,1,0.4636338904406861,117.27490316669862
2025-10-24,-1.0,trailing_stop,2,5.269140256517331,122.54404342321595
2025-11-07,-1.0,trailing_stop,2,2.352752905559306,124.89679632877525
2025-11-21,-1.0,stop_loss,1,-3.7469038898632863,121.14989243891196
2025-12-05,-1.0,stop_loss,3,-3.907964117382094,117.24192832152987
2026-01-09,-1.0,trailing_stop,7,5.381176476639432,122.6231047981693
2026-01-23,-1.0,trailing_stop,6,4.119265563883016,126.74237036205231
2026-02-06,-1.0,take_profit,1,2.4600336418977835,129.2024040039501
2026-02-20,-1.0,trailing_stop,5,2.780745432298416,131.9831494362485
2026-03-06,-1.0,stop_loss,2,-3.9594944830874375,128.02365495316107
2026-03-20,-1.0,stop_loss,1,-4.0228325754843866,124.00082237767668
2026-04-03,-1.0,cierre_periodo,10,11.702289375428293,135.70311175310496
2026-04-17,-1.0,trailing_stop,3,-1.61462276525394,134.08848898785104
2026-05-01,-1.0,trailing_stop,2,-3.3788700539166703,130.70961893393437
2026-05-15,-1.0,stop_loss,3,-3.921288568018016,126.78833036591635
2026-05-29,-1.0,trailing_stop,6,-3.118165088890794,123.67016527702556
2026-06-12,-1.0,take_profit,2,4.634704147140689,128.30486942416624
2026-06-26,-1.0,stop_loss,7,-3.8491460827249626,124.45572334144128
2026-07-10,-1.0,trailing_stop,6,-2.090193707360846,122.36552963408045
2026-07-24,-1.0,take_profit,8,17.41642746177502,139.78195709585546
2026-08-07,-1.0,trailing_stop,8,-2.0434228388775266,137.73853425697794
2026-08-21,-1.0,take_profit,2,2.346175674254514,140.08470993123245
