N,h,n_decisiones,capital_final,retorno_total_%,sharpe_anualizado,max_drawdown_%,win_rate_%,operaciones,dias_reales_promedio,%_cierre_periodo,%_trailing_stop,%_take_profit,%_stop_loss
10,1,30,140.08470993123245,40.08470993123245,1.4699864074889626,-9.828501311960036,56.666666666666664,30,4.366666666666666,6.666666666666667,40.0,30.0,23.333333333333332
10,2,30,129.64356966963504,29.64356966963504,1.27620067529463,-10.895605342844373,60.0,30,3.9,6.666666666666667,36.666666666666664,33.33333333333333,23.333333333333332
10,3,30,128.7137034918927,28.713703491892684,1.2207368494425472,-10.765926659234204,53.333333333333336,30,4.433333333333334,6.666666666666667,43.333333333333336,26.666666666666668,23.333333333333332
10,4,30,139.94143993892385,39.94143993892385,1.5142247098377803,-10.683918976019935,56.666666666666664,30,4.3,6.666666666666667,43.333333333333336,26.666666666666668,23.333333333333332
10,5,30,129.6524878396502,29.6524878396502,1.1822809076411336,-12.216420032380826,53.333333333333336,30,4.4,6.666666666666667,43.333333333333336,26.666666666666668,23.333333333333332
12,1,25,115.7531752506647,15.753175250664686,0.7976295812295614,-8.937565407590764,52.0,25,4.88,4.0,40.0,32.0,24.0
12,2,25,113.96314300249114,13.96314300249113,0.8289387164635055,-10.015212917386318,52.0,25,4.52,4.0,52.0,28.000000000000004,16.0
12,3,25,108.14111366717067,8.141113667170675,0.5629294302596812,-9.884252948703342,52.0,25,4.76,0.0,60.0,24.0,16.0
12,4,25,113.32526623093823,13.325266230938215,0.8293457448679071,-9.801434991838631,52.0,25,4.96,4.0,60.0,20.0,16.0
12,5,25,107.15241233331864,7.152412333318647,0.4992437376679008,-11.34907786390027,52.0,25,4.4,0.0,56.00000000000001,28.000000000000004,16.0
14,1,20,133.1385749956235,33.13857499562349,1.9584386840596342,-4.1873070057401485,70.0,20,4.0,0.0,55.00000000000001,30.0,15.0
14,2,20,117.53735333015769,17.53735333015769,1.124991313155412,-7.691711189928519,65.0,20,4.1,0.0,45.0,35.0,20.0
14,3,20,125.02372583896353,25.02372583896353,1.607767769862568,-5.842198204458649,75.0,20,4.1,0.0,45.0,40.0,15.0
14,4,20,129.00396997239403,29.003969972394028,1.7696797017413897,-4.187307005740138,65.0,20,4.0,0.0,55.00000000000001,30.0,15.0
14,5,20,125.86479783498469,25.864797834984678,1.6399466241262943,-4.348437899218316,65.0,20,3.95,0.0,55.00000000000001,30.0,15.0
20,1,15,109.32831688942031,9.328316889420307,0.7404027557222503,-7.165849341140129,53.333333333333336,15,4.466666666666667,0.0,53.333333333333336,26.666666666666668,20.0
20,2,15,103.80992216616501,3.809922166165003,0.39850057466147504,-7.792899882536208,60.0,15,3.2666666666666666,0.0,40.0,40.0,20.0
20,3,15,102.07459741660755,2.0745974166075376,0.22518553562900784,-7.658705655542663,46.666666666666664,15,4.266666666666667,0.0,53.333333333333336,26.666666666666668,20.0
20,4,15,103.98446922667625,3.984469226676257,0.396758172853652,-7.5738423815634786,53.333333333333336,15,3.7333333333333334,0.0,46.666666666666664,33.33333333333333,20.0
20,5,15,99.38712558092115,-0.612874419078846,-0.014905006460737067,-9.159706680150482,46.666666666666664,15,4.2,0.0,53.333333333333336,26.666666666666668,20.0
