grupo,par,corr_vix_ret_local_sig,p_valor,n_corr,sharpe_bruto,sharpe_neto_rotacion,ic95_bajo,ic95_alto,spread_ida_vuelta,n_semanas
EM (principal),BRL=X,0.018261085474788642,0.6119722389719562,774.0,0.20979614370334823,0.14406693593814765,-0.3928109066565276,0.6865599146525238,0.0015,522
EM (principal),MXN=X,0.03008373153611525,0.4029675167695992,775.0,0.37400506209305756,0.34560066720816124,-0.2721291219925336,0.9861248163323132,0.0005,522
EM (principal),COP=X,0.05231053146461438,0.14753249907752955,768.0,0.17336550727130934,0.07808308687197177,-0.4247382119171206,0.5755856850732709,0.002,522
EM (principal),ZAR=X,0.05319886861998713,0.13896634825682702,775.0,0.17456817942431754,0.13457146362366654,-0.381244630061469,0.6454196402083964,0.001,522
EM (principal),PEN=X,0.029638223135363594,0.4102754645377217,774.0,0.030110933436086618,-0.10977125277585731,-0.5655020534731848,0.3705741864513034,0.002,522
G10 riesgo (secundario),AUDUSD=X,0.09089117676271347,0.011412055477290873,774.0,0.4550125692961182,0.44151604270104294,-0.10460257741853382,0.9954979502771396,0.0002,522
G10 riesgo (secundario),NZDUSD=X,0.04813778066783955,0.18066438878607005,775.0,0.4740771623088718,0.45381116847328085,-0.15513223543392146,1.0634313009604488,0.0003,522
G10 riesgo (secundario),CAD=X,0.04730518733804218,0.18833131590719815,775.0,0.24236065169732499,0.22380503012553063,-0.33566554323115877,0.7968554361059872,0.0002,522
G10 riesgo (secundario),USDNOK=X,0.05469493367189249,0.1281786246797707,775.0,0.15297620799014902,0.12171471024786659,-0.30464030000020337,0.6235871907812456,0.0008,522
refugio (control),JPY=X,0.006846492961292935,0.8491761724584378,774.0,0.019764127875003493,0.004465380001147179,-0.5862648174166724,0.5526058135305917,0.0002,522
refugio (control),CHF=X,-0.03176772492401769,0.37714363258085326,775.0,0.1448651346960293,0.12414014001750688,-0.5737628664997199,0.6408733260681851,0.0003,522
referencia (formulo la hipotesis),CLP=X,0.08351530125411637,0.020137682633835967,774.0,0.740010038944439,0.6604619275783005,0.12126834783334589,1.1980183699854727,0.0015,522
EM (principal),CARTERA equiponderada,,,,,0.18335126154488884,-0.3550456986214037,0.729623243519811,,522
G10 riesgo (secundario),CARTERA equiponderada,,,,,0.37090918903874154,-0.21214588304165316,0.9373431979316561,,522
refugio (control),CARTERA equiponderada,,,,,0.07751303174625424,-0.540795899384825,0.6249975490646935,,522
referencia (formulo la hipotesis),CARTERA equiponderada,,,,,0.6604619275783005,0.12126834783334589,1.1980183699854727,,522
