frecuencia,variable,alineacion,correlacion,p_valor,n,correlacion_pre_holdout,p_valor_pre_holdout,n_pre_holdout,umbral_2_sqrt_n
semanal,cobre_ret_1,orig,-0.10027258090397179,0.0031023119743461575,868,-0.089691014472503,0.012156116818949897,781,0.06788442333021306
semanal,cobre_mom_4,orig,-0.05483954623916809,0.10701415073916563,865,-0.05658440572728667,0.11479206225256007,778,0.06800204009180459
semanal,rate_diff,orig,0.007071174124064741,0.835110026873277,869,-0.0029635150651414624,0.9340581753545197,782,0.06784535315527583
semanal,cobre_ret_1,corr,0.041243010587003824,0.22480101620842013,868,0.043139101663501114,0.22850793651326326,781,0.06788442333021306
semanal,cobre_mom_4,corr,0.01641653485369471,0.6296929442318944,865,0.01702251009736701,0.6354472341513129,778,0.06800204009180459
semanal,rate_diff,corr,0.009113089865749073,0.7884977337138963,869,-0.002461707346397418,0.9452046842085416,782,0.06784535315527583
mensual,cobre_ret_1,orig,0.1004284899728224,0.1591996879895461,198,0.1023184540947649,0.17290868922230418,179,0.1421338109037403
mensual,cobre_mom_3,orig,0.0034412551598975187,0.9618202048005474,196,-9.63480372799851e-05,0.9989844965006788,177,0.14285714285714285
mensual,rate_diff,orig,0.017286172455374487,0.8085218324197427,199,0.0009799378243334294,0.9895833903513523,180,0.14177624100166716
mensual,cobre_ret_1,corr,0.0903876336874959,0.20536713695088019,198,0.10871059270185028,0.14746171375154632,179,0.1421338109037403
mensual,cobre_mom_3,corr,0.024959144404073964,0.7284057133170719,196,0.01978312151652455,0.7938163743763136,177,0.14285714285714285
mensual,rate_diff,corr,0.01123600904844687,0.8748430294936567,199,-0.008977399399149277,0.904793875534543,180,0.14177624100166716
