ds,estrategia,posicion,pnl,capital
2025-07-16,Buy-and-hold,1.0,0.011020003715743236,100.01102000371574
2025-07-17,Buy-and-hold,1.0,-0.3080645509516664,99.70295545276407
2025-07-18,Buy-and-hold,1.0,-0.10958047387303409,99.59337497889103
2025-07-21,Buy-and-hold,1.0,-1.0100055054877752,98.58336947340327
2025-07-22,Buy-and-hold,1.0,-0.350453082274251,98.23291639112901
2025-07-23,Buy-and-hold,1.0,-0.2243285879891978,98.00858780313982
2025-07-24,Buy-and-hold,1.0,0.17470914614330432,98.18329694928312
2025-07-25,Buy-and-hold,1.0,-1.3281403297336998,96.85515661954942
2025-07-28,Buy-and-hold,1.0,2.2389006418346415,99.09405726138407
2025-07-29,Buy-and-hold,1.0,0.1736743561556738,99.26773161753974
2025-07-30,Buy-and-hold,1.0,2.190580997168333,101.45831261470808
2025-07-31,Buy-and-hold,1.0,-0.9541773237160986,100.50413529099198
2025-08-01,Buy-and-hold,1.0,-2.614081418996223,97.89005387199576
2025-08-04,Buy-and-hold,1.0,2.002085167348366,99.89213903934413
2025-08-05,Buy-and-hold,1.0,0.00723091052333245,99.89936994986746
2025-08-06,Buy-and-hold,1.0,0.8270243491384733,100.72639429900593
2025-08-07,Buy-and-hold,1.0,-0.46726446667061755,100.25912983233532
2025-08-08,Buy-and-hold,1.0,-0.21192372752772448,100.0472061048076
2025-08-11,Buy-and-hold,1.0,0.09407124344868088,100.14127734825628
2025-08-12,Buy-and-hold,1.0,-1.2756878348119038,98.86558951344438
2025-08-13,Buy-and-hold,1.0,-0.3855980836833983,98.47999142976097
2025-08-14,Buy-and-hold,1.0,1.3325444968761646,99.81253592663714
2025-08-15,Buy-and-hold,1.0,-0.1974555967860248,99.61508032985111
2025-08-18,Buy-and-hold,1.0,0.009306800193616545,99.62438713004472
2025-08-19,Buy-and-hold,1.0,-0.06719825224551956,99.5571888777992
2025-08-20,Buy-and-hold,1.0,0.28222634973613564,99.83941522753534
2025-08-21,Buy-and-hold,1.0,0.4817389071073403,100.32115413464268
2025-08-22,Buy-and-hold,1.0,-1.1278516798717726,99.19330245477092
2025-08-25,Buy-and-hold,1.0,0.26981517957960405,99.46311763435052
2025-08-26,Buy-and-hold,1.0,0.4052401643632507,99.86835779871377
2025-08-27,Buy-and-hold,1.0,0.21916094774609174,100.08751874645986
2025-08-28,Buy-and-hold,1.0,-0.0361797913967896,100.05133895506307
2025-08-29,Buy-and-hold,1.0,-0.1922816468478839,99.85905730821518
2025-09-01,Buy-and-hold,1.0,0.10337804364230918,99.9624353518575
2025-09-02,Buy-and-hold,1.0,0.6388755525460769,100.60131090440358
2025-09-03,Buy-and-hold,1.0,-0.5406714588419204,100.06063944556166
2025-09-04,Buy-and-hold,1.0,0.3959396738646572,100.45657911942632
2025-09-05,Buy-and-hold,1.0,-0.519988278479391,99.93659084094693
2025-09-08,Buy-and-hold,1.0,0.34424434234845613,100.2808351832954
2025-09-09,Buy-and-hold,1.0,-0.3483835022989783,99.93245168099642
2025-09-10,Buy-and-hold,1.0,-0.5458327893899567,99.38661889160646
2025-09-11,Buy-and-hold,1.0,-0.9355700330239006,98.45104885858255
2025-09-12,Buy-and-hold,1.0,-1.2971029397998188,97.15394591878274
2025-09-15,Buy-and-hold,1.0,1.1658108052716716,98.31975672405441
2025-09-16,Buy-and-hold,1.0,-0.3938700938893962,97.92588663016502
2025-09-17,Buy-and-hold,1.0,0.45279633592892976,98.37868296609395
2025-09-18,Buy-and-hold,1.0,0.3535511425420727,98.73223410863602
2025-09-19,Buy-and-hold,1.0,-0.012404860461473382,98.71982924817455
2025-09-22,Buy-and-hold,1.0,0.08786881321794421,98.80769806139249
2025-09-23,Buy-and-hold,1.0,-0.7960058882897435,98.01169217310274
2025-09-24,Buy-and-hold,1.0,0.405240164363239,98.41693233746598
2025-09-25,Buy-and-hold,1.0,0.736051165957626,99.1529835034236
2025-09-26,Buy-and-hold,1.0,0.03928416135969296,99.19226766478329
2025-09-29,Buy-and-hold,1.0,0.5613420198143333,99.75360968459762
2025-09-30,Buy-and-hold,1.0,-0.3804304434402922,99.37317924115733
2025-10-01,Buy-and-hold,1.0,-0.17677872611856546,99.19640051503876
2025-10-02,Buy-and-hold,1.0,0.19848407707862062,99.39488459211738
2025-10-03,Buy-and-hold,1.0,-1.4611297722293635,97.93375481988801
2025-10-06,Buy-and-hold,1.0,1.4569969219738879,99.39075174186189
2025-10-07,Buy-and-hold,1.0,-0.2398378184135746,99.15091392344831
2025-10-08,Buy-and-hold,1.0,-0.8931878113963505,98.25772611205197
2025-10-09,Buy-and-hold,1.0,-0.0010284802925840085,98.25669763175938
2025-10-10,Buy-and-hold,1.0,-0.3545859325297148,97.90211169922966
2025-10-13,Buy-and-hold,1.0,0.9841546848821515,98.88626638411182
2025-10-14,Buy-and-hold,1.0,0.4445243257229318,99.33079070983476
2025-10-15,Buy-and-hold,1.0,-0.17884199639877996,99.15194871343598
2025-10-16,Buy-and-hold,1.0,-0.42902140499361346,98.72292730844237
2025-10-17,Buy-and-hold,1.0,0.5871928404199453,99.31012014886231
2025-10-20,Buy-and-hold,1.0,-1.0441220266043387,98.26599812225797
2025-10-21,Buy-and-hold,1.0,0.041353741334942275,98.30735186359291
2025-10-22,Buy-and-hold,1.0,-0.1240549143097803,98.18329694928313
2025-10-23,Buy-and-hold,1.0,-0.2904920502470869,97.89280489903605
2025-10-24,Buy-and-hold,1.0,-1.6526163975013848,96.24018850153466
2025-10-27,Buy-and-hold,1.0,0.9248372417497333,97.16502574328439
2025-10-28,Buy-and-hold,1.0,0.22742664825706643,97.39245239154145
2025-10-29,Buy-and-hold,1.0,-0.16436755596205727,97.2280848355794
2025-10-30,Buy-and-hold,1.0,0.15610185545109426,97.3841866910305
2025-10-31,Buy-and-hold,1.0,-1.3676894982853354,96.01649719274516
2025-11-03,Buy-and-hold,1.0,1.0069011355248838,97.02339832827005
2025-11-04,Buy-and-hold,1.0,0.8125499087017507,97.8359482369718
2025-11-05,Buy-and-hold,1.0,-0.3070360706590942,97.52891216631271
2025-11-06,Buy-and-hold,1.0,-0.146795055257466,97.38211711105524
2025-11-07,Buy-and-hold,1.0,-1.2409845120560135,96.14113259899922
2025-11-10,Buy-and-hold,1.0,0.7695808854348856,96.91071348443411
2025-11-11,Buy-and-hold,1.0,-0.1871140066047895,96.72359947782932
2025-11-12,Buy-and-hold,1.0,-0.6316383323276861,96.09196114550164
2025-11-13,Buy-and-hold,1.0,-0.014474440436746203,96.0774867050649
2025-11-14,Buy-and-hold,1.0,-1.1498472768039565,94.92763942826095
2025-11-17,Buy-and-hold,1.0,0.5285442249624942,95.45618365322343
2025-11-18,Buy-and-hold,1.0,0.8818177409224961,96.33800139414593
2025-11-19,Buy-and-hold,1.0,0.005167640243117906,96.34316903438905
2025-11-20,Buy-and-hold,1.0,-0.18607921661715895,96.15708981777189
2025-11-21,Buy-and-hold,1.0,0.870441360753642,97.02753117852554
2025-11-24,Buy-and-hold,1.0,0.21399330750299736,97.24152448602854
2025-11-25,Buy-and-hold,1.0,-0.5871865307249223,96.65433795530362
2025-11-26,Buy-and-hold,1.0,-0.9572816936789906,95.69705626162462
2025-11-27,Buy-and-hold,1.0,0.1219853343345075,95.81904159595913
2025-11-28,Buy-and-hold,1.0,0.07133110250100697,95.89037269846014
2025-12-01,Buy-and-hold,1.0,0.17884199639878,96.06921469485891
2025-12-02,Buy-and-hold,1.0,-0.6037242414418595,95.46549045341706
2025-12-03,Buy-and-hold,1.0,-0.5179250081991765,94.94756544521789
2025-12-04,Buy-and-hold,1.0,-0.1261244942850414,94.82144095093285
2025-12-05,Buy-and-hold,1.0,0.42902140499359004,95.25046235592644
2025-12-08,Buy-and-hold,1.0,0.13542498478363496,95.38588734071008
2025-12-09,Buy-and-hold,1.0,0.3090993409392971,95.69498668164938
2025-12-10,Buy-and-hold,1.0,-0.242935878681408,95.45205080296797
2025-12-11,Buy-and-hold,1.0,-0.9903634248079353,94.46168737816004
2025-12-12,Buy-and-hold,1.0,-0.41351217456923683,94.0481752035908
2025-12-15,Buy-and-hold,1.0,0.4217841847752346,94.46995938836604
2025-12-16,Buy-and-hold,1.0,-0.04031895134731176,94.42964043701872
2025-12-17,Buy-and-hold,1.0,0.41144259459397575,94.8410830316127
2025-12-18,Buy-and-hold,1.0,-0.7008998548534205,94.14018317675928
2025-12-19,Buy-and-hold,1.0,-0.0516890218211546,94.08849415493812
2025-12-22,Buy-and-hold,1.0,-0.08167269268225405,94.00682146225586
2025-12-23,Buy-and-hold,1.0,-0.20985414755247522,93.79696731470338
2025-12-24,Buy-and-hold,1.0,-0.3587250924802253,93.43824222222315
2025-12-26,Buy-and-hold,1.0,0.16024101540159294,93.59848323762475
2025-12-29,Buy-and-hold,1.0,0.9148931623564294,94.51337639998118
2025-12-30,Buy-and-hold,1.0,-1.4793395521336428,93.03403684784755
2025-12-31,Buy-and-hold,1.0,-0.031012151153683453,93.00302469669386
2026-01-02,Buy-and-hold,1.0,0.6636852734690121,93.66670997016287
2026-01-05,Buy-and-hold,1.0,-0.2625779593612486,93.40413201080162
2026-01-06,Buy-and-hold,1.0,-1.0430872366167203,92.3610447741849
2026-01-07,Buy-and-hold,1.0,0.14576657496488202,92.50681134914979
2026-01-08,Buy-and-hold,1.0,0.17056998619278227,92.67738133534257
2026-01-09,Buy-and-hold,1.0,-0.19228164684788396,92.48509968849469
2026-01-12,Buy-and-hold,1.0,-1.1330256298099255,91.35207405868476
2026-01-13,Buy-and-hold,1.0,0.19435122682314504,91.54642528550791
2026-01-14,Buy-and-hold,1.0,-0.435217525529292,91.11120775997861
2026-01-15,Buy-and-hold,1.0,0.12095054434688873,91.2321583043255
2026-01-16,Buy-and-hold,1.0,0.38043044344029225,91.61258874776578
2026-01-19,Buy-and-hold,1.0,0.1137133241285215,91.72630207189431
2026-01-20,Buy-and-hold,1.0,-0.2770523997979831,91.44924967209633
2026-01-21,Buy-and-hold,1.0,-1.0606597373212998,90.38858993477503
2026-01-22,Buy-and-hold,1.0,-0.3204694114131399,90.06812052336188
2026-01-23,Buy-and-hold,1.0,-0.12508970429741087,89.94303081906448
2026-01-26,Buy-and-hold,1.0,-0.5634052900945479,89.37962552896992
2026-01-27,Buy-and-hold,1.0,-0.500352507494597,88.87927302147533
2026-01-28,Buy-and-hold,1.0,0.2780871897856136,89.15736021126094
2026-01-29,Buy-and-hold,1.0,-0.33908301180039646,88.81827719946054
2026-01-30,Buy-and-hold,1.0,0.699871374560848,89.51814857402138
2026-02-02,Buy-and-hold,1.0,-0.0847707529500991,89.43337782107129
2026-02-03,Buy-and-hold,1.0,-0.5241274384299132,88.90925038264137
2026-02-04,Buy-and-hold,1.0,-0.1891772768849923,88.72007310575638
2026-02-05,Buy-and-hold,1.0,0.8270243491384734,89.54709745489485
2026-02-06,Buy-and-hold,1.0,-0.6016609711616451,88.9454364837332
2026-02-09,Buy-and-hold,1.0,-0.8290939291137345,88.11634255461946
2026-02-10,Buy-and-hold,1.0,0.2884224702718258,88.40476502489129
2026-02-11,Buy-and-hold,1.0,-0.1054413139225237,88.29932371096876
2026-02-12,Buy-and-hold,1.0,0.2553407391428813,88.55466445011164
2026-02-13,Buy-and-hold,1.0,0.5985629108937999,89.15322736100545
2026-02-16,Buy-and-hold,1.0,-0.008272010205997762,89.14495535079945
2026-02-17,Buy-and-hold,1.0,0.3514815625668232,89.49643691336627
2026-02-18,Buy-and-hold,1.0,-0.42694551532329406,89.06949139804297
2026-02-19,Buy-and-hold,1.0,0.3545859325297148,89.42407733057269
2026-02-20,Buy-and-hold,1.0,0.14266220500199037,89.56673953557468
2026-02-23,Buy-and-hold,1.0,0.0,89.56673953557468
2026-02-24,Buy-and-hold,1.0,-0.5933952706506938,88.973344264924
2026-02-25,Buy-and-hold,1.0,-0.42694551532329406,88.5463987496007
2026-02-26,Buy-and-hold,1.0,0.8931815017013158,89.43958025130202
2026-02-27,Buy-and-hold,1.0,0.8259895591508428,90.26556981045286
2026-03-02,Buy-and-hold,1.0,0.9810629343093532,91.24663274476221
2026-03-03,Buy-and-hold,1.0,1.785334523110048,93.03196726787226
2026-03-04,Buy-and-hold,1.0,-0.572712090288176,92.45925517758408
2026-03-05,Buy-and-hold,1.0,1.1671358412314536,93.62639101881554
2026-03-06,Buy-and-hold,1.0,0.5396366688542898,94.16602768766982
2026-03-09,Buy-and-hold,1.0,0.40627495435085775,94.57230264202069
2026-03-10,Buy-and-hold,1.0,-2.7012687851491424,91.87103385687155
2026-03-11,Buy-and-hold,1.0,0.8528688600490507,92.7239027169206
2026-03-12,Buy-and-hold,1.0,1.9393731082809278,94.66327582520154
2026-03-13,Buy-and-hold,1.0,0.10441283362993974,94.76768865883147
2026-03-16,Buy-and-hold,1.0,-0.7536299763572638,94.01405868247421
2026-03-17,Buy-and-hold,1.0,-0.2594798990934035,93.75457878338081
2026-03-18,Buy-and-hold,1.0,0.849770799781194,94.604349583162
2026-03-19,Buy-and-hold,1.0,-0.2729195495424957,94.33143003361951
2026-03-20,Buy-and-hold,1.0,1.5568730848653747,95.88830311848488
2026-03-23,Buy-and-hold,1.0,-1.7439870914701525,94.14431602701474
2026-03-24,Buy-and-hold,1.0,0.6905645743672082,94.83488060138194
2026-03-25,Buy-and-hold,1.0,-0.06926152252572239,94.76561907885622
2026-03-26,Buy-and-hold,1.0,1.1733382714621907,95.9389573503184
2026-03-27,Buy-and-hold,1.0,-0.5499719493404904,95.38898540097792
2026-03-30,Buy-and-hold,1.0,0.775335327317319,96.16432072829524
2026-03-31,Buy-and-hold,1.0,-0.4248822450430914,95.73943848325214
2026-04-01,Buy-and-hold,1.0,-1.4111065099004807,94.32833197335167
2026-04-02,Buy-and-hold,1.0,0.4176450248247124,94.74597699817637
2026-04-03,Buy-and-hold,1.0,0.2966944804778354,95.04267147865421
2026-04-06,Buy-and-hold,1.0,-0.3514878722618816,94.69118360639233
2026-04-07,Buy-and-hold,1.0,0.050660541528570587,94.7418441479209
2026-04-08,Buy-and-hold,1.0,-1.9879640698342376,92.75388007808667
2026-04-09,Buy-and-hold,1.0,-0.5799493105065434,92.17393076758012
2026-04-10,Buy-and-hold,1.0,0.29152684023471753,92.46545760781484
2026-04-13,Buy-and-hold,1.0,0.04652138157804844,92.51197898939289
2026-04-14,Buy-and-hold,1.0,-0.8952573913716237,91.61672159802126
2026-04-15,Buy-and-hold,1.0,-0.13232061482073157,91.48440098320053
2026-04-16,Buy-and-hold,1.0,0.12095054434688872,91.60535152754741
2026-04-17,Buy-and-hold,1.0,0.43418904523670787,92.03954057278412
2026-04-20,Buy-and-hold,1.0,-0.9407439829620415,91.09879658982207
2026-04-21,Buy-and-hold,1.0,1.1082159088869785,92.20701249870905
2026-04-22,Buy-and-hold,1.0,-0.22846774793972005,91.97854475076933
2026-04-23,Buy-and-hold,1.0,0.49001091731333807,92.46855566808267
2026-04-24,Buy-and-hold,1.0,0.16954150590019823,92.63809717398287
2026-04-27,Buy-and-hold,1.0,-0.2656823293241402,92.37241484465873
2026-04-28,Buy-and-hold,1.0,-0.2501730988997752,92.12224174575896
2026-04-29,Buy-and-hold,1.0,1.3800943587468089,93.50233610450576
2026-04-30,Buy-and-hold,1.0,-0.41351217456923667,93.08882392993652
2026-05-01,Buy-and-hold,1.0,-0.12611818458999485,92.96270574534653
2026-05-04,Buy-and-hold,1.0,1.289121175565973,94.25182692091249
2026-05-05,Buy-and-hold,1.0,-0.7133047153149054,93.53852220559759
2026-05-06,Buy-and-hold,1.0,-0.8993902416270991,92.63913196397048
2026-05-07,Buy-and-hold,1.0,-0.5840884704570654,92.05504349351342
2026-05-08,Buy-and-hold,1.0,0.17677872611856543,92.231822219632
2026-05-11,Buy-and-hold,1.0,0.5210230684670215,92.75284528809901
2026-05-12,Buy-and-hold,1.0,1.6271757070737853,94.3800209951728
2026-05-13,Buy-and-hold,1.0,-2.722980445804244,91.65704054936856
2026-05-14,Buy-and-hold,1.0,0.7939426180095289,92.45098316737808
2026-05-15,Buy-and-hold,1.0,0.3545859325297149,92.8055690999078
2026-05-18,Buy-and-hold,1.0,0.2863591999916113,93.09192829989941
2026-05-19,Buy-and-hold,1.0,0.4683055663532829,93.56023386625269
2026-05-20,Buy-and-hold,1.0,-0.7546647663448942,92.8055690999078
2026-05-21,Buy-and-hold,1.0,0.06306540199004396,92.86863450189784
2026-05-22,Buy-and-hold,1.0,-0.17677872611856543,92.69185577577927
2026-05-25,Buy-and-hold,1.0,0.00827201020599776,92.70012778598527
2026-05-26,Buy-and-hold,1.0,-0.2977292704654541,92.40239851551982
2026-05-27,Buy-and-hold,1.0,0.02067687066747114,92.42307538618729
2026-05-28,Buy-and-hold,1.0,-0.31634287085271073,92.10673251533458
2026-05-29,Buy-and-hold,1.0,-0.14162741501435985,91.96510510032023
2026-06-01,Buy-and-hold,1.0,0.24190739838882397,92.20701249870905
2026-06-02,Buy-and-hold,1.0,-0.2212305277213528,91.9857819709877
2026-06-03,Buy-and-hold,1.0,0.5334342386235414,92.51921620961124
2026-06-04,Buy-and-hold,1.0,0.06926152252573413,92.58847773213698
2026-06-05,Buy-and-hold,1.0,1.925933457831824,94.5144111899688
2026-06-08,Buy-and-hold,1.0,0.895251081676577,95.40966227164537
2026-06-09,Buy-and-hold,1.0,-0.6709224936873791,94.73873977795799
2026-06-10,Buy-and-hold,1.0,-0.12922255455288648,94.6095172234051
2026-06-11,Buy-and-hold,1.0,-0.9469401034977316,93.66257711990737
2026-06-12,Buy-and-hold,1.0,-0.7143458149975824,92.94823130490978
2026-06-15,Buy-and-hold,1.0,-0.9448768332175169,92.00335447169226
2026-06-16,Buy-and-hold,1.0,-0.48690654735044636,91.51644792434182
2026-06-17,Buy-and-hold,1.0,0.11267853414089093,91.62912645848272
2026-06-18,Buy-and-hold,1.0,1.4297201102877488,93.05884656877046
2026-06-19,Buy-and-hold,1.0,0.10648241360520078,93.16532898237567
2026-06-22,Buy-and-hold,1.0,0.49001091731333807,93.65533989968901
2026-06-23,Buy-and-hold,1.0,0.7773985975975334,94.43273849728655
2026-06-24,Buy-and-hold,1.0,0.49104570730096864,94.92378420458752
2026-06-25,Buy-and-hold,1.0,0.16644344563235314,95.09022765021987
