unique_id,ds,cutoff,y,AutoARIMA,AutoARIMA-lo-90,AutoARIMA-lo-80,AutoARIMA-hi-80,AutoARIMA-hi-90,Naive,Naive-lo-80,Naive-lo-90,Naive-hi-80,Naive-hi-90,NBEATS-median,NBEATS-lo-90,NBEATS-lo-80,NBEATS-hi-80,NBEATS-hi-90,NHITS-median,NHITS-lo-90,NHITS-lo-80,NHITS-hi-80,NHITS-hi-90
USDCLP,2026-07-31,2026-07-30,925.0499877929688,936.8499076479537,909.5283121936,915.5628868127944,958.136928483113,964.1715031023075,934.9099731445312,909.6367200866338,902.4721040218172,960.1832262024287,967.3478422672453,935.1254,927.2334,929.628,940.2039,942.2609,934.56354,926.2399,928.28577,940.3138,942.0887
USDCLP,2026-08-03,2026-07-30,922.9500122070312,936.8499076479537,907.9263789296605,914.3147757051182,959.3850395907892,965.773436366247,934.9099731445312,899.1681959047654,889.0358986967057,970.6517503842971,980.7840475923568,935.5809,926.102,928.2691,941.8532,944.15894,934.8023,924.509,926.7691,942.28186,944.5846
USDCLP,2026-08-04,2026-07-30,924.6599731445312,936.8499076479537,906.4086289483902,913.1322541526035,960.5675611433039,967.2911863475173,934.9099731445312,891.1354147757074,878.7259357347209,978.6845315133551,991.0940105543416,935.46564,923.1927,926.0746,943.6863,946.2516,935.0221,922.6845,924.96344,944.06494,946.9963
USDCLP,2026-08-05,2026-08-04,914.4600219726562,927.7158880844245,900.400837726563,906.4339667173996,948.9978094514494,955.0309384422859,924.6599731445312,899.3947159546746,892.2323666073432,949.925230334388,957.0875796817193,923.7233,919.97876,920.5882,926.65314,927.846,922.7025,919.05347,919.7641,925.27264,926.7982
USDCLP,2026-08-06,2026-08-04,913.52001953125,927.7158880844245,898.7983307118733,905.1854085844318,950.2463675844172,956.6334454569757,924.6599731445312,888.9295037697915,878.8004121843416,960.390442519271,970.519534104721,924.17664,921.47736,922.44574,928.4984,929.09155,922.04254,917.93097,918.9916,926.38354,928.25385
USDCLP,2026-08-07,2026-08-04,915.3800048828124,927.7158880844245,897.2800823165945,904.0024987035927,951.4292774652563,958.1516938522544,924.6599731445312,880.8992640254046,868.4937110542689,968.4206822636579,980.8262352347936,924.46906,920.88635,921.83234,930.32855,932.0756,921.0134,916.87683,917.871,927.5726,929.36017
USDCLP,2026-08-10,2026-08-07,912.5,918.242822107485,890.9339689110402,896.9657291226245,939.5199150923456,945.5516753039299,915.3800048828124,890.1227061642622,882.9626129329617,940.6373036013625,947.797396832663,915.4228,913.2218,913.44684,918.5648,919.10565,917.3979,916.15533,916.12805,918.5959,919.36725
USDCLP,2026-08-11,2026-08-07,914.989990234375,918.242822107485,889.3293143429853,895.7154977706346,940.7701464443355,947.1563298719848,915.3800048828124,879.6607904861302,869.5348895305692,951.0992192794946,961.2251202350556,918.92896,916.4504,916.89484,919.9439,920.12695,919.0692,917.6868,918.3354,919.6242,920.4709
USDCLP,2026-08-12,2026-08-07,913.52001953125,918.242822107485,887.8091499729792,894.5310951001811,941.954549114789,948.6764942419909,915.3800048828124,871.6330802403392,859.2314349767968,959.1269295252856,971.528574788828,917.71173,914.7359,915.59686,920.993,921.3639,916.90857,914.6142,915.2752,920.05255,921.2438
USDCLP,2026-08-13,2026-08-12,914.0900268554688,915.0117169637979,887.7118868791716,893.7416541382705,936.2817797893252,942.3115470484241,913.52001953125,888.2713608370398,881.1137169325848,938.7686782254602,945.9263221299152,912.9545,911.5433,911.53455,913.35126,914.1455,914.108,911.23486,911.94147,916.41345,916.87134
USDCLP,2026-08-14,2026-08-12,914.0,915.0117169637979,886.1069703882551,892.4912187148375,937.5322152127583,943.9164635393406,913.52001953125,877.8130239741686,867.6905868898511,949.2270150883314,959.3494521726489,911.72003,909.7935,910.9413,913.7166,914.024,914.2301,910.6313,911.7541,917.413,917.6425
USDCLP,2026-08-17,2026-08-12,913.0999755859376,915.0117169637979,884.586595328162,891.3066518898316,938.7167820377641,945.4368385994337,913.52001953125,869.7880598499123,857.3906569449105,957.2519792125877,969.6493821175895,913.0182,911.584,912.0572,914.928,915.25183,916.1795,911.5852,912.6891,920.15106,920.5541
USDCLP,2026-08-18,2026-08-17,914.7899780273438,913.9806828612091,886.6902864098329,892.717970043769,935.2433956786491,941.2710793125852,913.0999755859376,887.8600645493088,880.7049004842277,938.3398866225664,945.4950506876476,912.8956,911.19354,911.30914,916.1647,917.883,913.21625,909.1174,909.95715,916.55237,916.74866
USDCLP,2026-08-19,2026-08-17,922.9400024414062,913.9806828612091,885.0858140999856,891.4678806942572,936.4934850281609,942.8755516224326,913.0999755859376,877.4053510848469,867.2864210230044,948.7946000870284,958.9135301488708,914.50946,910.06726,911.06964,917.8633,919.2148,914.367,908.9445,909.6829,918.35693,919.2916
USDCLP,2026-08-20,2026-08-17,921.1599731445312,913.9806828612091,883.5658650418735,890.2836457793355,937.6777199430826,944.3955006805446,913.0999755859376,869.3831672919782,856.9900595947665,956.816783879897,969.2098915771087,916.46545,912.91125,913.93353,918.42084,919.3222,915.05005,909.05383,910.16846,919.49365,920.79175
USDCLP,2026-08-21,2026-08-20,922.27001953125,918.6307469643516,891.3487678594576,897.3745923374915,939.8869015912117,945.9127260692457,921.1599731445312,895.9282645882342,888.7754258123518,946.3916817008283,953.5445204767107,923.8179,924.0582,924.0743,923.7337,923.83386,921.8542,922.3406,922.44916,923.475,923.91895
USDCLP,2026-08-24,2026-08-20,921.1300048828124,918.6307469643516,889.7447925908812,896.124890246766,941.1366036819372,947.516701337822,921.1599731445312,885.4769487023707,875.3613070960497,956.8429975866918,966.9586391930128,920.1405,919.14716,919.61456,921.4872,922.07086,917.2208,916.2477,916.328,920.6033,921.96326
USDCLP,2026-08-25,2026-08-20,912.1900024414062,918.6307469643516,888.2253142877303,894.9410221102296,942.3204718184736,949.0361796409729,921.1599731445312,877.4573719632544,865.0682917850775,964.862574325808,977.251654503985,917.5288,916.35565,916.5518,919.0671,919.202,914.8268,913.66876,913.98694,917.7774,919.2932
USDCLP,2026-08-26,2026-08-25,912.77001953125,917.4953679707362,890.2219122081748,896.2458541187945,938.7448818226779,944.7688237332976,912.1900024414062,886.9664124534115,879.8158751788337,937.413592429401,944.5641297039788,912.7083,911.9464,912.0973,913.51544,913.6453,909.5883,907.9975,908.22675,910.891,911.93713
USDCLP,2026-08-27,2026-08-25,919.219970703125,917.4953679707362,888.6185132399154,894.9966010397993,939.9941349016731,946.372222701557,912.1900024414062,876.518459388646,866.4060725966837,947.8615454941665,957.9739322861288,907.92316,907.5381,907.9715,908.3163,908.842,908.477,906.9871,907.5306,909.605,910.6673
USDCLP,2026-08-28,2026-08-25,922.6699829101562,917.4953679707362,887.0995773237162,893.81315549214,941.1775804493324,947.8911586177562,912.1900024414062,868.5014630329138,856.1163691719299,955.8785418498987,968.2636357108826,909.73254,909.47864,909.5475,910.1731,910.3436,907.949,906.7795,906.89575,908.84845,909.31757
USDCLP,2026-08-31,2026-08-28,931.510009765625,918.987782532495,891.7230172324577,897.745039663497,940.230525401493,946.2525478325323,922.6699829101562,897.4547178309929,890.3065405523924,947.8852479893196,955.03342526792,923.05286,922.6679,922.53644,923.289,923.4456,922.42004,921.81866,922.10455,922.6885,922.6903
USDCLP,2026-09-01,2026-08-28,934.030029296875,918.987782532495,890.1201918109404,896.496233450845,941.4793316141449,947.8553732540496,922.6699829101562,887.0102130563707,876.9011638027267,958.3297527639418,968.4388020175858,922.1118,921.6282,921.59344,922.5001,922.844,921.2019,920.6448,920.678,921.77826,922.132
USDCLP,2026-09-02,2026-08-28,935.6400146484376,918.987782532495,888.6017962679641,895.3132089231102,942.6623561418797,949.3737687970258,922.6699829101562,878.995862666728,866.6148564386826,966.3441031535845,978.7251093816299,925.2167,924.5375,924.59454,925.35077,925.34894,921.7674,921.4434,921.6026,922.6633,922.74915
USDCLP,2026-09-03,2026-09-02,937.5999755859376,930.0506532717047,902.7913765293083,908.8121866918074,951.2891198516021,957.3099300141012,935.6400146484376,910.4328160223962,903.2869254711708,960.847213274479,967.9931038257045,933.5458,932.43915,932.5965,934.40497,935.3914,935.8306,934.5211,934.8252,936.19135,935.8517
USDCLP,2026-09-04,2026-09-02,932.6400146484376,930.0506532717047,901.1870299311009,907.5621952877581,952.5391112556514,958.9142766123085,935.6400146484376,899.9916524820574,889.8858371492806,971.2883768148179,981.3941921475946,934.57306,933.7628,933.9632,935.213,936.25836,935.7382,934.21234,934.4327,935.77277,935.7607
USDCLP,2026-09-07,2026-09-02,930.5599975585938,930.0506532717047,899.6672805790964,906.3781159694624,953.723190573947,960.434025964313,935.6400146484376,891.9798659116534,879.6028204116046,979.3001633852218,991.6772088852706,937.80255,936.57794,937.35846,938.3066,938.7783,938.67834,937.577,937.2708,939.1323,939.25757
USDCLP,2026-09-08,2026-09-07,933.8900146484376,931.9328460419011,904.6822895954377,910.7011736889928,953.1645183948095,959.1834024883645,930.5599975585938,905.3612645932315,898.2177739391764,955.758730523956,962.9022211780111,934.6267,933.74133,933.81506,934.62396,935.0455,933.92566,932.5993,933.0032,933.6764,934.0117
USDCLP,2026-09-09,2026-09-07,924.4299926757812,931.9328460419011,903.0778381318588,909.451100581393,954.4145915024093,960.7878539519435,930.5599975585938,894.9236076443603,884.8211862787102,966.1963874728272,976.2988088384773,930.8684,930.6621,930.44836,931.0837,931.43024,935.05725,934.0661,934.6738,935.1813,935.34375
USDCLP,2026-09-10,2026-09-07,926.1900024414062,931.9328460419011,901.5580186953083,908.2669666582632,955.5987254255391,962.307673388494,930.5599975585938,886.9145117762255,874.5416230200087,974.205483340962,986.5783720971788,929.8412,928.90125,929.16693,930.40375,930.1367,935.2272,934.24335,934.56177,935.45416,935.8382
