unique_id,ds,cutoff,y,AutoARIMA,AutoARIMA-lo-90,AutoARIMA-lo-80,AutoARIMA-hi-80,AutoARIMA-hi-90,Naive,Naive-lo-80,Naive-lo-90,Naive-hi-80,Naive-hi-90,NBEATS-median,NBEATS-lo-90,NBEATS-lo-80,NBEATS-hi-80,NBEATS-hi-90,NHITS-median,NHITS-lo-90,NHITS-lo-80,NHITS-hi-80,NHITS-hi-90
USDCLP,2025-11-30,2025-10-31,926.8800048828124,946.5518172698933,903.186361206786,912.7645749295325,980.339059610254,989.9172733330005,942.02001953125,907.6463574905873,897.9019019312287,976.3936815719127,986.1381371312713,950.5048,950.5579,950.47296,951.82587,951.1543,939.20087,939.7043,939.18134,940.1599,940.99585
USDCLP,2025-12-31,2025-11-30,899.9400024414062,929.8233227641093,886.5089954462981,896.0759162623332,963.5707292658855,973.1376500819206,926.8800048828124,892.5680337871537,882.8410667534952,961.1919759784711,970.9189430121296,917.34546,916.98425,916.4781,917.01025,917.3186,915.1127,915.45935,914.0703,915.8132,915.71594
USDCLP,2026-01-31,2025-12-31,859.1599731445312,905.0878239140513,861.7409507153496,871.3150600042216,938.8605878238811,948.434697112753,899.9400024414062,865.6269125549425,855.8996283596365,934.25309232787,943.980376523176,921.1575,920.27747,920.5454,920.5457,921.21234,906.8485,907.99695,906.0487,906.56433,908.2586
USDCLP,2026-02-28,2026-01-31,865.1699829101562,866.58390928575,823.0082840967542,832.6329182884277,900.5349002830723,910.1595344747458,859.1599731445312,824.7291532656591,814.968494253388,893.5907930234034,903.3514520356745,872.86066,871.96735,872.18024,872.7997,873.1385,860.48,859.7892,859.65125,860.20026,860.55237
USDCLP,2026-03-31,2026-02-28,930.219970703125,864.078371269421,820.6160522104653,830.2156602539521,897.94108228489,907.5406903283767,865.1699829101562,830.8240029456108,821.0873948701832,899.5159628747017,909.2525709501293,880.8147,880.2754,880.0867,881.13855,881.1409,873.3717,872.64185,872.72943,873.6394,873.15283
USDCLP,2026-04-30,2026-03-31,904.469970703125,918.5913287471889,874.5402668902308,884.2699117155005,952.9127457788773,962.642390604147,930.219970703125,895.4437010655045,885.5851118467243,964.9962403407455,974.8548295595257,892.8459,892.45355,892.4924,893.3455,893.79663,899.2195,899.93665,898.7686,899.4324,900.28876
USDCLP,2026-05-31,2026-04-30,890.969970703125,909.2387406394586,865.270659691283,874.9819763597343,943.4955049191828,953.2068215876342,904.469970703125,869.7025788709828,859.8465063866969,939.2373625352672,949.0934350195531,915.258,914.19525,914.36536,915.30695,915.05383,911.6489,910.9144,911.7544,912.3952,911.7051
USDCLP,2026-06-30,2026-05-31,921.760009765625,893.4258524621943,849.5181360708351,859.2161199006872,927.6355850237013,937.3335688535534,890.969970703125,856.269372870757,846.4322355572906,925.670568535493,935.5077058489594,873.288,872.59406,872.9158,873.55194,874.1341,868.6887,868.9719,868.24805,869.32245,870.72546
USDCLP,2026-07-31,2026-06-30,925.0499877929688,916.0768142763262,872.1550729234605,881.8561544741938,950.2974740784587,959.998555629192,921.760009765625,887.033610958313,877.1891594269599,956.486408572937,966.3308601042901,891.0067,890.378,890.65796,891.20667,891.36505,889.24304,889.02966,888.85547,889.52374,890.34094
USDCLP,2026-08-31,2026-07-31,931.510009765625,924.4490107877347,880.6263517712101,890.3055488110957,958.5924727643736,968.2716698042592,925.0499877929688,890.4100969468914,880.5901692205022,959.6898786390461,969.5098063654353,942.91376,942.26917,942.3043,942.677,942.9776,948.83856,948.6662,948.37964,948.8267,949.3787
