unique_id,ds,cutoff,y,AutoARIMA,AutoARIMA-lo-90,AutoARIMA-lo-80,AutoARIMA-hi-80,AutoARIMA-hi-90,Naive,Naive-lo-80,Naive-lo-90,Naive-hi-80,Naive-hi-90,NBEATS-median,NBEATS-lo-90,NBEATS-lo-80,NBEATS-hi-80,NBEATS-hi-90,NHITS-median,NHITS-lo-90,NHITS-lo-80,NHITS-hi-80,NHITS-hi-90
USDCLP,2026-04-26,2026-04-19,894.469970703125,886.1185010761096,864.9623011223016,869.6351126897355,902.6018894624838,907.2747010299177,886.1199951171875,869.4771601327603,864.759147670322,902.7628301016147,907.480842564053,902.57043,883.0852,888.242,919.34515,922.13153,887.4815,863.5585,870.81445,914.28937,926.08185
USDCLP,2026-05-03,2026-04-19,900.469970703125,885.1102430637608,856.640908727345,862.9289866947875,907.2914994327341,913.5795774001765,886.1199951171875,862.5834721658732,855.9111949540476,909.6565180685018,916.3287952803274,913.40533,891.96136,894.6404,935.85864,937.0131,896.47473,861.90247,872.6495,938.6763,940.87366
USDCLP,2026-05-10,2026-05-03,890.469970703125,902.8896937456273,881.7496449611749,886.4188891880109,919.3604983032436,924.0297425300796,900.469970703125,883.8405522980445,879.1263432494247,917.0993891082055,921.8135981568253,902.9389,887.9559,890.0013,912.5883,914.41656,909.3314,898.6488,900.257,923.95734,924.5188
USDCLP,2026-05-17,2026-05-03,894.2999877929688,904.6305095394965,876.1789672662277,882.4631154656275,926.7979036133655,933.0820518127654,900.469970703125,876.9524216602834,870.2855232878634,923.9875197459666,930.6544181183866,897.38324,879.5959,881.3105,912.9575,915.00775,905.4061,891.4059,891.4907,913.0904,920.12933
USDCLP,2026-05-24,2026-05-17,898.3400268554688,893.9364537165608,872.6933938973133,877.3853903743651,910.4875170587565,915.1795135358083,894.2999877929688,877.6834161285275,872.9728489523709,910.91655945741,915.6271266335666,910.462,899.8324,904.2341,910.3898,910.0935,902.567,899.8538,900.0975,904.7993,905.765
USDCLP,2026-05-31,2026-05-17,890.969970703125,893.9709593131703,865.3190003506741,871.6474149791005,916.29450364724,922.6229182756665,894.2999877929688,870.8006067849715,864.1388587979812,917.799368800966,924.4611167879563,897.1182,893.50214,895.41547,898.57513,900.22174,891.0909,887.02124,887.4997,895.33136,897.6454
USDCLP,2026-06-07,2026-05-31,895.6300048828125,891.6700982931411,870.4468140198833,875.134442633129,908.2057539531532,912.8933825663989,890.969970703125,874.3687397374784,869.662521436268,907.5712016687716,912.277419969982,885.8665,886.4561,886.10583,886.4418,886.60016,882.1822,883.62463,883.08014,882.85266,885.28894
USDCLP,2026-06-14,2026-05-31,906.02001953125,891.6035888077085,862.9794296145026,869.3017040531125,913.9054735623046,920.2277480009145,890.969970703125,867.4922847194194,860.8366869703591,914.4476566868306,921.1032544358909,872.8059,872.9405,872.80554,874.2044,875.34436,877.44025,877.42944,876.84174,881.89185,883.15424
USDCLP,2026-06-21,2026-06-14,900.1799926757812,905.5173225930581,884.4230189422304,889.082159351272,921.9524858348442,926.6116262438858,906.02001953125,889.4306659265723,884.727814692158,922.6093731359277,927.312224370342,912.2609,911.41907,911.23083,912.45984,912.27026,908.0441,904.9514,906.48035,909.45795,908.49786
USDCLP,2026-06-28,2026-06-14,919.8300170898438,906.948395458121,878.5663685793952,884.8351627766375,929.0616281396045,935.3304223368468,906.02001953125,882.5591306725117,875.9082946749801,929.4809083899883,936.1317443875199,915.08856,914.4433,915.26294,916.2815,917.1769,908.1877,905.099,906.7171,909.6391,910.4698
USDCLP,2026-07-05,2026-06-28,924.739990234375,919.9533421903681,898.8578442941961,903.5172484785598,936.3894359021763,941.04884008654,919.8300170898438,903.2357661148196,898.5315265439622,936.4242680648679,941.1285076357253,925.92035,925.50745,926.00977,926.2034,926.11444,929.19073,928.40015,928.5027,928.76404,928.7034
USDCLP,2026-07-12,2026-06-28,926.9600219726562,919.6630903936231,891.2973743890457,897.5625659713778,941.7636148158683,948.0288063982005,919.8300170898438,896.3622023035416,889.7094029017828,943.2978318761459,949.9506312779047,920.4078,920.2906,920.2228,920.6225,921.2584,924.18555,923.63293,924.0157,923.16376,923.1016
USDCLP,2026-07-19,2026-07-12,924.1300048828124,927.5974117729163,906.5244418773337,911.1788702578208,944.0159532880118,948.6703816684989,926.9600219726562,910.3833642561241,905.6841121295871,943.5366796891884,948.2359318157254,922.02655,920.6144,921.56726,922.5743,922.39685,917.91364,916.51776,916.4675,918.34784,918.5001
USDCLP,2026-07-26,2026-07-12,941.8900146484376,924.8654456563936,896.5199007953719,902.7806371374841,946.9502541753031,953.2109905174153,926.9600219726562,903.5170878111198,896.8713417207607,950.4029561341927,957.0487022245518,918.4472,917.0172,917.84875,919.0666,919.1173,913.96893,914.1747,913.9736,915.374,915.4386
USDCLP,2026-08-02,2026-07-26,925.0499877929688,939.4098203554264,918.3288193241248,922.9850215573817,955.8346191534711,960.490821386728,941.8900146484376,925.3139987096772,920.6149285182208,958.466030587198,963.1651007786544,955.5495,954.2174,955.1709,955.694,955.8724,955.2853,953.4799,954.9248,955.4015,955.87524
USDCLP,2026-08-09,2026-07-26,915.3800048828124,938.3333815573462,909.9856530047273,916.246871663105,960.4198914515874,966.6811101099652,941.8900146484376,918.44798809773,911.8024993024293,965.3320411991452,971.977529994446,944.6694,943.9592,944.6832,944.5783,945.38635,947.9905,946.0709,947.5951,948.41034,948.9667
USDCLP,2026-08-16,2026-08-09,914.0,918.7080077565034,897.6288532444484,902.2846476333611,935.1313678796457,939.7871622685585,915.3800048828124,898.80155779108,894.1017984015375,931.9584519745448,936.6582113640873,916.29724,915.9391,916.2499,916.65424,917.1254,911.93964,911.5408,911.40485,912.0781,912.5441
USDCLP,2026-08-23,2026-08-09,922.27001953125,916.855252255681,888.5210893051114,894.7793117022366,938.9311928091254,945.1894152062505,915.3800048828124,891.9345401625997,885.2880766940183,938.8254696030251,945.4719330716065,936.18915,934.6519,934.985,936.23816,936.33984,930.6259,930.40125,929.6723,930.7002,931.3698
USDCLP,2026-08-30,2026-08-23,922.6699829101562,921.4776687066883,900.3046319022234,904.9811622580352,937.9741751553414,942.6507055111532,922.27001953125,905.706667289213,901.0111870798131,938.833371773287,943.5288519826869,924.20966,924.0186,923.50916,924.39825,924.39075,926.4327,926.8279,926.65094,926.32404,927.0513
USDCLP,2026-09-06,2026-08-23,932.6400146484376,921.5535838634556,893.0087532001693,899.3135061900765,943.7936615368347,950.098414526742,922.27001953125,898.8459021521985,892.2054903582107,945.6941369103015,952.3345487042893,923.576,923.39764,923.23535,923.8039,923.4005,921.64984,921.15875,920.8893,921.7041,922.0994
