estrategia,capital_final,retorno_total_%,sharpe_anualizado,max_drawdown_%,win_rate_%,operaciones,commodity
USD/PEN,959.749251735414,859.7492517354138,9.029528410315315,-3.769357195612244,65.33333333333333,300,True
USD/ZAR,201.36750408984832,101.36750408984834,5.69361057530742,-3.7849472563033393,64.66666666666666,300,True
AUD/USD,153.14833316119342,53.14833316119343,4.714931164545309,-3.195190954256766,63.0,300,True
USD/CLP,183.04223754893326,83.04223754893326,4.416792174227115,-3.594464289717969,60.66666666666667,300,True
NZD/USD,139.23408725023253,39.23408725023254,3.40730273746523,-3.1266062473654044,57.333333333333336,300,True
USD/BRL,148.74674206430154,48.74674206430154,3.152533585721452,-4.6063305156765155,57.99999999999999,300,True
USD/MXN,131.33210156371575,31.332101563715753,3.08185482387727,-5.0178580624072655,55.666666666666664,300,True
USD/COP,155.7382471045318,55.738247104531816,2.670157560467363,-9.044635563522352,53.666666666666664,300,True
USD/CHF,123.65318393752545,23.653183937525448,2.5704906279827964,-5.281817099842789,57.666666666666664,300,False
GBP/USD,113.33851936284763,13.338519362847645,1.6805403885830767,-5.320985190703786,55.333333333333336,300,False
EUR/USD,112.00559779130133,12.005597791301327,1.6587212740428088,-4.153383218567974,54.333333333333336,300,False
USD/JPY,113.11591220141955,13.115912201419544,1.3603257240217779,-4.6228407822692885,55.00000000000001,300,False
USD/CAD,100.89211694453425,0.8921169445342603,0.19753818451605376,-5.5341842464825985,48.333333333333336,300,True
