par,es_commodity,correlacion_copper_ret_1d,n_obs
USD/JPY,False,0.02067713549012728,4327
USD/PEN,True,0.05836358212420718,4326
USD/MXN,True,0.11604854335756165,4331
USD/COP,True,0.15088764845701624,4312
USD/CHF,False,0.15841580197148497,4324
USD/BRL,True,0.19317252855941233,4325
EUR/USD,False,0.2243000962269115,4327
GBP/USD,False,0.2488176986169837,4327
USD/ZAR,True,0.24919831958109065,4325
USD/CLP,True,0.2546645917521983,4326
USD/CAD,True,0.3132805075543963,4325
NZD/USD,True,0.31518623895076553,4327
AUD/USD,True,0.3745666447903624,4326
