ds,estrategia,posicion,pnl,capital
2025-07-17,Kelly diario (solo CLP),1.0,0.25898236622107484,100.25898236622108
2025-07-18,Kelly diario (solo CLP),1.0,0.11031282754112982,100.36929519376221
2025-07-21,Kelly diario (solo CLP),1.0,1.028302656609904,101.39759785037212
2025-07-22,Kelly diario (solo CLP),1.0,0.3617433138270162,101.75934116419914
2025-07-23,Kelly diario (solo CLP),1.0,0.2329135622672396,101.99225472646638
2025-07-24,Kelly diario (solo CLP),1.0,-0.18148687495531046,101.81076785151107
2025-07-25,Kelly diario (solo CLP),1.0,1.3960948647819518,103.20686271629303
2025-07-28,Kelly diario (solo CLP),-1.0,2.2802206715468523,105.48708338783989
2025-07-29,Kelly diario (solo CLP),1.0,-0.2372989958386053,105.24978439200129
2025-07-30,Kelly diario (solo CLP),-1.0,2.2198175691817252,107.46960196118302
2025-07-31,Kelly diario (solo CLP),-1.0,-1.0203068449233466,106.44929511625968
2025-08-01,Kelly diario (solo CLP),-1.0,-2.8426496198734292,103.60664549638625
2025-08-04,Kelly diario (solo CLP),-1.0,2.076533050362888,105.68317854674913
2025-08-05,Kelly diario (solo CLP),-1.0,0.007649553833005391,105.69082810058214
2025-08-06,Kelly diario (solo CLP),-1.0,0.8677853399567761,106.55861344053892
2025-08-07,Kelly diario (solo CLP),1.0,0.4433443300653686,107.00195777060429
2025-08-08,Kelly diario (solo CLP),1.0,0.22665554218555367,107.22861331278985
2025-08-11,Kelly diario (solo CLP),-1.0,0.047114675987215485,107.27572798877706
2025-08-12,Kelly diario (solo CLP),1.0,1.3305681255613735,108.60629611433843
2025-08-13,Kelly diario (solo CLP),-1.0,-0.47955074454881697,108.12674536978962
2025-08-14,Kelly diario (solo CLP),-1.0,1.44354311980507,109.57028848959469
2025-08-15,Kelly diario (solo CLP),1.0,0.16240352469759267,109.73269201429228
2025-08-18,Kelly diario (solo CLP),-1.0,-0.04461523914042627,109.68807677515186
2025-08-19,Kelly diario (solo CLP),-1.0,-0.07403631153117828,109.61404046362068
2025-08-20,Kelly diario (solo CLP),-1.0,0.3098572888217195,109.9238977524424
2025-08-21,Kelly diario (solo CLP),-0.26551532359656477,0.12555928106184733,110.04945703350425
2025-08-22,Kelly diario (solo CLP),1.0,1.1962640370750124,111.24572107057926
2025-08-25,Kelly diario (solo CLP),-1.0,0.24615517459512426,111.4918762451744
2025-08-26,Kelly diario (solo CLP),-0.4531719409502614,0.179754946846719,111.67163119202111
2025-08-27,Kelly diario (solo CLP),-1.0,0.18869078307135867,111.86032197509248
2025-08-28,Kelly diario (solo CLP),1.0,-0.015480096487031636,111.84484187860545
2025-08-29,Kelly diario (solo CLP),1.0,0.21536063896378696,112.06020251756924
2025-09-01,Kelly diario (solo CLP),-1.0,0.059859077170215366,112.12006159473945
2025-09-02,Kelly diario (solo CLP),1.0,-0.7680862028045997,111.35197539193486
2025-09-03,Kelly diario (solo CLP),1.0,0.601683492264159,111.95365888419902
2025-09-04,Kelly diario (solo CLP),-1.0,0.385277447537818,112.33893633173683
2025-09-05,Kelly diario (solo CLP),1.0,0.5283504721127938,112.86728680384962
2025-09-08,Kelly diario (solo CLP),-1.0,0.33101750663234963,113.19830431048197
2025-09-09,Kelly diario (solo CLP),1.0,0.33803163140439113,113.53633594188636
2025-09-10,Kelly diario (solo CLP),1.0,0.6235432459151198,114.15987918780148
2025-09-11,Kelly diario (solo CLP),1.0,1.084849406683351,115.24472859448483
2025-09-12,Kelly diario (solo CLP),-1.0,-1.5962554567858065,113.64847313769901
2025-09-15,Kelly diario (solo CLP),-1.0,1.3475686108403337,114.99604174853934
2025-09-16,Kelly diario (solo CLP),1.0,0.4050303597133733,115.40107210825272
2025-09-17,Kelly diario (solo CLP),-1.0,0.47344280758627694,115.874514915839
2025-09-18,Kelly diario (solo CLP),-1.0,0.41493608961081596,116.28945100544982
2025-09-19,Kelly diario (solo CLP),1.0,-0.04353211500770972,116.24591889044211
2025-09-22,Kelly diario (solo CLP),-1.0,0.045253509539737266,116.29117239998185
2025-09-23,Kelly diario (solo CLP),-1.0,-0.9444634199637674,115.34670898001808
2025-09-24,Kelly diario (solo CLP),1.0,-0.5326233269758717,114.81408565304221
2025-09-25,Kelly diario (solo CLP),-1.0,0.7949025763869374,115.60898822942914
2025-09-26,Kelly diario (solo CLP),1.0,-0.10359034269433212,115.50539788673481
2025-09-29,Kelly diario (solo CLP),1.0,-0.6499818257620105,114.8554160609728
2025-09-30,Kelly diario (solo CLP),1.0,0.4397011064454882,115.29511716741828
2025-10-01,Kelly diario (solo CLP),1.0,0.20546838226586747,115.50058554968415
2025-10-02,Kelly diario (solo CLP),1.0,-0.23064594539781055,115.26993960428634
2025-10-03,Kelly diario (solo CLP),1.0,1.71977824100128,116.98971784528761
2025-10-06,Kelly diario (solo CLP),-1.0,1.6564902459917403,118.64620809127935
2025-10-07,Kelly diario (solo CLP),1.0,0.22767221033004664,118.87388030160939
2025-10-08,Kelly diario (solo CLP),1.0,1.0805939154007296,119.95447421701012
2025-10-09,Kelly diario (solo CLP),1.0,-0.0587216401199274,119.89575257689019
2025-10-10,Kelly diario (solo CLP),-1.0,-0.4941912904081833,119.401561286482
2025-10-13,Kelly diario (solo CLP),1.0,-1.2480316805731904,118.15352960590882
2025-10-14,Kelly diario (solo CLP),-1.0,0.46968292496092245,118.62321253086974
2025-10-15,Kelly diario (solo CLP),0.776983432706378,0.12016128668013021,118.74337381754987
2025-10-16,Kelly diario (solo CLP),-1.0,-0.5753961855476192,118.16797763200225
2025-10-17,Kelly diario (solo CLP),-1.0,0.6986940538182739,118.86667168582052
2025-10-20,Kelly diario (solo CLP),1.0,1.2035804482519996,120.07025213407252
2025-10-21,Kelly diario (solo CLP),-1.0,-0.009526653865639431,120.06072548020688
2025-10-22,Kelly diario (solo CLP),1.0,0.09166675351345567,120.15239223372033
