ds,estrategia,posicion,pnl,capital
2025-06-25,Buy-and-hold,1.0,0.15928228753167198,100.15928228753167
2025-06-26,Buy-and-hold,1.0,-0.6606508872457963,99.49863140028587
2025-06-27,Buy-and-hold,1.0,-1.2449425818411275,98.25368881844474
2025-06-30,Buy-and-hold,1.0,1.2866357580383945,99.54032457648314
2025-07-01,Buy-and-hold,1.0,-0.32177475388794563,99.2185498225952
2025-07-02,Buy-and-hold,1.0,-0.253356186500677,98.96519363609451
2025-07-03,Buy-and-hold,1.0,0.1635560012107333,99.12874963730525
2025-07-04,Buy-and-hold,1.0,0.2897055894106901,99.41845522671593
2025-07-07,Buy-and-hold,1.0,1.1695033794635594,100.5879586061795
2025-07-08,Buy-and-hold,1.0,0.24480223438885795,100.83276084056835
2025-07-09,Buy-and-hold,1.0,0.6104102836904189,101.44317112425877
2025-07-10,Buy-and-hold,1.0,0.06627844817084728,101.50944957242962
2025-07-11,Buy-and-hold,1.0,-1.256615366225617,100.252834206204
2025-07-14,Buy-and-hold,1.0,3.2257403621721132,103.47857456837612
2025-07-15,Buy-and-hold,1.0,-0.12186282501347852,103.35671174336264
2025-07-16,Buy-and-hold,1.0,0.06306826934626991,103.41978001270891
2025-07-17,Buy-and-hold,1.0,-0.31856457506334396,103.10121543764556
2025-07-18,Buy-and-hold,1.0,-0.11331539765534368,102.98790003999022
2025-07-21,Buy-and-hold,1.0,-1.0444303756255036,101.94346966436471
2025-07-22,Buy-and-hold,1.0,-0.36239787047699573,101.58107179388772
2025-07-23,Buy-and-hold,1.0,-0.23197456859796545,101.34909722528975
2025-07-24,Buy-and-hold,1.0,0.18066390543439556,101.52976113072415
2025-07-25,Buy-and-hold,1.0,-1.3734084576075984,100.15635267311656
2025-07-28,Buy-and-hold,1.0,2.3152109821522537,102.47156365526881
2025-07-29,Buy-and-hold,1.0,0.17959384582620314,102.65115750109501
2025-07-30,Buy-and-hold,1.0,2.265244418252633,104.91640191934765
2025-07-31,Buy-and-hold,1.0,-0.986699354812779,103.92970256453486
2025-08-01,Buy-and-hold,1.0,-2.703179362412812,101.22652320212205
2025-08-04,Buy-and-hold,1.0,2.0703239259651856,103.29684712808724
2025-08-05,Buy-and-hold,1.0,0.007477367749942354,103.30432449583718
2025-08-06,Buy-and-hold,1.0,0.8552125180792768,104.15953701391645
2025-08-07,Buy-and-hold,1.0,-0.4831906358822817,103.67634637803417
2025-08-08,Buy-and-hold,1.0,-0.21914690280707297,103.4571994752271
2025-08-11,Buy-and-hold,1.0,0.09727755303988601,103.55447702826699
2025-08-12,Buy-and-hold,1.0,-1.3191681800289041,102.23530884823808
2025-08-13,Buy-and-hold,1.0,-0.3987407486332761,101.8365680996048
2025-08-14,Buy-and-hold,1.0,1.3779627356961126,103.21453083530092
2025-08-15,Buy-and-hold,1.0,-0.20418564255349192,103.01034519274742
2025-08-18,Buy-and-hold,1.0,0.009624011720011448,103.01996920446743
2025-08-19,Buy-and-hold,1.0,-0.06948862699542463,102.950480577472
2025-08-20,Buy-and-hold,1.0,0.291845708627075,103.24232628609909
2025-08-21,Buy-and-hold,1.0,0.49815842088954704,103.74048470698864
2025-08-22,Buy-and-hold,1.0,-1.1662932006389821,102.57419150634966
2025-08-25,Buy-and-hold,1.0,0.27901151808246194,102.85320302443212
2025-08-26,Buy-and-hold,1.0,0.4190523069278195,103.27225533135994
2025-08-27,Buy-and-hold,1.0,0.2266307953107117,103.49888612667066
2025-08-28,Buy-and-hold,1.0,-0.03741293776448497,103.46147318890617
2025-08-29,Buy-and-hold,1.0,-0.19883534451254184,103.26263784439362
2025-09-01,Buy-and-hold,1.0,0.10690156475990963,103.36953940915353
2025-09-02,Buy-and-hold,1.0,0.6606508872458086,104.03019029639934
2025-09-03,Buy-and-hold,1.0,-0.5590996205268611,103.47109067587247
2025-09-04,Buy-and-hold,1.0,0.40943481996149217,103.88052549583396
2025-09-05,Buy-and-hold,1.0,-0.5377114778704168,103.34281401796355
2025-09-08,Buy-and-hold,1.0,0.3559775128278289,103.69879153079138
2025-09-09,Buy-and-hold,1.0,-0.3602577512605987,103.33853377953078
2025-09-10,Buy-and-hold,1.0,-0.5644368690603822,102.77409691047039
2025-09-11,Buy-and-hold,1.0,-0.9674578561264522,101.80663905434393
2025-09-12,Buy-and-hold,1.0,-1.341313194115521,100.46532586022842
2025-09-15,Buy-and-hold,1.0,1.2055461189492491,101.67087197917766
2025-09-16,Buy-and-hold,1.0,-0.4072947007451072,101.26357727843255
2025-09-17,Buy-and-hold,1.0,0.4682293756287128,101.73180665406126
2025-09-18,Buy-and-hold,1.0,0.3656015245478403,102.0974081786091
2025-09-19,Buy-and-hold,1.0,-0.012827665790892472,102.0845805128182
2025-09-22,Buy-and-hold,1.0,0.09086372014443975,102.17544423296265
2025-09-23,Buy-and-hold,1.0,-0.8231368288483369,101.35230740411431
2025-09-24,Buy-and-hold,1.0,0.4190523069278072,101.77135971104212
2025-09-25,Buy-and-hold,1.0,0.7611386191102475,102.53249833015236
2025-09-26,Buy-and-hold,1.0,0.04062311658907447,102.57312144674144
2025-09-29,Buy-and-hold,1.0,0.5804747136758641,103.15359616041731
2025-09-30,Buy-and-hold,1.0,-0.3933969753460223,102.76019918507129
2025-10-01,Buy-and-hold,1.0,-0.18280402465078047,102.57739516042051
2025-10-02,Buy-and-hold,1.0,0.20524917740798806,102.7826443378285
2025-10-03,Buy-and-hold,1.0,-1.5109306915214542,101.27171364630705
2025-10-06,Buy-and-hold,1.0,1.506656977842393,102.77837062414945
2025-10-07,Buy-and-hold,1.0,-0.24801241321344744,102.530358210936
2025-10-08,Buy-and-hold,1.0,-0.9236310854664969,101.6067271254695
2025-10-09,Buy-and-hold,1.0,-0.001063534854483964,101.60566359061502
2025-10-10,Buy-and-hold,1.0,-0.36667158415604495,101.23899200645897
2025-10-13,Buy-and-hold,1.0,1.0176984596818177,102.2566904661408
2025-10-14,Buy-and-hold,1.0,0.45967542351688173,102.71636588965768
2025-10-15,Buy-and-hold,1.0,-0.1849376191134569,102.53142827054423
2025-10-16,Buy-and-hold,1.0,-0.44364410365512047,102.08778416688911
2025-10-17,Buy-and-hold,1.0,0.607206629619538,102.69499079650865
2025-10-20,Buy-and-hold,1.0,-1.0797097189273,101.61528107758134
2025-10-21,Buy-and-hold,1.0,0.04276323580544724,101.6580443133868
2025-10-22,Buy-and-hold,1.0,-0.12828318266263325,101.52976113072417
2025-10-23,Buy-and-hold,1.0,-0.3003931359851977,101.22936799473896
2025-10-24,Buy-and-hold,1.0,-1.7089439170667264,99.52042407767223
2025-10-27,Buy-and-hold,1.0,0.9563592500682856,100.47678332774052
2025-10-28,Buy-and-hold,1.0,0.23517822266885866,100.71196155040938
2025-10-29,Buy-and-hold,1.0,-0.1699698341061917,100.54199171630319
2025-10-30,Buy-and-hold,1.0,0.16142240674805688,100.70341412305125
2025-10-31,Buy-and-hold,1.0,-1.4143056138524175,99.28910850919883
2025-11-03,Buy-and-hold,1.0,1.0412201968009263,100.33032870599975
2025-11-04,Buy-and-hold,1.0,0.8402447330720118,101.17057343907176
2025-11-05,Buy-and-hold,1.0,-0.31750104020887215,100.85307239886289
2025-11-06,Buy-and-hold,1.0,-0.15179839502803327,100.70127400383485
2025-11-07,Buy-and-hold,1.0,-1.2832820346322182,99.41799196920263
2025-11-10,Buy-and-hold,1.0,0.7958111603171787,100.21380312951982
2025-11-11,Buy-and-hold,1.0,-0.19349157122530022,100.02031155829452
2025-11-12,Buy-and-hold,1.0,-0.6531669947421456,99.36714456355237
2025-11-13,Buy-and-hold,1.0,-0.014967785007289536,99.35217677854509
2025-11-14,Buy-and-hold,1.0,-1.1890384920667683,98.16313828647831
2025-11-17,Buy-and-hold,1.0,0.5465590438991423,98.70969733037745
2025-11-18,Buy-and-hold,1.0,0.9118734792837847,99.62157080966124
2025-11-19,Buy-and-hold,1.0,0.0053437732872659354,99.6269145829485
2025-11-20,Buy-and-hold,1.0,-0.19242151161710774,99.43449307133139
2025-11-21,Buy-and-hold,1.0,0.9001093483474126,100.3346024196788
2025-11-24,Buy-and-hold,1.0,0.22128702202347006,100.55588944170228
2025-11-25,Buy-and-hold,1.0,-0.6072001048658536,99.94868933683642
2025-11-26,Buy-and-hold,1.0,-0.9899095336373563,98.95877980319906
2025-11-27,Buy-and-hold,1.0,0.12614306344623616,99.0849228666453
2025-11-28,Buy-and-hold,1.0,0.07376234067449812,99.15868520731979
2025-12-01,Buy-and-hold,1.0,0.1849376191134569,99.34362282643325
2025-12-02,Buy-and-hold,1.0,-0.6243014843357952,98.71932134209746
2025-12-03,Buy-and-hold,1.0,-0.5355778834077405,98.18374345868972
2025-12-04,Buy-and-hold,1.0,-0.13042330187901813,98.0533201568107
2025-12-05,Buy-and-hold,1.0,0.4436441036550961,98.4969642604658
2025-12-08,Buy-and-hold,1.0,0.1400407888453454,98.63700504931114
2025-12-09,Buy-and-hold,1.0,0.31963463467153636,98.95663968398267
2025-12-10,Buy-and-hold,1.0,-0.2512160672843041,98.70542361669837
2025-12-11,Buy-and-hold,1.0,-1.0241188173309723,97.6813047993674
2025-12-12,Buy-and-hold,1.0,-0.4276062590396384,97.25369854032776
2025-12-15,Buy-and-hold,1.0,0.4361602111514696,97.68985875147924
2025-12-16,Buy-and-hold,1.0,-0.04169317619725479,97.64816557528198
2025-12-17,Buy-and-hold,1.0,-1.9883664946328354,95.65979908064914
2026-01-08,Buy-and-hold,1.0,0.17638366700162575,95.83618274765077
2026-01-09,Buy-and-hold,1.0,-0.1988353445125418,95.63734740313822
2026-01-12,Buy-and-hold,1.0,-1.1716434986799442,94.46570390445828
2026-01-13,Buy-and-hold,1.0,0.20097546372892675,94.6666793681872
2026-01-14,Buy-and-hold,1.0,-0.450051411796846,94.21662795639035
2026-01-15,Buy-and-hold,1.0,0.12507300383805584,94.34170096022841
2026-01-16,Buy-and-hold,1.0,0.39339697534602225,94.73509793557443
2026-01-19,Buy-and-hold,1.0,0.11758911133441716,94.85268704690884
2026-01-20,Buy-and-hold,1.0,-0.28649541058611266,94.56619163632273
2026-01-21,Buy-and-hold,1.0,-1.0968110983972656,93.46938053792546
2026-01-22,Buy-and-hold,1.0,-0.3313922408542363,93.13798829707122
2026-01-23,Buy-and-hold,1.0,-0.12935324227082565,93.0086350548004
2026-01-26,Buy-and-hold,1.0,-0.5826083081385405,92.42602674666185
2026-01-27,Buy-and-hold,1.0,-0.517406444329594,91.90862030233225
2026-01-28,Buy-and-hold,1.0,0.28756547019430506,92.19618577252656
2026-01-29,Buy-and-hold,1.0,-0.35064026429428347,91.84554550823228
2026-01-30,Buy-and-hold,1.0,0.7237256813457744,92.56927118957805
2026-02-02,Buy-and-hold,1.0,-0.08766006607357087,92.48161112350448
2026-02-03,Buy-and-hold,1.0,-0.5419917163031865,91.93961940720129
2026-02-04,Buy-and-hold,1.0,-0.1956251656879644,91.74399424151332
2026-02-05,Buy-and-hold,1.0,0.8552125180792765,92.59920675959259
2026-02-06,Buy-and-hold,1.0,-0.6221678898731187,91.97703886971946
2026-02-09,Buy-and-hold,1.0,-0.8573526372956612,91.1196862324238
2026-02-10,Buy-and-hold,1.0,0.2982530167688126,91.41793924919261
2026-02-11,Buy-and-hold,1.0,-0.10903515922258596,91.30890408997003
2026-02-12,Buy-and-hold,1.0,0.26404373307519646,91.57294782304523
2026-02-13,Buy-and-hold,1.0,0.6189642358022497,92.19191205884748
2026-02-16,Buy-and-hold,1.0,-0.008553952111831142,92.18335810673565
2026-02-17,Buy-and-hold,1.0,0.36346140533146737,92.54681951206712
2026-02-18,Buy-and-hold,1.0,-0.4414974596850147,92.1053220523821
2026-02-19,Buy-and-hold,1.0,0.3666715841560447,92.47199363653816
2026-02-20,Buy-and-hold,1.0,0.14752468134897187,92.61951831788713
2026-02-23,Buy-and-hold,1.0,0.0,92.61951831788713
2026-02-24,Buy-and-hold,1.0,-0.613620462514996,92.00589785537213
2026-02-25,Buy-and-hold,1.0,-0.44149745968501464,91.56440039568712
2026-02-26,Buy-and-hold,1.0,0.9236245607128001,92.48802495639991
2026-02-27,Buy-and-hold,1.0,0.8541424584710839,93.342167414871
2026-03-02,Buy-and-hold,1.0,1.0145013303646568,94.35666874523565
2026-03-03,Buy-and-hold,1.0,1.8461855865711163,96.20285433180676
2026-03-04,Buy-and-hold,1.0,-0.5922323198585638,95.6106220119482
2026-03-05,Buy-and-hold,1.0,1.2069163172280437,96.81753832917624
2026-03-06,Buy-and-hold,1.0,0.5580295609186684,97.37556789009491
2026-03-09,Buy-and-hold,1.0,0.4201223665359874,97.7956902566309
2026-03-10,Buy-and-hold,1.0,-2.7933384091567333,95.00235184747417
2026-03-11,Buy-and-hold,1.0,0.8819379092692539,95.88428975674343
2026-03-12,Buy-and-hold,1.0,2.0054743988564967,97.88976415559992
2026-03-13,Buy-and-hold,1.0,0.10797162436810201,97.99773577996802
2026-03-16,Buy-and-hold,1.0,-0.7793165829421141,97.21841919702591
2026-03-17,Buy-and-hold,1.0,-0.26832397150796633,96.95009522551794
2026-03-18,Buy-and-hold,1.0,0.8787342551983728,97.82882948071631
2026-03-19,Buy-and-hold,1.0,-0.28222169690703913,97.54660778380926
2026-03-20,Buy-and-hold,1.0,1.6099373042940894,99.15654508810336
2026-03-23,Buy-and-hold,1.0,-1.8034288755193775,97.35311621258398
2026-03-24,Buy-and-hold,1.0,0.7141016696257386,98.06721788220972
2026-03-25,Buy-and-hold,1.0,-0.07162222145808887,97.99559566075163
2026-03-26,Buy-and-hold,1.0,1.2133301501234899,99.20892581087513
2026-03-27,Buy-and-hold,1.0,-0.5687171074931638,98.64020870338197
2026-03-30,Buy-and-hold,1.0,0.8017617356993217,99.44197043908129
2026-03-31,Buy-and-hold,1.0,-0.43936386522235044,99.00260657385894
2026-04-01,Buy-and-hold,1.0,-1.4592024441205282,97.5434041297384
2026-04-02,Buy-and-hold,1.0,0.4318799727186995,97.97528410245711
2026-04-03,Buy-and-hold,1.0,0.3068069688806559,98.28209107133776
2026-04-06,Buy-and-hold,1.0,-0.363467930085188,97.91862314125257
2026-04-07,Buy-and-hold,1.0,0.05238724752547081,97.97101038877804
2026-04-08,Buy-and-hold,1.0,-2.0557215271655824,95.91528886161245
2026-04-09,Buy-and-hold,1.0,-0.5997162123622025,95.31557264925026
2026-04-10,Buy-and-hold,1.0,0.30146319559338997,95.61703584484364
2026-04-13,Buy-and-hold,1.0,0.04810700909270099,95.66514285393635
2026-04-14,Buy-and-hold,1.0,-0.9257712046828935,94.73937164925346
2026-04-15,Buy-and-hold,1.0,-0.13683061002075583,94.6025410392327
2026-04-16,Buy-and-hold,1.0,0.1250730038380558,94.72761404307076
2026-04-17,Buy-and-hold,1.0,0.4489878769423618,95.17660192001313
2026-04-20,Buy-and-hold,1.0,-0.9728081541674022,94.20379376584573
2026-04-21,Buy-and-hold,1.0,1.145988167098159,95.34978193294388
2026-04-22,Buy-and-hold,1.0,-0.2362548070307352,95.11352712591315
2026-04-23,Buy-and-hold,1.0,0.506712373001378,95.62023949891453
2026-04-24,Buy-and-hold,1.0,0.17532013214714173,95.79555963106166
2026-04-27,Buy-and-hold,1.0,-0.2747378044034126,95.52082182665825
2026-04-28,Buy-and-hold,1.0,-0.25869995978794275,95.2621218668703
2026-04-29,Buy-and-hold,1.0,1.4271332796433092,96.68925514651362
2026-04-30,Buy-and-hold,1.0,-0.4276062590396382,96.26164888747398
2026-05-01,Buy-and-hold,1.0,-0.13041677712530958,96.13123211034868
2026-05-04,Buy-and-hold,1.0,1.333059380674292,97.46429149102296
2026-05-05,Buy-and-hold,1.0,-0.7376168819911508,96.72667460903182
2026-05-06,Buy-and-hold,1.0,-0.9300449183619549,95.79662969066986
2026-05-07,Buy-and-hold,1.0,-0.6039964507949724,95.1926332398749
2026-05-08,Buy-and-hold,1.0,0.1828040246507804,95.37543726452567
2026-05-11,Buy-and-hold,1.0,0.5387815374786091,95.91421880200429
2026-05-12,Buy-and-hold,1.0,1.6826361101140919,97.59685491211837
2026-05-13,Buy-and-hold,1.0,-2.8157900866676497,94.78106482545073
2026-05-14,Buy-and-hold,1.0,0.8210032343856606,95.60206805983638
2026-05-15,Buy-and-hold,1.0,0.3666715841560448,95.96873964399244
2026-05-18,Buy-and-hold,1.0,0.29611942230613625,96.26485906629857
2026-05-19,Buy-and-hold,1.0,0.48426722024417046,96.74912628654275
2026-05-20,Buy-and-hold,1.0,-0.7803866425503068,95.96873964399244
2026-05-21,Buy-and-hold,1.0,0.0652149133163633,96.0339545573088
