dias_holding,ventana,coincidencia_direccion_%,dias_ppo_opero,n_decisiones
1,1,59.32203389830508,59,60
1,2,75.0,60,60
1,3,80.0,60,60
1,4,81.66666666666667,60,60
1,5,66.66666666666666,60,60
2,1,63.33333333333333,30,30
2,2,73.33333333333333,30,30
2,3,76.66666666666667,30,30
2,4,83.33333333333334,30,30
2,5,66.66666666666666,30,30
3,1,55.00000000000001,20,20
3,2,75.0,20,20
3,3,80.0,20,20
3,4,60.0,20,20
3,5,70.0,20,20
5,1,41.66666666666667,12,12
5,2,75.0,12,12
5,3,75.0,12,12
5,4,75.0,12,12
5,5,41.66666666666667,12,12
