ds,estrategia,posicion,notional,razon_cierre,pnl,capital
2025-06-24,PPO baseline (TP=h1 siempre),-1.0,321.7682674367333,take_profit,3.812554416758529,103.81255441675853
2025-06-27,PPO baseline (TP=h1 siempre),-1.0,337.75158524854413,trailing_stop,1.150592087908485,104.96314650466701
2025-07-02,PPO baseline (TP=h1 siempre),-1.0,330.3734700649634,cierre_periodo,-0.6656360344128882,104.29751047025412
2025-07-07,PPO baseline (TP=h1 siempre),-1.0,362.1056075565957,stop_loss,-3.128925314107609,101.16858515614652
2025-07-10,PPO baseline (TP=h1 siempre),-1.0,358.6941242247574,trailing_stop,1.2094824635135153,102.37806761966003
2025-07-15,PPO baseline (TP=h1 siempre),-1.0,259.5289564930789,cierre_periodo,0.9464338084491314,103.32450142810916
2025-07-18,PPO baseline (TP=h1 siempre),-1.0,290.70616991342007,cierre_periodo,4.286226253679214,107.61072768178838
2025-07-23,PPO baseline (TP=h1 siempre),-1.0,322.4978434664908,cierre_periodo,4.523173814571068,112.13390149635944
2025-07-28,PPO baseline (TP=h1 siempre),1.0,344.54069757828984,take_profit,5.418589276562315,117.55249077292176
2025-07-31,PPO baseline (TP=h1 siempre),1.0,295.42656359530207,stop_loss,-3.526574723187635,114.02591604973412
2025-08-05,PPO baseline (TP=h1 siempre),1.0,243.73995999984913,cierre_periodo,0.8954690735849964,114.92138512331911
2025-08-08,PPO baseline (TP=h1 siempre),-1.0,269.07572481720837,take_profit,1.347795734875065,116.26918085819418
2025-08-13,PPO baseline (TP=h1 siempre),-1.0,289.91827447174654,trailing_stop,-2.343724526531982,113.92545633166219
2025-08-18,PPO baseline (TP=h1 siempre),-1.0,299.97679767936603,cierre_periodo,-0.6755529784467615,113.24990335321543
2025-08-21,PPO baseline (TP=h1 siempre),-1.0,330.9700233062707,take_profit,1.263372677243651,114.51327603045908
2025-08-26,PPO baseline (TP=h1 siempre),-1.0,350.9867363417904,cierre_periodo,-2.075723006818905,112.43755302364018
2025-08-29,PPO baseline (TP=h1 siempre),-1.0,380.3107145965825,cierre_periodo,-2.0905289948763586,110.34702402876381
2025-09-03,PPO baseline (TP=h1 siempre),-1.0,405.34891449956046,take_profit,1.8367264209763472,112.18375044974016
