estrategia,capital_final,retorno_total_%,sharpe_anualizado,max_drawdown_%,win_rate_%,operaciones,ventana
USDCLP,100.0,0.0,,0.0,,0,1
USDMXN,100.0,0.0,,0.0,,0,1
USDBRL,100.0,0.0,,0.0,,0,1
USDCOP,100.0,0.0,,0.0,,0,1
USDCLP,100.0,0.0,,0.0,,0,2
USDMXN,100.0,0.0,,0.0,,0,2
USDBRL,100.0,0.0,,0.0,,0,2
USDCOP,100.0,0.0,,0.0,,0,2
USDCLP,100.0,0.0,,0.0,,0,3
USDMXN,100.0,0.0,,0.0,,0,3
USDBRL,100.0,0.0,,0.0,,0,3
USDCOP,100.0,0.0,,0.0,,0,3
USDCLP,100.0,0.0,,0.0,,0,4
USDMXN,100.0,0.0,,0.0,,0,4
USDBRL,100.0,0.0,,0.0,,0,4
USDCOP,100.0,0.0,,0.0,,0,4
USDCLP,100.0,0.0,,0.0,,0,5
USDMXN,100.0,0.0,,0.0,,0,5
USDBRL,100.0,0.0,,0.0,,0,5
USDCOP,100.0,0.0,,0.0,,0,5
