ds,estrategia,precio_entrada,precio_salida,take_profit,stop_loss,posicion,notional,razon_cierre,pnl,capital
2024-09-22,PPO multi-activo (CLP+MXN+BRL+COP),930.3599853515624,930.3599853515624,928.9508,,0.0,0.0,plano,0.0,100.0
2024-09-29,PPO multi-activo (CLP+MXN+BRL+COP),905.4000244140624,905.4000244140624,905.1515,,0.0,0.0,plano,0.0,100.0
2024-10-06,PPO multi-activo (CLP+MXN+BRL+COP),920.3900146484376,920.3900146484376,922.59076,,0.0,0.0,plano,0.0,100.0
2024-10-13,PPO multi-activo (CLP+MXN+BRL+COP),929.5900268554688,929.5900268554688,938.4075,,0.0,0.0,plano,0.0,100.0
2024-10-20,PPO multi-activo (CLP+MXN+BRL+COP),945.9099731445312,945.9099731445312,952.7051,,0.0,0.0,plano,0.0,100.0
2024-10-27,PPO multi-activo (CLP+MXN+BRL+COP),946.4600219726562,946.4600219726562,946.77325,,0.0,0.0,plano,0.0,100.0
2024-11-03,PPO multi-activo (CLP+MXN+BRL+COP),960.9400024414062,960.9400024414062,968.7854,,0.0,0.0,plano,0.0,100.0
2024-11-10,PPO multi-activo (CLP+MXN+BRL+COP),957.1799926757812,957.1799926757812,945.5063,,0.0,0.0,plano,0.0,100.0
2024-11-17,PPO multi-activo (CLP+MXN+BRL+COP),975.0800170898438,975.0800170898438,988.68933,,0.0,0.0,plano,0.0,100.0
2024-11-24,PPO multi-activo (CLP+MXN+BRL+COP),973.0900268554688,973.0900268554688,979.36786,,0.0,0.0,plano,0.0,100.0
2024-12-01,PPO multi-activo (CLP+MXN+BRL+COP),977.4400024414062,977.4400024414062,984.50586,,0.0,0.0,plano,0.0,100.0
2024-12-08,PPO multi-activo (CLP+MXN+BRL+COP),969.6799926757812,969.6799926757812,972.4077,,0.0,0.0,plano,0.0,100.0
2024-12-15,PPO multi-activo (CLP+MXN+BRL+COP),976.3900146484376,976.3900146484376,989.0462,,0.0,0.0,plano,0.0,100.0
2024-12-22,PPO multi-activo (CLP+MXN+BRL+COP),991.1500244140624,991.1500244140624,988.33325,,0.0,0.0,plano,0.0,100.0
2024-12-29,PPO multi-activo (CLP+MXN+BRL+COP),988.6400146484376,988.6400146484376,1004.06964,,0.0,0.0,plano,0.0,100.0
2025-01-05,PPO multi-activo (CLP+MXN+BRL+COP),1004.1300048828124,1004.1300048828124,998.60046,,0.0,0.0,plano,0.0,100.0
2025-01-12,PPO multi-activo (CLP+MXN+BRL+COP),1006.0700073242188,1006.0700073242188,1002.8771,,0.0,0.0,plano,0.0,100.0
2025-01-19,PPO multi-activo (CLP+MXN+BRL+COP),1013.0599975585938,1013.0599975585938,1012.88965,,0.0,0.0,plano,0.0,100.0
2025-01-26,PPO multi-activo (CLP+MXN+BRL+COP),987.0499877929688,987.0499877929688,981.3819,,0.0,0.0,plano,0.0,100.0
2025-02-02,PPO multi-activo (CLP+MXN+BRL+COP),983.77001953125,983.77001953125,983.2201,,0.0,0.0,plano,0.0,100.0
2025-02-09,PPO multi-activo (CLP+MXN+BRL+COP),962.0700073242188,962.0700073242188,961.9705,,0.0,0.0,plano,0.0,100.0
2025-02-16,PPO multi-activo (CLP+MXN+BRL+COP),952.4400024414062,952.4400024414062,953.4141,,0.0,0.0,plano,0.0,100.0
2025-02-23,PPO multi-activo (CLP+MXN+BRL+COP),942.2899780273438,942.2899780273438,944.97797,,0.0,0.0,plano,0.0,100.0
2025-03-02,PPO multi-activo (CLP+MXN+BRL+COP),952.239990234375,952.239990234375,967.3932,,0.0,0.0,plano,0.0,100.0
2025-03-09,PPO multi-activo (CLP+MXN+BRL+COP),928.510009765625,928.510009765625,912.6079,,0.0,0.0,plano,0.0,100.0
2025-03-16,PPO multi-activo (CLP+MXN+BRL+COP),937.7000122070312,937.7000122070312,948.28674,,0.0,0.0,plano,0.0,100.0
